entry,run,ledger,name,value
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,request_gradient_observer_bmm,6864
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,teacher_forward,50
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,teacher_sequences,100
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,teacher_tokens,693
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,training_forward,10037
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,training_sequences,19402
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,training_tokens,294025
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,seconds,actual_weight_gate,0.13712548930197954
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,seconds,curve_evaluation,417.88983455486596
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,seconds,essence_teacher,3.140119679272175
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,seconds,full_evaluation,442.69612644519657
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,seconds,generation,270.8057550303638
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,seconds,geometry,6.72378458827734
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,seconds,grouped_objective,1058.0194955030456
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,seconds,model_load,23.755662228912115
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,memory,peak_gpu_bytes,37887000064
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,memory,peak_host_kib,34494844
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,storage,terminal_output_bytes,215309019
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,actual_model_forward_invocations,15802
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,actual_model_forward_sequences,64904
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,actual_model_forward_tokens,792394
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,analytic_action_gradient,22
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,coefficient_gradient_pullback,88
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,edit_backward,6864
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,essence_backward,1100
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,evaluation_candidate_sequences,45400
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,evaluation_input_tokens,493666
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,evaluation_materialization,14
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,evaluation_model_forwards,5714
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,evaluation_restore,14
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,gradient_sweeps,22
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,nominal_shadow_sweep_reused,1
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,nominal_shadow_sweeps,2
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,request_gradient_observer_bmm,6864
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,teacher_forward,50
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,teacher_sequences,100
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,teacher_tokens,692
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,training_forward,10037
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,training_sequences,19402
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,counts,training_tokens,298014
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,seconds,actual_weight_gate,0.12451541051268578
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,seconds,curve_evaluation,419.95193394832313
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,seconds,essence_teacher,2.8496033120900393
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,seconds,full_evaluation,436.6426135972142
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,seconds,geometry,6.727720201015472
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,seconds,grouped_objective,1060.6358112208545
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,seconds,model_load,14.167320703156292
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,memory,peak_gpu_bytes,37886430720
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,memory,peak_host_kib,34495056
Early,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main,storage,terminal_output_bytes,215249832
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,actual_model_forward_invocations,15802
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,actual_model_forward_sequences,64904
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,actual_model_forward_tokens,793234
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,analytic_action_gradient,22
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,coefficient_gradient_pullback,88
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,edit_backward,6864
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,essence_backward,1100
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,evaluation_candidate_sequences,45400
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,evaluation_input_tokens,489548
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,evaluation_materialization,14
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,evaluation_model_forwards,5714
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,evaluation_restore,14
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,gradient_sweeps,22
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,nominal_shadow_sweep_reused,1
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,nominal_shadow_sweeps,2
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,request_gradient_observer_bmm,6864
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,teacher_forward,50
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,teacher_sequences,100
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,teacher_tokens,738
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,training_forward,10037
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,training_sequences,19402
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,counts,training_tokens,302930
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,seconds,actual_weight_gate,0.12301630713045597
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,seconds,curve_evaluation,427.70409101061523
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,seconds,essence_teacher,2.8592132218182087
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,seconds,full_evaluation,446.81820107623935
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,seconds,geometry,6.76717799436301
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,seconds,grouped_objective,1060.7440258571878
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,seconds,model_load,14.876734755933285
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,memory,peak_gpu_bytes,37885923840
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,memory,peak_host_kib,34496896
Late,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main,storage,terminal_output_bytes,215245980
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,actual_model_forward_invocations,17072
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,actual_model_forward_sequences,65704
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,actual_model_forward_tokens,809207
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,analytic_action_gradient,29
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,coefficient_gradient_pullback,116
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,edit_backward,9048
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,essence_backward,1450
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,evaluation_candidate_sequences,43200
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,evaluation_input_tokens,470892
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,evaluation_materialization,13
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,evaluation_model_forwards,5436
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,evaluation_restore,13
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,gradient_sweeps,29
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,initial_gradient_sweep_reused,1
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,request_gradient_observer_bmm,9048
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,teacher_forward,50
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,teacher_sequences,100
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,teacher_tokens,693
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,training_forward,11585
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,training_sequences,22402
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,counts,training_tokens,337611
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,seconds,actual_weight_gate,0.12070544809103012
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,seconds,curve_evaluation,376.210930547677
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,seconds,essence_teacher,2.8652371810749173
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,seconds,full_evaluation,442.1945731174201
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,seconds,geometry,6.618660750798881
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,seconds,grouped_objective,1286.3639400852844
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,seconds,model_load,15.33643037918955
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,memory,peak_gpu_bytes,37876382208
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,memory,peak_host_kib,34496784
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary,storage,terminal_output_bytes,33062322
