cell,arm,batch,build_identity,comparison,factor_rank,keys_norm,keys_sha256,layer,solve_backward_error,state_version,key_revisit_relative_difference,writer_revisit_relative_difference
LM,QCL,1,8a81ce5171f914c7110e39dde7b3c2048b7c736c56ccc95f51808a45879e4306,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.540397312901156,de2af768fe2989dba0aef12702b72919db8830ca2be2a154f896b41a281d6933,6,9.8422363592476358e-09,12,0.06067078674957016,0.26219688337030161
LM,QCL,1,b68f46d7d0bc613cee3e7b44f23ceed21c09429656d9427da6e05a9c5507b585,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.230526324842259,85063907d8a9eea6d4273024188719ea0665743d5e896df9cdda9dd231ee9a7c,7,7.8218098664706304e-09,13,0.082200365768310801,0.2627653569694785
LM,QCL,1,af8561e14772a4e05bcbaab92203cd38e1a2c7b5944afe264452d721132e47ec,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,37.631002520273917,d70704598092c184f244290177543d89181eca908f2dd64fcb621fc6bf0ae269,8,6.3236682557032964e-09,14,0.11332035002558982,0.26798429508767141
LM,QCL,1,7ec9943e839918be9585578cc6a4ed4376df3a747369c514867b17e09394e2cf,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,28.77747097378737,6f677fbde18d778c355fee770d9a938461530cf30dd6a53aa35d6d45c1e84df1,4,6.7046834750783546e-09,15,0,0.24273240109325206
LM,QCL,1,175b58cf913b97661978fb41bf262d7177b2025ca3549d5276631b4c61077f40,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,34.70083566305091,1eedb70b0f64da6b94e9a4c232a57d35317504511d5722ae3c9a105870e4a66d,5,6.5164944551554527e-09,16,0.028345608143956976,0.23892445105887097
LM,QCL,1,949e341031b87ced52210413d06a394c4009bf3cb6836d2652cac6745e081b71,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.389319551225078,fa2badabedf5ac389219da6068540e7f4e9c4e54b3fc35dde9960f7c6f2a8c1f,6,1.0044678866449885e-08,17,0.047585336534253689,0.23652132375162285
LM,QCL,1,045c8a913682efe128ba24032aef65dd4017a658d8699288f7b7a3f2cf4b7c11,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.092304979368386,0e6974990d37c17bfbe501a71c60b98b11d1bdd56b0913531b7cdbdfb30700d4,7,8.3176301401977071e-09,18,0.063131697866530903,0.23546705918106017
LM,QCL,1,668d361a598820369dcdd66eff82eb83d8e33f7e04c230aa6f888a1a85d83f15,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,37.569735899169132,b040bba20007354c8cec11043daefb4dc7aeb7da668f2146c1d004b254aa2847,8,6.3353038370905779e-09,19,0.085507524619551467,0.23700557137204256
LM,QCL,2,362738bebd91cd014ad7539ea0642065fedc353e0716e19dfb10bdb75bdba9c3,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,29.447592753548395,5168f35d7fd7c97d6b9f8d8dd116c67b1145a666deace75d4eda8294cded0371,4,6.6732024350812935e-09,0,,
LM,QCL,2,1cb777d9a4a9a7ad585a4f23c0b05a09406a72269cc2ad75ee43990bdb0f24c1,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,36.176527802057755,7f4abb79ccffd14fdef9e2652d2fcbd4d0266bbd089ce9b7945ec1d5a6875983,5,6.5836034401911547e-09,1,,
LM,QCL,2,1feccdb9581e74cf4ea94e3a89b023d508ce49bdb7823eccf3c777b05ce1aa70,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,40.419608523830128,5a0335f72f8c3925d48b1ddff374cd6eb5d27a2f191de103df24bda9fd59c128,6,9.6556584949780699e-09,2,,
LM,QCL,2,9417f88317c73ee0763696b63e39ece3b459f43bb281ddf91d73db59831fe319,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,39.606304289919059,249c2960445d20174d9fa23764dbf8aae04bd580bddf77df7a4e10bcb8bb2c88,7,7.8641759770903263e-09,3,,
LM,QCL,2,7508e50e6728a8782e2d79245fbfd4dd5b28361fd02f72148fc7d0e06024bed9,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.847732810636664,85c45bff9891f61fad8abda2ef85c68a784d6124965b9cd2a69562874e7f167e,8,6.2949943036016975e-09,4,,
LM,QCL,2,a9484a8d75ede1d47a979ae7507e497dff569df14f4cbad99d5b87a31ffaa0f9,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,29.447592753548395,5168f35d7fd7c97d6b9f8d8dd116c67b1145a666deace75d4eda8294cded0371,4,6.6732024350812935e-09,5,0,0.29744519506458411
LM,QCL,2,a44b79e5a50c5953b1c8893ed65da3593e6e7c55c632b9d8a4b1f2f00643709b,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,36.083623359783417,927a4d148ab6effb20e6336d2d8627f7d9981908abbc65dd44cc8accb823c536,5,6.4366960650374949e-09,6,0.046851993948396002,0.29545844155983503
LM,QCL,2,fdc5bf3993284ff60a1140b8ee3ff310cef44aeb107cb0103177c1ff12d30ac3,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,40.19703803121422,73f955867521bcd20d1b24cba27f7dbee3161c8e12fb701c95f9ab2d8d653aad,6,1.0376259851341274e-08,7,0.079953047913593978,0.29722698682483972
LM,QCL,2,dac5077a12929a0368bf83645dbe68075974ea41f586cc186efefaa256a0df04,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,39.371711264840215,0dea8cc78e19b448be4a143f749638054474ae0aa0d7f4a12835ec3c423ac95a,7,7.9398265739882845e-09,8,0.1094973498777984,0.30196320204927574
LM,QCL,2,aea8b6896de3183d7f86c075a6bf6f9fccf0eef29248fd71ce3744d72fdfe626,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.602416893792252,14a929e0e59f3e5db65754c4c2b9a2be2313fb979e2e2d6ed339854f4e906dfd,8,6.3192726607042005e-09,9,0.15180210544377692,0.31532762138073428
LM,QCL,2,e5b8cac05d1efd9b95278f71886466a4f8e5f07d1af97f6e876eaab0a21b7d5d,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,29.447592753548395,5168f35d7fd7c97d6b9f8d8dd116c67b1145a666deace75d4eda8294cded0371,4,6.6732024350812935e-09,10,0,0.27380546140215267
LM,QCL,2,15eba572a6cc4bfa0f8624d8de7ddb6757dd0c6c96195745827df83ed610911b,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,35.992835711970969,9dde8a15e77ad0a8c52d157ae5c3372fa0a6764f849c59caf430bb48f8048e77,5,6.7430692141101645e-09,11,0.035921020870597238,0.26946138497861705
LM,QCL,2,90b13dc6c01602ddad3a97948523d564c35ba6507b9153d97b8674d7eed48f3a,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,39.985628890992238,b2e2d766e69cda3a279b5887c0033197f4f945ef398f16868a5441fd817032a6,6,9.7142756061430191e-09,12,0.060706878508672485,0.2675469329141501
LM,QCL,2,80c2cf28674ff853802605ff2ddc2641ea45f37c51c4a4b6a412cc86730e7454,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,39.146750107546616,c0cd799100eed0bc64fdb823dd5419fa6876ae70cc993ff4d0ba645c04352618,7,7.8064736896976683e-09,13,0.081490784650630824,0.26754412076250472
LM,QCL,2,6c3671dd4fdf51685ef601ff3ac89bd0fd6e39101ea7938275fd4855decc43e4,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.432841744452766,5d07ade33f015c5fcfdbaaa062eb55a62239573e219e0493167d400378f0c47f,8,6.3402785244193183e-09,14,0.11189362552345371,0.2725302472156888
LM,QCL,2,850e532cee68c24bcb2071004a6af42a4ba213e7b5e8bd0f59655c778eb34c9a,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,29.447592753548395,5168f35d7fd7c97d6b9f8d8dd116c67b1145a666deace75d4eda8294cded0371,4,6.6732024350812935e-09,15,0,0.24780539945791472
LM,QCL,2,c6064ce76ab4cf9ee207a963b5be2d327f6bb65c8fe1807a5ef4a85838259553,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,35.913694085081275,427fa0478021b71092031244ed2092191f6a6ff3ab495ae766e3ab069c18c120,5,6.0164486725966526e-09,16,0.028377790623836063,0.24362286222135357
LM,QCL,2,5383df17b3971b7f7ed2e85d1598b2b5fd656d967627528198bbb5376006457d,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,39.804961652112297,97fb24e380166f599353b5ac72b2904ed9a2d4ca03b27912e4d75778bcd74798,6,1.0402041894508329e-08,17,0.047379157022427426,0.2411398125430651
LM,QCL,2,073e9bf0ced6d0f1baca3664eff7cdeac08ee5cfddfe00d61b227a67f37be6b6,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.965095423466117,0d43a1854998e5984bc46e7bd8e992569449606ecc1da6b552914b307e07aed7,7,7.719103578551767e-09,18,0.062607032198326723,0.23934210216339841
LM,QCL,2,f46ddb92fc1d0b3d1e79df033d198cf4d3d237f545304727b9eb4aa7a9a3f0bd,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.331408138273872,00e2d0336c61939f6d30a77fe673e893bdfb3e0581cf72ea94790f39577c8ef7,8,6.2735714401185305e-09,19,0.082821382012370603,0.24008469317964887
LM,QCL,3,8c127dcefd4bca3c344a93ba01090873027d456d676c422c2bb00566e2b58057,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,28.40981464924181,8ae1b1b1c33e31014beea786b10f53c3ee3f61183c2fc64e47679d83896ff565,4,6.5133800575267742e-09,0,,
LM,QCL,3,90e9bdcf73514d7e0c3a4c636845edfb159b9d1b85c16fe6b52381835ebb0f6b,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,35.055709120991445,8dbb85a34e18c2ffa1944fc43a8dc52eab6ef327c0076c3ca35b5e2538995db5,5,6.5124967640883824e-09,1,,
LM,QCL,3,d1f6d32a370409b9cfde505eab0e27e3eece77f89525ee6d32f0eaeba8dcd521,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,39.00983883503433,d812eb724c003364f3f8ec64a060a6d6d051a8e05b121a88899a264ad342f2c4,6,9.5582635140090133e-09,2,,
LM,QCL,3,4c6ca57413d1184b46d0e3eec46a45be422ea783b4b813a260afe267259a96d2,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,39.110996567454251,df8c3f0042073aaa0ea5369284105275d7b75348707ec9dde17d425a3ce96765,7,7.9892039650530933e-09,3,,
LM,QCL,3,df87feaba1c0feaf3807bc09fd87946547bfa2e9f96ab06f9e4c1b3cef66cc2c,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.446863746486656,bc664127ada772aed6bf160a4d4d06870dcbae062ac6b777e1d0a93301f1b966,8,6.3670846373042878e-09,4,,
LM,QCL,3,472d81796954bc667000142eaa568065692ef11c169e976b19335b5dcc6417ef,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,28.40981464924181,8ae1b1b1c33e31014beea786b10f53c3ee3f61183c2fc64e47679d83896ff565,4,6.5133800575267742e-09,5,0,0.29708818009084298
LM,QCL,3,9035d856b7f78452e035e21e8752ae3335c01dbb579340c3811d66682312ab50,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,34.958772940509078,c0fb0f6a772bdbddb0b75b405da05165a4e81f774fc76ec775513db12df08e0f,5,6.3235221503532557e-09,6,0.047893845680121165,0.29406935920776173
LM,QCL,3,7c095a21c6884195f771d4130094b503335a194cda8b46433256c4375e0771d2,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.796551479863453,0821d02d0c7ec986285fbcdea41b48759cacbea76b38fcb83c02d34055a12f9a,6,9.4319991816860238e-09,7,0.081380064947789571,0.29452721911852853
LM,QCL,3,3f8333399cb065ed0a19b102173a393af7a4ab445cf8b806b60a5e56560571d7,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.901297253657397,fab000eb1c4f46527641665f73574c79a0c811a5331d72c47963e0fd1dfe482b,7,8.3368316694532041e-09,8,0.10955091114142486,0.29911652755909351
LM,QCL,3,bd12862a9aff22c25ab1a61e9092822c551add5ceba62a0cd789b5c64b93be83,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.219847194666656,4daf061750381e046232ab3eae9f2865165372305e624c571a4ffa7a5ab5a074,8,6.2461569250160665e-09,9,0.15411919993987494,0.31238013973072998
LM,QCL,3,a5911f62da844532f40b09f6bd2c1d59d0eb0c53cebabcb069f97cf73dc285a8,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,28.40981464924181,8ae1b1b1c33e31014beea786b10f53c3ee3f61183c2fc64e47679d83896ff565,4,6.5133800575267742e-09,10,0,0.27018071465694965
LM,QCL,3,4d535a78cb832c82d3a5b675d63f53444535db50a7928a01296101e87a8d5006,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,34.870280345092056,57608d528075c497e883f6fdd64194bbb038c36e67250e2946868662ed83ef1f,5,6.7410614867924323e-09,11,0.036777832488560036,0.26536181731734132
LM,QCL,3,3e25683b6e294c463e6630eb9f610a11c986a796162031baccbfd6736b314418,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.605880414039049,972160e017006a7547dbde0df17b7e510195ef7414951c178dc9da667fe2f4ca,6,9.101864151261907e-09,12,0.061786638610776011,0.26303950009323857
LM,QCL,3,12bdf91656b1a21db0c47086ed8a256c38c92af4615c697e5c139db808be4961,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.703199074606083,1c1f957c77019f772cc8bb27afa94f4cd27f5c16c273246f70f22c547d6ddac6,7,7.6826163208920661e-09,13,0.081264170046183873,0.26290252615802429
LM,QCL,3,9adcb45658a2ccb4e6d20226bc3eda619a3444c9810dd39282e139316b1e204c,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.082188457679067,2483b562e4d34b038b368dcd09483dd2756e76fcf00cbaf1dfcf93a0b9e527da,8,6.2800422639952558e-09,14,0.11162181918759213,0.26757058758116942
LM,QCL,3,694e57459f2601c2cdcd6bd2387a3482acf4f4ff32b9eb02b739de9b22500982,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,28.40981464924181,8ae1b1b1c33e31014beea786b10f53c3ee3f61183c2fc64e47679d83896ff565,4,6.5133800575267742e-09,15,0,0.24300341811814305
LM,QCL,3,3f655e930902694f9ed4fc552f5b06636fb4acd10a65d9d5203371632d0e9e41,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,34.795305819901451,f8ce951daea032f13b297a9d8eb6f814f033da517189b697881e69034bc763c8,5,6.0546527791416338e-09,16,0.029083802483944293,0.23910732451723704
LM,QCL,3,d1578d4f4bdfbab75549b82135c8a720ce39fcb842aa544088601babb71a616a,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.449336644866115,66bf78afa3a9de231d16c99e957d004180712cd10c5e0afd8b4309f60db1251c,6,8.8574791945461584e-09,17,0.048338204684794037,0.23690083335580642
LM,QCL,3,6fa3c7ad11973c30f6ef12cf9a80c277f3f7ad79dc48118ce19be65837bbd0ed,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.542513688160227,fe37a166c182dff9381ab065de6636f05aecd67cbc8c4561f8c3c1f302be992f,7,8.0707076577368753e-09,18,0.062451437074940212,0.23549973157470985
LM,QCL,3,7b12e97cea4b7e983c1c7971ee67dc89d2f9e25059b0eefc2e8da3c91757d981,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.024530011497788,ff9e999a6327497a00a83d76491f16d0a4e412efc1bd5083749b1e246428cc81,8,6.3397251892638451e-09,19,0.083119698572461376,0.23674962474748518
LM,QCL,4,e21dfbb42cf00df87932731016ad316ea9ab7aa5f27443487f24faa4ff160935,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,28.305427450535095,7aa4fa3e94cc62319e85c73a051495448b504d56b19b3608a75b63b7785f7c7a,4,6.5589920161812643e-09,0,,
LM,QCL,4,1b3f3aadb7015633c8fc3b9f85e38ce899710123d00be88964d6c3763ca67253,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,34.354641771192341,6ac138cf888004c1fecbbe261ce78cd596ddf4762b025f1ea5870922682093f9,5,6.4718004288977227e-09,1,,
LM,QCL,4,f95daafd11fc274fcafc332961027d386b6cd747d021a83bd1c6942d28d9ff14,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.986851170103073,5c73de6c6a6a6a473357a6983236569d0f53be44a7242fea4e800e8bad10b0b2,6,9.9930241859169655e-09,2,,
LM,QCL,4,2e1dd84aac16b06eb6d454333638b89d4481f825044900d69695bd0b25c3257a,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,39.043258177543336,4b1cde2d96daac331d865b814223eefe30778b08143a7aa71fa7c66d59b99b4a,7,7.8433357586504826e-09,3,,
LM,QCL,4,a7282595f03a225a6721bb2a416712f60fe38f3a92a687d99c0ca82ffb4d4b0f,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,39.220792829381161,61eebce8887b48302298c224562b770a415408b9c9bc8daeebd8199b04870985,8,6.3464433708304568e-09,4,,
LM,QCL,4,6192e87ccb25e75a983b2f336120f0494ad79426f3811e28ae3cb2b135897c66,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,28.305427450535095,7aa4fa3e94cc62319e85c73a051495448b504d56b19b3608a75b63b7785f7c7a,4,6.5589920161812643e-09,5,0,0.30092897239989158
LM,QCL,4,2824ab93698cdaca8e2cceee113899bb8e59c272c050ae8bb42bcd53d36e3c52,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,34.277672819698154,a79601cd280022948755c4103521516b57810475ecf07353ba303c4fc0e4fe10,5,6.3540377404081028e-09,6,0.04887994552108401,0.29767431894682594
LM,QCL,4,cc6d62201f0a2c9e67cef3f014f835a6e8ad2d32e6c689098449c69e97a5fcad,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.811964277255299,a29237eaf42d7a97628ac567f789254ab5ffac864d1fe0f19257fca9e4ed874d,6,9.0386631512728854e-09,7,0.083149901048024208,0.29848292870894721
LM,QCL,4,1e898c91ce276ed08d7f93207139690d88a74f4efda61d444b5d198343d9b6a3,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.82830507386921,d17ecab38ff773282a49cb64ad60c483a55c8576967b719c1b9ea8a0d0839bd1,7,7.8134743120017447e-09,8,0.11270991946410464,0.30326303128784471
LM,QCL,4,752343369929b91a13ec4b3782fc6483114c640ed9eeef81fc2d5dd25e700113,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.997304089770871,0ed016fa4b56f94329c88f44d67bd914658d46ffe583d0692413580928fdce22,8,6.4051266512876737e-09,9,0.15555329048275668,0.31645353402101756
LM,QCL,4,cadc089d6669382f4b2210ea5c1b9976456c40c2b547da43bc25501a3738f7c3,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,28.305427450535095,7aa4fa3e94cc62319e85c73a051495448b504d56b19b3608a75b63b7785f7c7a,4,6.5589920161812643e-09,10,0,0.27309344324623269
LM,QCL,4,f4a927c098237e83623fc11bc3fda152616cbfb3e01c7a8418a3e4c921bdad30,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,34.203931975992013,a90abe367d76bb5ee1677f560181d93673a758be5d2556b3f548ae0a6f8a4077,5,6.564877974568617e-09,11,0.037490596198619504,0.26832864060275852
LM,QCL,4,8ddb796161411888330757f2bf405912e756050dbcd91c2c444e7bc66cb9f98a,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.643910389207832,bc5053d0e37a3139744340f2cc7f2777580d223a25665dc0426af66ea45e220b,6,8.9739558006840525e-09,12,0.062837212773470499,0.26629587767117796
LM,QCL,4,a6142818ca414f6e6fc9490735ff63c9b0527913c39d935254fba62b59abecfd,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.623667783109603,3c3a581b0400951f40492144bb2f6b2589f971c7ce1ab9b9479f5e539ca069ea,7,7.7704802592393207e-09,13,0.082907263456420799,0.26630756917863352
LM,QCL,4,50e5cb33d47b2d4f7691aa7a953cf1f7cc6f8aeb724095a9ebc256d479f1bf62,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.841355444539971,5e55284ca49c0e5f637b5f586f7ce7ebdc334994b9a76baa044b84342cb3ac3c,8,6.3900169600117351e-09,14,0.11353195803899023,0.27106297020262499
LM,QCL,4,2af28215c843762f8b89cd5c7a1dcbd9786f9a923d745a4286b1b123531f6400,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,28.305427450535095,7aa4fa3e94cc62319e85c73a051495448b504d56b19b3608a75b63b7785f7c7a,4,6.5589920161812643e-09,15,0,0.24557045760953744
