role,path,bytes,mode,sha256
c0:unit_terminal:07,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c0-kstep-10xb100-v1/raw/cases/case-07/terminal.json,2158134,0600,20397173ac5d51cd92df1825b3c6619fff33367089335f15114c48aa044c4422
c0:unit_terminal:08,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c0-kstep-10xb100-v1/raw/cases/case-08/terminal.json,2158244,0600,8bc07cd70e3559bed1fb54c2e2f1d76f18d8b2cf71cd7b8bc276ac83ae787232
c0:unit_terminal:09,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c0-kstep-10xb100-v1/raw/cases/case-09/terminal.json,2159066,0600,36e3de6663169cfc844f76b638a3e1f55d6996d5ac23dd1fda0ad32ae2f29d1f
c0:unit_terminal:10,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c0-kstep-10xb100-v1/raw/cases/case-10/terminal.json,2156984,0600,058ca012bba103a6d8055bee90f847a0b39bfd354969553cb9f52aa1b2c55796
c1:top_terminal,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c1-kstep-10xb100-v1/terminal.json,13542,0600,5d9d7d0100a58389ecccf7035f5aa07d496f7bf525211561c7c295ae6b0cd234
c1:result_manifest,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c1-kstep-10xb100-v1/manifest.json,1061,0600,4365dd7a7e95eaeb2790568847586ab13e0a023298e231fd8556a65b490e8f1b
c1:source_manifest,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c1-kstep-10xb100-v1/source-manifest.json,2581,0600,ede2377a096c434b6516431d74a4d927d47535b4f1842c7999ac4ab6d85ac947
c1:job_timing,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c1-kstep-10xb100-v1/job-timing.json,313,0600,b7f3f7938e116cb9ce38c3d577e2052fd92fea5f934a80e2cf23d2964172c6a4
c1:unit_terminal:01,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c1-kstep-10xb100-v1/raw/cases/case-01/terminal.json,2156031,0600,156bedcb389785e1f92c9c2ef1569e5308dfb81dd7526b08f0c61e4cf75a9264
c1:unit_terminal:02,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c1-kstep-10xb100-v1/raw/cases/case-02/terminal.json,2155580,0600,55f3871655e4c9df8e01a8309fe8aefec46505287bfeb65cb00fe1fb3f9e168e
c1:unit_terminal:03,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c1-kstep-10xb100-v1/raw/cases/case-03/terminal.json,2153567,0600,146622ec7d43691f278a1fcb51a26c3ad5d83b5fff8c1cf22dc39d34ebed5430
c1:unit_terminal:04,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c1-kstep-10xb100-v1/raw/cases/case-04/terminal.json,2157556,0600,63a3e788aeb4b80be87a28453c78549eb44213114cafed3cf3d00bc37fac2018
c1:unit_terminal:05,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c1-kstep-10xb100-v1/raw/cases/case-05/terminal.json,2155873,0600,ac59e0b890594b22c8c5cbfb7573bcae2798a8d1f8c14fbf13e886d4f390dfb4
c1:unit_terminal:06,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c1-kstep-10xb100-v1/raw/cases/case-06/terminal.json,2158663,0600,b61a1b6d7d0a52b2a27f70b932bc613b11e8d96f2662097d731ec8f8de04a705
c1:unit_terminal:07,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c1-kstep-10xb100-v1/raw/cases/case-07/terminal.json,2155926,0600,9b20e6d77ab1a30b5f686eea4c11aa9d502ffc56d5096df2fe13f4c2c2facfee
c1:unit_terminal:08,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c1-kstep-10xb100-v1/raw/cases/case-08/terminal.json,2155837,0600,b7a78443f53f4cd3607616c4289e85dba5817d940dfa8a4377bdf15055ecc768
c1:unit_terminal:09,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c1-kstep-10xb100-v1/raw/cases/case-09/terminal.json,2156346,0600,d4e709dfa577db22535a819fe973cfd24d85a8e37ac967e7d8531d7fb107f34f
c1:unit_terminal:10,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c1-kstep-10xb100-v1/raw/cases/case-10/terminal.json,2155153,0600,83981713960545cdf151ff9e5005ad4460d24489d9d1aed32e80bddd571a2910
c3:top_terminal,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c3-kstep-10xb100-v1/terminal.json,13536,0600,542ce8cc61df7c553ee5c0eb3d764145160fab3a77af16824bd62260dea30527
c3:result_manifest,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c3-kstep-10xb100-v1/manifest.json,1061,0600,8c6a8b4bd8518f7bc01d0e497b9a6e205e2146f71ff08dae5c8e53d862169869
c3:source_manifest,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c3-kstep-10xb100-v1/source-manifest.json,2581,0600,ede2377a096c434b6516431d74a4d927d47535b4f1842c7999ac4ab6d85ac947
c3:job_timing,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c3-kstep-10xb100-v1/job-timing.json,314,0600,15cba422aa987adbb2739aedc382f44bc8e54873aa4574d6635b240a9f64d9e2
c3:unit_terminal:01,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c3-kstep-10xb100-v1/raw/cases/case-01/terminal.json,2136479,0600,50026351806cda46e0515aa402a623884c9bf99653a4a3b154754286168af974
c3:unit_terminal:02,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c3-kstep-10xb100-v1/raw/cases/case-02/terminal.json,2135868,0600,6af09c09c7632593afa6a36245ff5e5b722b96d935786a2a6ecd3ac16827f806
c3:unit_terminal:03,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c3-kstep-10xb100-v1/raw/cases/case-03/terminal.json,2133948,0600,348bf37dba12dc54294c95329e431dc47b23884ec9e478274442668c77f088e0
c3:unit_terminal:04,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c3-kstep-10xb100-v1/raw/cases/case-04/terminal.json,2137610,0600,eec028497caba04e60e8ab14d4be3f7d439e535fa500546eaf6beb9d84315815
c3:unit_terminal:05,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c3-kstep-10xb100-v1/raw/cases/case-05/terminal.json,2136377,0600,c3555d2862c324841eda12ce1f39c34edd268c0d2da9e615e77502732cc34fbc
c3:unit_terminal:06,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c3-kstep-10xb100-v1/raw/cases/case-06/terminal.json,2139317,0600,cfc81abb0f1bcb5ff97243629f541013c44a662acdd4a9798931079f7789d42e
c3:unit_terminal:07,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c3-kstep-10xb100-v1/raw/cases/case-07/terminal.json,2136206,0600,42f01ff2c92b5b28a4ec06712da21eadae87e64c5fc931bfad9acaa25c96b44b
c3:unit_terminal:08,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c3-kstep-10xb100-v1/raw/cases/case-08/terminal.json,2136367,0600,4691b2d1cce3c779d73cc761e7ae8523e8705588e9951180d5e5495c737fbe38
c3:unit_terminal:09,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c3-kstep-10xb100-v1/raw/cases/case-09/terminal.json,2137688,0600,c94f736c73d924d9bf1836e497b3f6fb261057b71cf54e7692761a63af4116a1
c3:unit_terminal:10,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c3-kstep-10xb100-v1/raw/cases/case-10/terminal.json,2135635,0600,160bf4aeaa86cfc6e2afec6229cfaffd6c8a206f45031e5fe71d49e5eec45172
