cell_id,policy,batch,ordinal_start,ordinal_stop,entry_origin,target_update_caps,write_gammas,target_mode,history_appends,execution_route,checkpoint,suffix500_eval,fullseen6000_eval
SEQ1000-REFIT4-B060,REFIT4,60,5900,6000,OWN_PREVIOUS_BATCH_ENDPOINT,24+24,0.75+1.0,fresh_current_stage,1,existing_seq10_if_comparison_closure_matches,True,True,True
SEQ1000-FROZEN2-B051,FROZEN2,51,5000,5100,COMMON_W50,24+0,0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,True,False,False
SEQ1000-FROZEN2-B052,FROZEN2,52,5100,5200,OWN_PREVIOUS_BATCH_ENDPOINT,24+0,0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,False,False,False
SEQ1000-FROZEN2-B053,FROZEN2,53,5200,5300,OWN_PREVIOUS_BATCH_ENDPOINT,24+0,0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,False,False,False
SEQ1000-FROZEN2-B054,FROZEN2,54,5300,5400,OWN_PREVIOUS_BATCH_ENDPOINT,24+0,0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,False,False,False
SEQ1000-FROZEN2-B055,FROZEN2,55,5400,5500,OWN_PREVIOUS_BATCH_ENDPOINT,24+0,0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,True,True,False
SEQ1000-FROZEN2-B056,FROZEN2,56,5500,5600,OWN_PREVIOUS_BATCH_ENDPOINT,24+0,0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,False,False,False
SEQ1000-FROZEN2-B057,FROZEN2,57,5600,5700,OWN_PREVIOUS_BATCH_ENDPOINT,24+0,0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,False,False,False
SEQ1000-FROZEN2-B058,FROZEN2,58,5700,5800,OWN_PREVIOUS_BATCH_ENDPOINT,24+0,0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,False,False,False
SEQ1000-FROZEN2-B059,FROZEN2,59,5800,5900,OWN_PREVIOUS_BATCH_ENDPOINT,24+0,0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,False,False,False
SEQ1000-FROZEN2-B060,FROZEN2,60,5900,6000,OWN_PREVIOUS_BATCH_ENDPOINT,24+0,0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,True,True,True
SEQ1000-I2-B051,I2,51,5000,5100,COMMON_W50,12+12,0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,True,False,False
SEQ1000-I2-B052,I2,52,5100,5200,OWN_PREVIOUS_BATCH_ENDPOINT,12+12,0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,False,False,False
SEQ1000-I2-B053,I2,53,5200,5300,OWN_PREVIOUS_BATCH_ENDPOINT,12+12,0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,False,False,False
SEQ1000-I2-B054,I2,54,5300,5400,OWN_PREVIOUS_BATCH_ENDPOINT,12+12,0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,False,False,False
SEQ1000-I2-B055,I2,55,5400,5500,OWN_PREVIOUS_BATCH_ENDPOINT,12+12,0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,True,True,False
SEQ1000-I2-B056,I2,56,5500,5600,OWN_PREVIOUS_BATCH_ENDPOINT,12+12,0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,False,False,False
SEQ1000-I2-B057,I2,57,5600,5700,OWN_PREVIOUS_BATCH_ENDPOINT,12+12,0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,False,False,False
SEQ1000-I2-B058,I2,58,5700,5800,OWN_PREVIOUS_BATCH_ENDPOINT,12+12,0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,False,False,False
SEQ1000-I2-B059,I2,59,5800,5900,OWN_PREVIOUS_BATCH_ENDPOINT,12+12,0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,False,False,False
SEQ1000-I2-B060,I2,60,5900,6000,OWN_PREVIOUS_BATCH_ENDPOINT,12+12,0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,True,True,True
SEQ1000-FROZEN4-B051,FROZEN4,51,5000,5100,COMMON_W50,24+0+0+0,0.75+0.75+0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,True,False,False
SEQ1000-FROZEN4-B052,FROZEN4,52,5100,5200,OWN_PREVIOUS_BATCH_ENDPOINT,24+0+0+0,0.75+0.75+0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,False,False,False
SEQ1000-FROZEN4-B053,FROZEN4,53,5200,5300,OWN_PREVIOUS_BATCH_ENDPOINT,24+0+0+0,0.75+0.75+0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,False,False,False
SEQ1000-FROZEN4-B054,FROZEN4,54,5300,5400,OWN_PREVIOUS_BATCH_ENDPOINT,24+0+0+0,0.75+0.75+0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,False,False,False
SEQ1000-FROZEN4-B055,FROZEN4,55,5400,5500,OWN_PREVIOUS_BATCH_ENDPOINT,24+0+0+0,0.75+0.75+0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,True,True,False
SEQ1000-FROZEN4-B056,FROZEN4,56,5500,5600,OWN_PREVIOUS_BATCH_ENDPOINT,24+0+0+0,0.75+0.75+0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,False,False,False
SEQ1000-FROZEN4-B057,FROZEN4,57,5600,5700,OWN_PREVIOUS_BATCH_ENDPOINT,24+0+0+0,0.75+0.75+0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,False,False,False
SEQ1000-FROZEN4-B058,FROZEN4,58,5700,5800,OWN_PREVIOUS_BATCH_ENDPOINT,24+0+0+0,0.75+0.75+0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,False,False,False
SEQ1000-FROZEN4-B059,FROZEN4,59,5800,5900,OWN_PREVIOUS_BATCH_ENDPOINT,24+0+0+0,0.75+0.75+0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,False,False,False
SEQ1000-FROZEN4-B060,FROZEN4,60,5900,6000,OWN_PREVIOUS_BATCH_ENDPOINT,24+0+0+0,0.75+0.75+0.75+1.0,freeze_own_batch_first_absolute_target,1,new_1000_request_chain,True,True,True
SEQ1000-I4-B051,I4,51,5000,5100,COMMON_W50,6+6+6+6,0.75+0.75+0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,True,False,False
SEQ1000-I4-B052,I4,52,5100,5200,OWN_PREVIOUS_BATCH_ENDPOINT,6+6+6+6,0.75+0.75+0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,False,False,False
SEQ1000-I4-B053,I4,53,5200,5300,OWN_PREVIOUS_BATCH_ENDPOINT,6+6+6+6,0.75+0.75+0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,False,False,False
SEQ1000-I4-B054,I4,54,5300,5400,OWN_PREVIOUS_BATCH_ENDPOINT,6+6+6+6,0.75+0.75+0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,False,False,False
SEQ1000-I4-B055,I4,55,5400,5500,OWN_PREVIOUS_BATCH_ENDPOINT,6+6+6+6,0.75+0.75+0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,True,True,False
SEQ1000-I4-B056,I4,56,5500,5600,OWN_PREVIOUS_BATCH_ENDPOINT,6+6+6+6,0.75+0.75+0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,False,False,False
SEQ1000-I4-B057,I4,57,5600,5700,OWN_PREVIOUS_BATCH_ENDPOINT,6+6+6+6,0.75+0.75+0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,False,False,False
SEQ1000-I4-B058,I4,58,5700,5800,OWN_PREVIOUS_BATCH_ENDPOINT,6+6+6+6,0.75+0.75+0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,False,False,False
SEQ1000-I4-B059,I4,59,5800,5900,OWN_PREVIOUS_BATCH_ENDPOINT,6+6+6+6,0.75+0.75+0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,False,False,False
SEQ1000-I4-B060,I4,60,5900,6000,OWN_PREVIOUS_BATCH_ENDPOINT,6+6+6+6,0.75+0.75+0.75+1.0,carry_absolute_target_with_entry_offset_leaf,1,new_1000_request_chain,True,True,True
