model,method,case_id,candidate_id,axis,sign,seed,rho,gamma,valid,failure,z_sha256,action,action_overhead_relative,functional_cvar,functional_cvar_drift,NK_E,NK_H,NK_T,target_activation_relative,target_logits_relative,rewrite_new_nll_mean,rewrite_new_strict_rate,rephrase_new_nll_mean,rephrase_new_strict_rate,locality_true_nll_mean
llama3-8b-inst,alphaedit,1477,axis-2-plus,2,1,6694788330266848260,0.05,0.20119077434901808,True,,45cb22f08a86694cb3097db328b87b99c545ebe44ab1f677c77e5bf984f7f0fd,12.215304565883484,0.050000000000000044,0.0024565367493778467,-3.883359022438526e-05,2.0248780430165425e-08,4.678783938061315e-08,8.84332393980003e-08,1.3880163862722839e-07,0.00014434268814511597,0.0006336349761113524,1.0,0.0013182821567170322,1.0,4.797973036766052
llama3-8b-inst,alphaedit,1477,axis-3-minus,3,-1,8767261501204539504,0.05,0.1967871894105121,True,,45cb22f08a86694cb3097db328b87b99c545ebe44ab1f677c77e5bf984f7f0fd,12.215304565883484,0.050000000000000044,0.0024859625846147537,-9.407754987478256e-06,7.170463778294334e-09,4.4585966918475606e-08,2.673330534719298e-08,1.3957493649741082e-07,6.841412687208503e-05,0.0006342306733131409,1.0,0.00132024654885754,1.0,4.797253656387329
llama3-8b-inst,alphaedit,1477,axis-3-plus,3,1,8767261501204539504,0.05,0.1967871894105121,True,,45cb22f08a86694cb3097db328b87b99c545ebe44ab1f677c77e5bf984f7f0fd,12.215304565883484,0.050000000000000044,0.0025053704157471657,1.00000761449337e-05,7.170463778294334e-09,4.4585966918475606e-08,2.673330534719298e-08,1.3748267235769163e-07,6.863876478746533e-05,0.000634111522231251,1.0,0.0013181630638428032,1.0,4.797145533561706
llama3-8b-inst,alphaedit,20838,reference-duplicate-0,,0,,0.0,0.0,True,,204f65efecd3d79e7dea1e4779888f1968d60b0e94091e06fd23cf81a6166c68,,,0.007537077646702528,0.0,,,,,,0.000491855782456696,1.0,0.875284343957901,1.0,10.674584007263183
llama3-8b-inst,alphaedit,20838,reference-duplicate-1,,0,,0.0,0.0,True,,204f65efecd3d79e7dea1e4779888f1968d60b0e94091e06fd23cf81a6166c68,,,0.007537077646702528,0.0,,,,,,0.000491855782456696,1.0,0.875284343957901,1.0,10.674584007263183
llama3-8b-inst,alphaedit,20838,axis-0-minus,0,-1,8356167838496790777,0.05,0.24370556739157465,True,,204f65efecd3d79e7dea1e4779888f1968d60b0e94091e06fd23cf81a6166c68,18.37965965583538,0.04999999999999982,0.007581709884107113,4.4632237404584885e-05,3.4663472092688608e-09,3.862260911091653e-08,5.644298362028621e-09,1.3253711017569003e-07,0.0006041719461791217,0.0004935238393954933,1.0,0.8727152347564697,1.0,10.67438473701477
llama3-8b-inst,alphaedit,20838,axis-0-plus,0,1,8356167838496790777,0.05,0.24370556739157465,True,,204f65efecd3d79e7dea1e4779888f1968d60b0e94091e06fd23cf81a6166c68,18.37965965583538,0.04999999999999982,0.007493556942790747,-4.352070391178131e-05,3.4663472092688608e-09,3.862260911091653e-08,5.644298362028621e-09,1.390403951972985e-07,0.0005997027037665248,0.0004901876673102379,1.0,0.877858430147171,1.0,10.67476544380188
llama3-8b-inst,alphaedit,20838,axis-1-minus,1,-1,7254591324193893552,0.05,0.2442346903089843,True,,204f65efecd3d79e7dea1e4779888f1968d60b0e94091e06fd23cf81a6166c68,18.37965965583538,0.04999999999999982,0.00747911911457777,-5.795853212475777e-05,6.656115658643103e-08,5.307168038370946e-08,7.04951972352319e-08,1.3586172542545683e-07,0.00034453501575626433,0.0004916174802929163,1.0,0.8751366138458252,1.0,10.674644470214844
llama3-8b-inst,alphaedit,20838,axis-1-plus,1,1,7254591324193893552,0.05,0.2442346903089843,True,,204f65efecd3d79e7dea1e4779888f1968d60b0e94091e06fd23cf81a6166c68,18.37965965583538,0.04999999999999982,0.007597193121910095,6.0115475207567215e-05,6.656115658643103e-08,5.307168038370946e-08,7.04951972352319e-08,1.3351542804684868e-07,0.00034513676655478776,0.0004920940846204758,1.0,0.8754240870475769,1.0,10.674499034881592
llama3-8b-inst,alphaedit,20838,axis-2-minus,2,-1,2209754373356895447,0.05,0.24217383961479377,True,,204f65efecd3d79e7dea1e4779888f1968d60b0e94091e06fd23cf81a6166c68,18.379659655835383,0.050000000000000044,0.0075237504206597805,-1.3327226042747498e-05,5.461684793317545e-08,4.460281388674048e-08,7.712731786568838e-08,1.3162974710212438e-07,0.00033234324655495584,0.0004923323867842555,1.0,0.8772657811641693,1.0,10.671762800216674
llama3-8b-inst,alphaedit,20838,axis-2-plus,2,1,2209754373356895447,0.05,0.24217383961479377,True,,204f65efecd3d79e7dea1e4779888f1968d60b0e94091e06fd23cf81a6166c68,18.379659655835383,0.050000000000000044,0.007552082650363445,1.5005003660917282e-05,5.461684793317545e-08,4.460281388674048e-08,7.712731786568838e-08,1.3478829430368933e-07,0.0003323056153021753,0.0004911408759653568,1.0,0.8732959926128387,1.0,10.677374076843261
llama3-8b-inst,alphaedit,20838,axis-3-minus,3,-1,2310396076270283377,0.05,0.2441637642771768,True,,204f65efecd3d79e7dea1e4779888f1968d60b0e94091e06fd23cf81a6166c68,18.37965965583538,0.04999999999999982,0.007642550393939018,0.00010547274723649025,2.9998565853617265e-09,5.288956828053415e-08,1.7595310097817674e-08,1.3320085656687297e-07,0.0001930191065184772,0.000491855782456696,1.0,0.8752278089523315,1.0,10.67416844367981
llama3-8b-inst,alphaedit,20838,axis-3-plus,3,1,2310396076270283377,0.05,0.2441637642771768,True,,204f65efecd3d79e7dea1e4779888f1968d60b0e94091e06fd23cf81a6166c68,18.37965965583538,0.04999999999999982,0.0074342843145132065,-0.00010279333218932152,2.9998565853617265e-09,5.288956828053415e-08,1.7595310097817674e-08,1.3023445433191227e-07,0.00019320509454701096,0.0004917366313748062,1.0,0.8753358721733093,1.0,10.67498288154602
llama3-8b-inst,alphaedit,18707,reference-duplicate-0,,0,,0.0,0.0,True,,81d9a898464bb169faacae0d7c38e09a733f5b0822c08acb68a06354e42c8aa0,,,0.006273040547966957,0.0,,,,,,0.00011801023356383666,1.0,0.03288388345390558,1.0,4.870072305202484
llama3-8b-inst,alphaedit,18707,reference-duplicate-1,,0,,0.0,0.0,True,,81d9a898464bb169faacae0d7c38e09a733f5b0822c08acb68a06354e42c8aa0,,,0.006273040547966957,0.0,,,,,,0.00011801023356383666,1.0,0.03288388345390558,1.0,4.870072305202484
llama3-8b-inst,alphaedit,18707,axis-0-minus,0,-1,4022421735475737023,0.05,0.23021766857164763,True,,81d9a898464bb169faacae0d7c38e09a733f5b0822c08acb68a06354e42c8aa0,16.16985152543341,0.050000000000000044,0.006253757514059544,-1.9283033907413483e-05,9.450684679279675e-09,4.0040948334763016e-08,5.6789897229236885e-08,1.3965477307920082e-07,0.00019412455731071532,0.00011812942830147222,1.0,0.03285202570259571,1.0,4.869569689035416
llama3-8b-inst,alphaedit,18707,axis-0-plus,0,1,4022421735475737023,0.05,0.23021766857164763,True,,81d9a898464bb169faacae0d7c38e09a733f5b0822c08acb68a06354e42c8aa0,16.16985152543341,0.050000000000000044,0.006295009981840849,2.196943387389183e-05,9.450684679279675e-09,4.0040948334763016e-08,5.6789897229236885e-08,1.423038753500805e-07,0.00019420548051130027,0.00011801023356383666,1.0,0.03291713260114193,1.0,4.870570734143257
llama3-8b-inst,alphaedit,18707,axis-1-minus,1,-1,8752141375884780730,0.05,0.23136193266941668,True,,81d9a898464bb169faacae0d7c38e09a733f5b0822c08acb68a06354e42c8aa0,16.16985152543341,0.050000000000000044,0.006298837251961231,2.579670399427414e-05,2.1239069170064795e-08,4.6930022534752425e-08,5.612005971045164e-09,1.473519972705617e-07,0.00026383783551864326,0.00011789103882620111,1.0,0.03286592476069927,1.0,4.869797310233116
llama3-8b-inst,alphaedit,18707,axis-1-plus,1,1,8752141375884780730,0.05,0.23136193266941668,True,,81d9a898464bb169faacae0d7c38e09a733f5b0822c08acb68a06354e42c8aa0,16.16985152543341,0.050000000000000044,0.006249742582440376,-2.329796552658081e-05,2.1239069170064795e-08,4.6930022534752425e-08,5.612005971045164e-09,1.397698383698298e-07,0.00026371178682893515,0.00011812942830147222,1.0,0.03290209686383605,1.0,4.8703487604856495
llama3-8b-inst,alphaedit,18707,axis-2-minus,2,-1,985223152559254582,0.05,0.2318898525397006,True,,81d9a898464bb169faacae0d7c38e09a733f5b0822c08acb68a06354e42c8aa0,16.16985152543341,0.050000000000000044,0.006327643990516663,5.4603442549705505e-05,5.920544055015853e-08,4.0827494274253695e-08,9.051797889014779e-08,1.4448509944031684e-07,0.0003174807643517852,0.00011824862303910777,1.0,0.032868425361812115,1.0,4.869850054383278
llama3-8b-inst,alphaedit,18707,axis-2-plus,2,1,985223152559254582,0.05,0.2318898525397006,True,,81d9a898464bb169faacae0d7c38e09a733f5b0822c08acb68a06354e42c8aa0,16.16985152543341,0.050000000000000044,0.0062207928858697414,-5.224766209721565e-05,5.920544055015853e-08,4.0827494274253695e-08,9.051797889014779e-08,1.4245566148929356e-07,0.0003183322260156274,0.00011789103882620111,1.0,0.03289921535179019,1.0,4.8702881067991255
llama3-8b-inst,alphaedit,18707,axis-3-minus,3,-1,100257920196087960,0.05,0.22955837716855476,True,,81d9a898464bb169faacae0d7c38e09a733f5b0822c08acb68a06354e42c8aa0,16.16985152543341,0.050000000000000044,0.006196179427206516,-7.686112076044083e-05,5.673123126825885e-08,4.132921915811494e-08,3.007108517749657e-08,1.4191309105626715e-07,0.00011519187683006749,0.00011789103882620111,1.0,0.03297797264531255,1.0,4.870835927128792
llama3-8b-inst,alphaedit,18707,axis-3-plus,3,1,100257920196087960,0.05,0.22955837716855476,True,,81d9a898464bb169faacae0d7c38e09a733f5b0822c08acb68a06354e42c8aa0,16.16985152543341,0.050000000000000044,0.006352472119033337,7.943157106637955e-05,5.673123126825885e-08,4.132921915811494e-08,3.007108517749657e-08,1.4448329466176801e-07,0.0001149929448729381,0.00011801023356383666,1.0,0.03279009414836764,1.0,4.8693043172359465
llama3-8b-inst,alphaedit,14288,reference-duplicate-0,,0,,0.0,0.0,True,,22df63e825ab6a29e7eae3a7d47f53e947c30a9a4400ece61cd25707b72a0aea,,,0.002649962902069092,0.0,,,,,,0.0019062458304688334,1.0,4.333071827888489,0.0,4.380334191024303
llama3-8b-inst,alphaedit,14288,reference-duplicate-1,,0,,0.0,0.0,True,,22df63e825ab6a29e7eae3a7d47f53e947c30a9a4400ece61cd25707b72a0aea,,,0.002649962902069092,0.0,,,,,,0.0019062458304688334,1.0,4.333071827888489,0.0,4.380334191024303
llama3-8b-inst,alphaedit,14288,axis-0-minus,0,-1,65788183849806250,0.05,0.21870279214896826,True,,22df63e825ab6a29e7eae3a7d47f53e947c30a9a4400ece61cd25707b72a0aea,14.746448318396364,0.050000000000000044,0.0026440354995429516,-5.927402526140213e-06,5.1669953649025047e-08,4.3825487239246286e-08,2.9789231081878143e-09,1.366761068766209e-07,0.00010634501813910902,0.001905888901092112,1.0,4.33411967754364,0.0,4.380017407983542
llama3-8b-inst,alphaedit,14288,axis-0-plus,0,1,65788183849806250,0.05,0.21870279214896826,True,,22df63e825ab6a29e7eae3a7d47f53e947c30a9a4400ece61cd25707b72a0aea,14.746448318396364,0.050000000000000044,0.002656411612406373,6.448710337281227e-06,5.1669953649025047e-08,4.3825487239246286e-08,2.9789231081878143e-09,1.4433481965170358e-07,0.00010626520088408142,0.0019066027598455548,1.0,4.332016825675964,0.0,4.380652080662548
llama3-8b-inst,alphaedit,14288,axis-1-minus,1,-1,3253288830142373983,0.05,0.21919170148214814,True,,22df63e825ab6a29e7eae3a7d47f53e947c30a9a4400ece61cd25707b72a0aea,14.746448318396364,0.050000000000000044,0.0026511559262871742,1.193024218082428e-06,7.833208570673378e-08,4.246235718596836e-08,9.60432977592518e-09,1.3600831039184413e-07,0.00023533562489319593,0.0019054129952564836,1.0,4.332789897918701,0.0,4.3799317425116895
llama3-8b-inst,alphaedit,14288,axis-1-plus,1,1,3253288830142373983,0.05,0.21919170148214814,True,,22df63e825ab6a29e7eae3a7d47f53e947c30a9a4400ece61cd25707b72a0aea,14.746448318396364,0.050000000000000044,0.0026487233117222786,-1.239590346813202e-06,7.833208570673378e-08,4.246235718596836e-08,9.60432977592518e-09,1.3661086484262341e-07,0.0002367103734286502,0.0019070786656811833,1.0,4.333338141441345,0.0,4.380744782462716
llama3-8b-inst,alphaedit,14288,axis-2-minus,2,-1,785129182120108908,0.05,0.22138606922337375,True,,22df63e825ab6a29e7eae3a7d47f53e947c30a9a4400ece61cd25707b72a0aea,14.746448318396364,0.050000000000000044,0.002626169938594103,-2.3792963474988937e-05,8.062249889917439e-08,4.4245535235631905e-08,6.163118460023043e-09,1.367889410630596e-07,0.0001226464519277215,0.001905888901092112,1.0,4.333981275558472,0.0,4.379490432329476
llama3-8b-inst,alphaedit,14288,axis-2-plus,2,1,785129182120108908,0.05,0.22138606922337375,True,,22df63e825ab6a29e7eae3a7d47f53e947c30a9a4400ece61cd25707b72a0aea,14.746448318396364,0.050000000000000044,0.0026747563388198614,2.4793436750769615e-05,8.062249889917439e-08,4.4245535235631905e-08,6.163118460023043e-09,1.3774614160411147e-07,0.00012288588914088905,0.0019066027598455548,1.0,4.332168340682983,0.0,4.3811817862093445
llama3-8b-inst,alphaedit,14288,axis-3-minus,3,-1,7119151962010243945,0.05,0.22079724174561075,True,,22df63e825ab6a29e7eae3a7d47f53e947c30a9a4400ece61cd25707b72a0aea,14.746448318396364,0.050000000000000044,0.002651586662977934,1.6237609088420868e-06,3.4327545250789626e-08,3.329782316541241e-08,4.312689227958799e-08,1.3681315635949431e-07,7.636864029336721e-05,0.0019066027598455548,1.0,4.3342835903167725,0.0,4.38051489982754
llama3-8b-inst,alphaedit,14288,axis-3-plus,3,1,7119151962010243945,0.05,0.22079724174561075,True,,22df63e825ab6a29e7eae3a7d47f53e947c30a9a4400ece61cd25707b72a0aea,14.746448318396364,0.050000000000000044,0.002648704219609499,-1.2586824595928192e-06,3.4327545250789626e-08,3.329782316541241e-08,4.312689227958799e-08,1.3815188992793992e-07,7.628034654771909e-05,0.001905888901092112,1.0,4.331860780715942,0.0,4.380163363181055
llama3-8b-inst,alphaedit,16426,reference-duplicate-0,,0,,0.0,0.0,True,,cdb75537df9d1ec0bc9357d5caee5f02456956851c2398a632cd4754d75b6355,,,0.004454290494322777,0.0,,,,,,0.0008191090892069042,1.0,2.017118811607361,0.5,5.14295449256897
llama3-8b-inst,alphaedit,16426,reference-duplicate-1,,0,,0.0,0.0,True,,cdb75537df9d1ec0bc9357d5caee5f02456956851c2398a632cd4754d75b6355,,,0.004454290494322777,0.0,,,,,,0.0008191090892069042,1.0,2.017118811607361,0.5,5.14295449256897
llama3-8b-inst,alphaedit,16426,axis-0-minus,0,-1,1260414473118618415,0.05,0.23030722201398385,True,,cdb75537df9d1ec0bc9357d5caee5f02456956851c2398a632cd4754d75b6355,15.624699753988489,0.050000000000000044,0.004353188443928957,-0.00010110205039381981,1.4609550014199613e-08,5.35426885051038e-08,1.3554697808615401e-08,1.6983707951112592e-07,7.362997712334618e-05,0.0008192281820811331,1.0,2.018175095319748,0.5,5.143048357963562
llama3-8b-inst,alphaedit,16426,axis-0-plus,0,1,1260414473118618415,0.05,0.23030722201398385,True,,cdb75537df9d1ec0bc9357d5caee5f02456956851c2398a632cd4754d75b6355,15.624699753988489,0.050000000000000044,0.004556425381451845,0.00010213488712906837,1.4609550014199613e-08,5.35426885051038e-08,1.3554697808615401e-08,1.6905428878999373e-07,7.370628736680374e-05,0.0008188708452507854,1.0,2.0160608291625977,0.5,5.142865109443664
llama3-8b-inst,alphaedit,16426,axis-1-minus,1,-1,673822477589916918,0.05,0.22381511376444208,True,,cdb75537df9d1ec0bc9357d5caee5f02456956851c2398a632cd4754d75b6355,15.624699753988489,0.050000000000000044,0.00443296181038022,-2.132868394255638e-05,1.0106904646534076e-08,6.770034843839312e-08,4.163561229120205e-08,1.709393870896747e-07,7.127725257305428e-05,0.0008189899963326752,1.0,2.016961485147476,0.5,5.143434298038483
llama3-8b-inst,alphaedit,16426,axis-1-plus,1,1,673822477589916918,0.05,0.22381511376444208,True,,cdb75537df9d1ec0bc9357d5caee5f02456956851c2398a632cd4754d75b6355,15.624699753988489,0.050000000000000044,0.004475179594010115,2.0889099687337875e-05,1.0106904646534076e-08,6.770034843839312e-08,4.163561229120205e-08,1.7432115839710605e-07,7.149473094614223e-05,0.0008192281820811331,1.0,2.0172630548477173,0.5,5.1424578666687015
llama3-8b-inst,alphaedit,16426,axis-2-minus,2,-1,1988688322149727415,0.05,0.22822003637486807,True,,cdb75537df9d1ec0bc9357d5caee5f02456956851c2398a632cd4754d75b6355,15.624699753988489,0.050000000000000044,0.0044518206268548965,-2.469867467880249e-06,6.467735680359965e-09,6.023935839039041e-08,3.1213158280252173e-08,1.6900597188396205e-07,0.0001797582663130015,0.0008186326595023274,1.0,2.018576681613922,0.5,5.14297571182251
llama3-8b-inst,alphaedit,16426,axis-2-plus,2,1,1988688322149727415,0.05,0.22822003637486807,True,,cdb75537df9d1ec0bc9357d5caee5f02456956851c2398a632cd4754d75b6355,15.624699753988489,0.050000000000000044,0.004455889575183392,1.5990808606147766e-06,6.467735680359965e-09,6.023935839039041e-08,3.1213158280252173e-08,1.669218789857041e-07,0.00017950168694369495,0.0008195855189114809,1.0,2.0156400203704834,0.5,5.142924475669861
llama3-8b-inst,alphaedit,16426,axis-3-minus,3,-1,4668887953873142613,0.05,0.22784748264161667,True,,cdb75537df9d1ec0bc9357d5caee5f02456956851c2398a632cd4754d75b6355,15.624699753988489,0.050000000000000044,0.0044103749096393585,-4.3915584683418274e-05,1.999979737377089e-09,6.595966084432803e-08,2.848272062649926e-09,1.6663578605857765e-07,5.7897326769307256e-05,0.0008192281820811331,1.0,2.0171909034252167,0.5,5.142435622215271
llama3-8b-inst,alphaedit,16426,axis-3-plus,3,1,4668887953873142613,0.05,0.22784748264161667,True,,cdb75537df9d1ec0bc9357d5caee5f02456956851c2398a632cd4754d75b6355,15.624699753988489,0.050000000000000044,0.004499117378145456,4.482688382267952e-05,1.999979737377089e-09,6.595966084432803e-08,2.848272062649926e-09,1.7242535932382452e-07,5.788198177469894e-05,0.0008188708452507854,1.0,2.0170249938964844,0.5,5.143465256690979
llama3-8b-inst,alphaedit,19041,reference-duplicate-0,,0,,0.0,0.0,True,,c7931ac25790eeca905f3ae91dc5f022fef1b6af91aef3f219fc79ef58a4ed5a,,,0.007367298007011414,0.0,,,,,,0.001538523007184267,1.0,1.8084246311336756,0.5,7.855467057228088
llama3-8b-inst,alphaedit,19041,reference-duplicate-1,,0,,0.0,0.0,True,,c7931ac25790eeca905f3ae91dc5f022fef1b6af91aef3f219fc79ef58a4ed5a,,,0.007367298007011414,0.0,,,,,,0.001538523007184267,1.0,1.8084246311336756,0.5,7.855467057228088
llama3-8b-inst,alphaedit,19041,axis-0-minus,0,-1,4895252494623312323,0.05,0.25848043647162045,True,,c7931ac25790eeca905f3ae91dc5f022fef1b6af91aef3f219fc79ef58a4ed5a,20.49521939344303,0.050000000000000044,0.007403039373457432,3.574136644601822e-05,4.0718322047439415e-09,4.590443936081101e-08,3.131357217966979e-08,1.4200816167431185e-07,3.565841689123772e-05,0.001538523007184267,1.0,1.8083977596834302,0.5,7.855059051513672
llama3-8b-inst,alphaedit,19041,axis-0-plus,0,1,4895252494623312323,0.05,0.25848043647162045,True,,c7931ac25790eeca905f3ae91dc5f022fef1b6af91aef3f219fc79ef58a4ed5a,20.49521939344303,0.050000000000000044,0.007332939654588699,-3.4358352422714233e-05,4.0718322047439415e-09,4.590443936081101e-08,3.131357217966979e-08,1.42030259553394e-07,3.562280107871629e-05,0.0015381659613922238,1.0,1.808483681641519,0.5,7.8558702111244205
llama3-8b-inst,alphaedit,19041,axis-1-minus,1,-1,3152109024992965546,0.05,0.26076729655678943,True,,c7931ac25790eeca905f3ae91dc5f022fef1b6af91aef3f219fc79ef58a4ed5a,20.49521939344303,0.050000000000000044,0.0073274122551083565,-3.98857519030571e-05,4.946378595604983e-08,4.1418495300149516e-08,1.9710769905145753e-08,1.3926133135555574e-07,0.00034053580020554364,0.0015400703996419907,1.0,1.8079305859282613,0.5,7.85509159564972
