case_id,entries,identity,new_nll_range,occurrences,panels,success_disagreement,true_nll_range
3664,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '01de8fa7453779a57ebf03d45da48669601d8014a1a05799048a99904c87f371', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
10914,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '01e018b2b02ef94653cc5ead00ec7fbe073abc84f976e2b5ea96d974732aaa46', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
19346,"[""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '01f8489daa3bbe91fcb2b3a0d132541d11bbf946943567a6fbae22e0680408f9', 'PS')",6.198883056640625e-06,2,"[""Past100"", ""Past100""]",False,8.106231689453125e-06
1481,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '020c844db6f8a925897bd3fea07625ce34298fe1ac795266947f2c8b0276fd35', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
11858,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '025fd7e431d1c116a426e9625bc4b735d437b978c7dd05cfb5bb681c6d7da6f9', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
5795,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '02797a21893e391d07822c4c79076d3da28477b715cee2b44ef29866c0c2d050', 'RS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
3935,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '028eed21fcde2d1b22854740e42925cc53edbf3ae406563bfdb695157c759a1c', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
17078,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '02dd630654cbf0ca0903e6b71fcc1076fa2ddefabe389db5af7e1f2c3feab650', 'RS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
10695,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '02ebdc8588ddf543d19ba29fdb82ef4a9d0674ef1934f208f3b2cffed4420299', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
18140,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '030531dfe60eaebcf913aea801be95d9f96d39a56cbb977c81f299e7cd84937c', 'PS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
21629,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '03154bf1e5d692e5ba791a0fce2c549090f9b294de3e96adbbad7063a9961caa', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
11321,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '03c5b0e118f62c1138077e7d6a258cd3c76968c1addffa5f2d6d6df0a3487e64', 'PS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
20328,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '045fa2ee498a4673aafdbf9a180893950054896cad5c40a3d59640f5ff285112', 'RS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
2821,"[""Early"", ""Late""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0467a2788fd1ab48ed8b3334c96ff93b7f7a2a17727c06f4f6d3756ceea46b9f', 'NS')",9.5367431640625e-06,2,"[""Past100"", ""Past100""]",False,1.0967254638671875e-05
16334,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0471cae98f1b76d1cf088639f10e83871ba96d102368870171f85510a4fdea25', 'PS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
19033,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '04922711f623186336443bcd39a3ad8c6141dc8be2ed80616461f5d226d7a03d', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
9724,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '04a91ae2961ed9c64b6fd95914c5049c48ac9b5b0c09cca4f787bffed8fa537e', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
13021,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '04a9303fe697a44647a14d5999bf8269e897c4eac80c0f55f2b3d97bab6f400e', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
16417,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '04df2925c2e3c8a17c8c59ac333b6b35021b551fd4d68b05d398f8b1586c022c', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
19346,"[""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '04e1dd2c2571909e01b32d6b3ebcb0dc21c23afb7d728b946d77dc0be02f0b9d', 'NS')",8.58306884765625e-06,2,"[""Past100"", ""Past100""]",False,7.62939453125e-06
3664,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '04ff5562dc66d91a4b5773f35557cfd1986463c7b7ae5f87a81ab6100d491caa', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
2821,"[""Early"", ""Late""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '053ad021defd3a2368c904aad0889f3b9252d1a65d9b4737c0ec345d053847b4', 'NS')",4.482269287109375e-05,2,"[""Past100"", ""Past100""]",False,3.0159950256347656e-05
13717,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0547d4c4d2d92a1d37a61093d8e5cec937ba9f4283662676cd13d12d0803e76b', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
7665,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '059a8afd925108db1ac920910ce288d120c46bf787db3384586f561510f8fd8a', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
9983,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '05c46b57af796ff9678d1281271e700d0d76ee6fcb3936f8b2448f0f7a833ec6', 'PS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
378,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '05c9bdaf8b56599a3bc683c94f5fb4415a99bef376b397c18c29e0e5e53ef2f8', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
5996,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '05cb302d7cb2d7daa99c96fc596eb9319aa4ff93528f0f736b5750c2cb5bfb88', 'PS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
9724,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '05de9f3ea3435a3a7e4e31ce796f0be619cd13418a69f2253986a66328cd9744', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
55,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '05f2be5178d632ab284ae12972a1082bd5df635f65c2ede65e5c6d80352ba7aa', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
3557,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '060e01d47090f2f3adee7597bda86479ec53d632535f35fc429e7ab2b6e767ce', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
17519,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0625bbc9d14fe720a1f82697173ed5f2fbb56f486cdb33fd4396eb79676ae0f4', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
18300,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '06612fa4e06a6ebe3de1618878f653e4c7f33b43db783a785b4f29957c1ea47a', 'PS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
15315,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0669566bfa08f4902ce586a52fd8d43c66ef39415bd8aace5ff645a7441d0560', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
20328,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '06820ab895ce7b7c35998bf98ce3b068367c31dda183275b09606fa695ab2f5b', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
13152,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0686bb8118d25b5693c2d00baa94926da759bae285dcd3d6a2295646f6554acd', 'PS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
7665,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '070a51cdf41cb4b23abf3006f589b3e222d321de9cd349fa6a21e574f1d1d8b0', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
8764,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0716c0ad143b576698da0a8e0e159603b9026b8bc9f4affab671eb91840ee123', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
55,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '072f6d6dc27b0e8080aab15877cbc7cbe55625d8684e2fb01d57bcb42855e929', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
3098,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0736ed2099e724ed34707c9fd728248ba74e9e6fd8a9c0e190729a85dc326872', 'PS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
7348,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0781c65abfdb1b26ece4841ba5fb8bd7c1b5ba04e808ec508bad566cc505885d', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
18642,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '07c38c28327dbccb9cc5896a202b697fae62e919970731431a73beda68adc1d5', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
7367,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '081090ec570ed95eed0aec77bdd177aeed2c371239de74b1570dc2eb677fea01', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
18132,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '081c30e60cc0f134969b96cf380f7a57f2e73bb4a5386d783dcacfddea95adae', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
7446,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '08544a1d1c71b3e44f2da7b624b7bc1e6680f4d2a2247c0f510cc20f89f8d1f8', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
6907,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0889e4527957644b53ad15ecbb4fb85b81857f42f15fb63ab215162c11bc2b97', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
5827,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '08b2821ce40009dffa9f543c66415af853e8ec41d83400eb982bb97d799a487e', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
8319,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0946652839de5a41277dd9ddb5aa2f85cde9e2ab8313646d75eb35e2a945dd42', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
4949,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '097a3c20e3bc4920fade6d503b78795aac79412e514c7350a42d5faac87a43a2', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
1888,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '09a98c9b8b039d63cc53c64dcad5f29ac4628eb161fdad27a670eae965c9ec41', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
5827,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '09b3f584f06176211111af83ebfd229bd1c929215c9834f7d29fcd4003ed4e56', 'RS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
2879,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '09bb818ac4b9386a753399ee585634fa0a4b47aefb6bb43395328db67250f8bf', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
3913,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0a0289439b8cd3e7d38e6aa26450c60d2121729977a9fc470dbd7fce37ec722f', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
7665,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0a18a386950cc61cf0f78f487261fdcbe13befd0419228fc8217f1ff876f9531', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
5827,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0aa419be7d35d65aa22bf57e80ff89d837378ddba4ed190a017f1b3269d99b62', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
5827,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0b4c0403c585260d1bcbab2d843f59f2a02c1b918170adf1828b1aa4ff28ff49', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
5996,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0b89fcb2a8257b4aa2940c4b8101b0bc75acda07fd86d20f60f13c217109fa12', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
3620,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0ba3bd79c596914f24a360801b45fcd64cfeaa73d3af6b5a8fae300647e27d68', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
6882,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0baaaffafeecd94350f71f2772acfb92a16fa183600635fc14622b9f031073d6', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
16762,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0bbec15430ab5e53eefff1d854eabb72d5c58662ec68b1991819a54b73395f70', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
1399,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0beb319fbd8ab9a2e7558290f4a4c1880ae2111da197c6c600d60d7a71b0046d', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
16762,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0c02abf0847a359aabd9f0534f6826ed52f4ea8e1e4190da5af6e2b4396dd6f5', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
11172,"[""Early"", ""Late"", ""Middle""]","('4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6', '8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', '0c3fc0216ecf929efad243fac64d16e53da9d10da02b2e4bf6f68803f7559cc7', 'NS')",0.0,3,"[""Fixed100"", ""Fixed100"", ""Fixed100""]",False,0.0
