parent_job_id,array_task_id,child_job_id_raw,job_name,scheduler_state,exit_code,elapsed,start,end,node,namespace,category,source_head,result_inclusion,failure_boundary_present,failure_exception_type,failure_exception,failure_stage,completed_primary_arms_before_failure,science_change_count,threshold_change_count,tolerance_change_count,w0_restore_pass,terminal_status
35582,2,35587,odeedit_orbode_r0,CANCELLED by 1025,0:0,00:07:43,2026-09-04T15:35:10,2026-09-04T15:42:53,devbox,round0-tech-r4,TECHNICAL_ATTEMPT,346a592257be6dc89d378671026c4253c3938341,EXCLUDED_USER_CANCELLED_PARTIAL_DENOMINATOR_ZERO,False,,,,0,0,0,0,NOT_RECORDED_CANCELLED_PARTIAL,
35582,3,35582,odeedit_orbode_r0,CANCELLED by 1025,0:0,00:07:13,2026-09-04T15:35:40,2026-09-04T15:42:53,devbox,round0-tech-r4,TECHNICAL_ATTEMPT,346a592257be6dc89d378671026c4253c3938341,EXCLUDED_USER_CANCELLED_PARTIAL_DENOMINATOR_ZERO,False,,,,0,0,0,0,NOT_RECORDED_CANCELLED_PARTIAL,
35615,0,35616,odeedit_orbode_b1,COMPLETED,0:0,00:23:07,2026-09-04T16:15:30,2026-09-04T16:38:37,devbox,b1-tech-r1,B1_PILOT,84e6cde74db9b85bb9ffa16685ff80f50f2e6e06,EXCLUDED_SEPARATE_B1_PILOT_PROVENANCE_ONLY,False,,,,0,0,0,0,True,TERMINAL_VALID
35615,1,35617,odeedit_orbode_b1,COMPLETED,0:0,00:24:50,2026-09-04T16:15:30,2026-09-04T16:40:20,devbox,b1-tech-r1,B1_PILOT,84e6cde74db9b85bb9ffa16685ff80f50f2e6e06,EXCLUDED_SEPARATE_B1_PILOT_PROVENANCE_ONLY,False,,,,0,0,0,0,True,TERMINAL_VALID
35615,2,35619,odeedit_orbode_b1,COMPLETED,0:0,00:34:44,2026-09-04T16:38:37,2026-09-04T17:13:21,devbox,b1-tech-r1,B1_PILOT,84e6cde74db9b85bb9ffa16685ff80f50f2e6e06,EXCLUDED_SEPARATE_B1_PILOT_PROVENANCE_ONLY,False,,,,0,0,0,0,True,TERMINAL_VALID
35615,3,35615,odeedit_orbode_b1,COMPLETED,0:0,00:36:03,2026-09-04T16:40:21,2026-09-04T17:16:24,devbox,b1-tech-r1,B1_PILOT,84e6cde74db9b85bb9ffa16685ff80f50f2e6e06,EXCLUDED_SEPARATE_B1_PILOT_PROVENANCE_ONLY,False,,,,0,0,0,0,True,TERMINAL_VALID
35694,0,35737,odeedit_orbode_r0,COMPLETED,0:0,01:21:24,2026-09-04T17:47:58,2026-09-04T19:09:22,devbox,round0-b1-gated-tech-r1,CANONICAL_B100,84e6cde74db9b85bb9ffa16685ff80f50f2e6e06,INCLUDED_CANONICAL_SCIENTIFIC_DENOMINATOR,False,,,,0,0,0,0,True,TERMINAL_VALID
35694,1,35752,odeedit_orbode_r0,COMPLETED,0:0,01:27:01,2026-09-04T17:51:37,2026-09-04T19:18:38,devbox,round0-b1-gated-tech-r1,CANONICAL_B100,84e6cde74db9b85bb9ffa16685ff80f50f2e6e06,INCLUDED_CANONICAL_SCIENTIFIC_DENOMINATOR,False,,,,0,0,0,0,True,TERMINAL_VALID
35694,2,35889,odeedit_orbode_r0,COMPLETED,0:0,01:22:41,2026-09-04T19:09:47,2026-09-04T20:32:28,devbox,round0-b1-gated-tech-r1,CANONICAL_B100,84e6cde74db9b85bb9ffa16685ff80f50f2e6e06,INCLUDED_CANONICAL_SCIENTIFIC_DENOMINATOR,False,,,,0,0,0,0,True,TERMINAL_VALID
35694,3,35694,odeedit_orbode_r0,COMPLETED,0:0,01:25:43,2026-09-04T19:18:47,2026-09-04T20:44:30,devbox,round0-b1-gated-tech-r1,CANONICAL_B100,84e6cde74db9b85bb9ffa16685ff80f50f2e6e06,INCLUDED_CANONICAL_SCIENTIFIC_DENOMINATOR,False,,,,0,0,0,0,True,TERMINAL_VALID
NOT_SUBMITTED,-1,NOT_APPLICABLE,NOT_SUBMITTED,DRY_PLAN_ONLY,NOT_APPLICABLE,00:00:00,,,,round0-tech-r3,DRY_PLAN_ONLY,ed627c93e136a5a8fb187068169ec337972ffed1,EXCLUDED_NOT_SUBMITTED_DENOMINATOR_ZERO,False,,,,0,0,0,0,NOT_APPLICABLE_NO_RUN,
