arm,batch,scope,request_count,evidence,RS_num,RS_den,RS_rate,RS_bit_order_sha256,RS_strict_num,RS_strict_den,rewrite_margin_n,rewrite_margin_mean,rewrite_margin_median,rewrite_margin_q25,rewrite_margin_q75,rewrite_margin_p90,rewrite_margin_max,rewrite_target_new_nll_n,rewrite_target_new_nll_mean,rewrite_target_new_nll_median,rewrite_target_new_nll_q25,rewrite_target_new_nll_q75,rewrite_target_new_nll_p90,rewrite_target_new_nll_max,rewrite_target_new_row_count,rewrite_target_new_all_tokens_correct_count,rewrite_target_new_correct_token_count,rewrite_target_new_target_token_denominator,rewrite_target_true_nll_n,rewrite_target_true_nll_mean,rewrite_target_true_nll_median,rewrite_target_true_nll_q25,rewrite_target_true_nll_q75,rewrite_target_true_nll_p90,rewrite_target_true_nll_max,rewrite_target_true_row_count,rewrite_target_true_all_tokens_correct_count,rewrite_target_true_correct_token_count,rewrite_target_true_target_token_denominator
BLUE_L8_ONLY,7,ALL_SEEN_REWRITE,700,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,699,700,0.9985714285714286,75fc000f1a63efecf034e8cac162a15557fec21450ce57a7f979f6a33c780395,699,700,700,13.471536927867454,13.259192414872814,10.744897756521823,16.165640260544023,18.515772886015476,25.65203559683141,700,0.0296728296308772,0.0017337066237814724,0.000753387066652067,0.0038290233933366835,0.01005889056250453,5.680934429168701,700,696,708,712,700,13.501209757498332,13.261151313781738,10.747319221496582,16.186232089996338,18.51668815612793,25.652111053466797,700,0,10,710
BLUE_L8_ONLY,8,ALL_SEEN_REWRITE,800,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,796,800,0.995,e54cc387eac0097dd0f603eed2c33610b7a3fc12e485e7fa6363c06c67e315de,796,800,800,13.470571136177,13.208182035014033,10.740136112988694,16.2375420708413,18.714490918279626,26.14714205346536,800,0.03878495804924114,0.0017372173024341464,0.0007891222630860284,0.0041154458886012435,0.012698976695537567,6.293031692504883,800,794,808,814,800,13.509356094226241,13.226758003234863,10.744066953659058,16.255844116210938,18.716004943847658,26.14718246459961,800,2,11,810
BLUE_L8_ONLY,9,ALL_SEEN_REWRITE,900,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,896,900,0.9955555555555555,01aca7671ba04673d005b5ad365172dd33bff6f30b63fddcc429f2db8f660ccd,896,900,900,13.408841414353596,13.176991746280692,10.578167330255383,16.130929400853347,18.644743396504783,27.46199012573925,900,0.04268569624952458,0.0019891236443072557,0.0008579089626437053,0.004329801187850535,0.01287310486659408,6.726020812988281,900,893,907,914,900,13.45152711060312,13.185364246368408,10.603519678115845,16.144423007965088,18.64628505706787,27.462114334106445,900,2,12,911
BLUE_L8_ONLY,10,ALL_SEEN_REWRITE,1000,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,996,1000,0.996,d4d60aa5fe100356eb1ec10acfdc911d65bb7818c17fa51f576533b93c51cc99,996,1000,1000,13.381111792727483,13.211967265000567,10.678724452503957,16.16664050197869,18.708892356813884,27.36546886965516,1000,0.05408428771876061,0.0018942285678349435,0.0008360227948287502,0.004545741248875856,0.014546296466141943,7.626430511474609,1000,991,1006,1015,1000,13.435196080446243,13.219358921051025,10.691988706588745,16.167344093322754,18.710348701477052,27.365610122680664,1000,2,12,1011
JVP_L8,1,ALL_SEEN_REWRITE,100,,100,100,1.0,,,,100,13.836691856205253,13.63142308130773,11.227505436225329,16.54199033419718,18.66526158878697,21.42810762184672,100,0.0025928594472134137,0.0012490677181631327,0.0005742450593970716,0.0025256810477003455,0.005284186126664282,0.0447877012193203,,,,,,,,,,,,,,,
JVP_L8,2,ALL_SEEN_REWRITE,200,,200,200,1.0,,,,200,13.486625898457387,13.234699005755829,10.797589160240022,16.505334322646377,18.64559623279856,23.522544027462573,200,0.018235572003504785,0.0012748456210829318,0.0005387999990489334,0.003034453315194696,0.007303089322522272,1.6079635620117188,,,,,,,,,,,,,,,
JVP_L8,3,ALL_SEEN_REWRITE,300,,300,300,1.0,,,,300,13.400114634132539,13.095496324753185,10.628967465250753,16.0174782704853,18.963818465184886,26.721576469411957,300,0.024356215699359987,0.001279607880860567,0.0005539313278859481,0.0028356898110359907,0.007135772937908781,3.2432103157043457,,,,,,,,,,,,,,,
JVP_L8,4,ALL_SEEN_REWRITE,400,,400,400,1.0,,,,400,13.465568680180622,13.367026066458493,10.70520515309181,16.21863162883892,18.921065736422317,26.703087843110552,400,0.03491357325165154,0.0014210374793037772,0.000615079770796001,0.003194112272467464,0.00775996129959822,6.523824691772461,,,,,,,,,,,,,,,
JVP_L8,5,ALL_SEEN_REWRITE,500,,499,500,0.998,,,,500,13.503821763014079,13.165463185025146,10.759106227887969,16.222887860261835,19.09736509169452,27.322014227611362,500,0.03776288225722237,0.0014789487468078732,0.0006466204940807074,0.003282398742157966,0.007206146558746709,7.027523517608643,,,,,,,,,,,,,,,
JVP_L8,6,ALL_SEEN_REWRITE,600,,598,600,0.9966666666666667,,,,600,13.410114999614267,13.02583241875982,10.656106156558963,16.092780387436505,19.074229794583516,26.933485155059316,600,0.04327731966762864,0.0016664083232171834,0.0008242011244874448,0.003874000394716859,0.007732814084738494,9.378195762634277,,,,,,,,,,,,,,,
JVP_L8,7,ALL_SEEN_REWRITE,700,,698,700,0.9971428571428571,,,,700,13.355078127663939,13.067699309787713,10.615353401983157,15.949672771967016,18.835958731178835,27.10023105757864,700,0.05486341175986776,0.0017375742318108678,0.0008514473884133622,0.003925001714378595,0.009180637169629337,8.917054176330566,,,,,,,,,,,,,,,
JVP_L8,8,ALL_SEEN_REWRITE,800,,796,800,0.995,,,,800,13.303700102478702,13.010968550472171,10.51149592056754,15.86231961561134,18.80678410712135,26.783970246688114,800,0.055782050877373875,0.0018897071713581681,0.0008473380876239389,0.004063297179527581,0.00993622718378902,9.678882598876953,,,,,,,,,,,,,,,
JVP_L8,9,ALL_SEEN_REWRITE,900,,896,900,0.9955555555555555,,,,900,13.286674434069427,12.993373170553241,10.614416556418291,16.001406995044817,18.669511933044124,27.041118270572042,900,0.053532818433013746,0.0019074356532655656,0.0008467128645861521,0.004277424653992057,0.010969053488224747,10.583412170410156,,,,,,,,,,,,,,,
JVP_L8,10,ALL_SEEN_REWRITE,1000,,918,1000,0.918,,,,1000,11.567605588384264,12.439566112239845,9.582644330410403,15.599343234789558,18.356957592099207,27.04112399261794,1000,0.9086904149453039,0.002256349427625537,0.000955214723944664,0.0065877524903044105,2.0676411390304676,19.462841033935547,,,,,,,,,,,,,,,
O_NATIVE,1,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,100,,100,100,1.0,,,,,14.403895704875394,,,,,,,,,,,,,,,,,,,,,,,,,,,
O_NATIVE,2,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,200,,200,200,1.0,,,,,14.642622707101964,,,,,,,,,,,,,,,,,,,,,,,,,,,
O_NATIVE,3,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,300,,300,300,1.0,,,,,14.55334062136318,,,,,,,,,,,,,,,,,,,,,,,,,,,
O_NATIVE,4,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,400,,400,400,1.0,,,,,14.536253025278194,,,,,,,,,,,,,,,,,,,,,,,,,,,
O_NATIVE,5,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,500,,500,500,1.0,,,,,14.352976004319427,,,,,,,,,,,,,,,,,,,,,,,,,,,
O_NATIVE,6,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,600,,600,600,1.0,,,,,14.35363045908394,,,,,,,,,,,,,,,,,,,,,,,,,,,
O_NATIVE,7,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,700,,700,700,1.0,,,,,14.301638334833571,,,,,,,,,,,,,,,,,,,,,,,,,,,
O_NATIVE,8,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,800,,800,800,1.0,,,,,14.27355057837872,,,,,,,,,,,,,,,,,,,,,,,,,,,
O_NATIVE,9,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,900,,900,900,1.0,,,,,14.197795148168657,,,,,,,,,,,,,,,,,,,,,,,,,,,
O_NATIVE,10,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,1000,,1000,1000,1.0,,,,,14.169341783947843,,,,,,,,,,,,,,,,,,,,,,,,,,,
JVP,1,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,100,,100,100,1.0,,,,,13.843943740031792,,,,,,,,,,,,,,,,,,,,,,,,,,,
JVP,2,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,200,,200,200,1.0,,,,,13.598036813953822,,,,,,,,,,,,,,,,,,,,,,,,,,,
JVP,3,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,300,,300,300,1.0,,,,,13.401370479106106,,,,,,,,,,,,,,,,,,,,,,,,,,,
JVP,4,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,400,,399,400,0.9975,,,,,13.415294877777988,,,,,,,,,,,,,,,,,,,,,,,,,,,
JVP,5,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,500,,499,500,0.998,,,,,13.458690904693903,,,,,,,,,,,,,,,,,,,,,,,,,,,
JVP,6,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,600,,599,600,0.9983333333333333,,,,,13.379245697780805,,,,,,,,,,,,,,,,,,,,,,,,,,,
JVP,7,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,700,,698,700,0.9971428571428571,,,,,13.331118120754294,,,,,,,,,,,,,,,,,,,,,,,,,,,
JVP,8,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,800,,798,800,0.9975,,,,,13.36883662742904,,,,,,,,,,,,,,,,,,,,,,,,,,,
JVP,9,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,900,,898,900,0.9977777777777778,,,,,13.3041493156143,,,,,,,,,,,,,,,,,,,,,,,,,,,
JVP,10,ALL_SEEN_REWRITE_PUBLISHED_COHORT_SUM,1000,,923,1000,0.923,,,,,11.588003483950459,,,,,,,,,,,,,,,,,,,,,,,,,,,
