arm,batch,same_request_order,phase3_rewrite_success_rate,phase1_rewrite_success_rate,delta_rewrite_success_percentage_points,phase3_rewrite_accuracy_rate,phase1_rewrite_accuracy_rate,delta_rewrite_accuracy_percentage_points,phase3_rephrase_success_rate,phase1_rephrase_success_rate,delta_rephrase_success_percentage_points,phase3_rephrase_accuracy_rate,phase1_rephrase_accuracy_rate,delta_rephrase_accuracy_percentage_points,phase3_rephrase_strict_success_rate,phase1_rephrase_strict_success_rate,delta_rephrase_strict_success_percentage_points,phase3_rephrase_strict_accuracy_rate,phase1_rephrase_strict_accuracy_rate,delta_rephrase_strict_accuracy_percentage_points,phase3_locality_rate,phase1_locality_rate,delta_locality_percentage_points,phase3_rewrite_target_new_nll_mean,phase1_rewrite_target_new_nll_mean,delta_rewrite_target_new_nll_mean,phase3_rewrite_target_true_nll_mean,phase1_rewrite_target_true_nll_mean,delta_rewrite_target_true_nll_mean,phase3_rephrase_target_new_nll_mean,phase1_rephrase_target_new_nll_mean,delta_rephrase_target_new_nll_mean,phase3_rephrase_target_true_nll_mean,phase1_rephrase_target_true_nll_mean,delta_rephrase_target_true_nll_mean,phase3_batch_total_seconds,phase1_batch_total_seconds,delta_case_total_seconds,case_total_ratio,phase3_total_recorded_update_energy,phase1_writer_update_energy,delta_total_update_energy
c1,1,True,1.0,0.99,1.0000000000000009,0.97,0.99,-2.0000000000000018,0.945,0.94,0.5000000000000004,0.62,0.605,1.5000000000000013,0.92,0.9,2.0000000000000018,0.44,0.44,0.0,0.826,0.8290000000000002,-0.30000000000002247,0.1392091876087943,0.11004360658669611,0.029165581022098194,11.81750560760498,12.264681999683381,-0.44717639207840065,1.8720320293173427,1.9111542765243212,-0.039122247206978544,8.619852560199798,8.765197364091874,-0.14534480389207616,3373.915935714729,1058.8377799065784,2315.0781558081508,3.1864332759380867,35.348501162769736,44.52755158707682,-9.179050424307086
c1,2,True,1.0,1.0,0.0,0.99,0.98,1.0000000000000009,0.885,0.89,-0.5000000000000004,0.545,0.575,-2.9999999999999916,0.8,0.81,-1.0000000000000009,0.37,0.4,-3.0000000000000027,0.847,0.8589999999999999,-1.19999999999999,0.1341955380735453,0.1729583735279448,-0.038762835454399486,10.471607468128205,10.577512629032135,-0.1059051609039301,2.15754680929007,2.1124346258840525,0.045112183406017525,8.20843745931983,8.133208247721194,0.07522921159863571,3177.167861143127,1071.7404914721847,2105.4273696709424,2.9644936310830667,28.59923558259096,34.64940994270223,-6.050174360111267
c1,3,True,1.0,1.0,0.0,1.0,1.0,0.0,0.89,0.88,1.0000000000000009,0.585,0.545,3.9999999999999925,0.81,0.78,3.0000000000000027,0.39,0.33,6.0,0.856,0.8650000000000001,-0.9000000000000119,0.019106614817865193,0.021141444619570394,-0.0020348298017052006,11.29814213514328,11.667886726856231,-0.3697445917129514,1.9284820742055309,2.0914515547716293,-0.1629694805660984,7.12933956131339,7.357422914728522,-0.22808335341513164,3166.5587112726644,1071.06450055819,2095.4942107144743,2.956459400551879,22.053266165253255,34.22571116345898,-12.172444998205727
c1,4,True,1.0,1.0,0.0,0.98,0.99,-1.0000000000000009,0.89,0.915,-2.500000000000002,0.54,0.585,-4.499999999999993,0.81,0.85,-3.9999999999999925,0.35,0.4,-5.000000000000004,0.829,0.8310000000000001,-0.20000000000001128,0.20359258409094763,0.0780689007746696,0.12552368331627803,10.713620500564575,11.401611099243164,-0.6879905986785886,2.1593708690692437,2.0530762637374576,0.10629460533178614,7.253941210061312,7.5275687672197815,-0.27362755715846987,3345.901079263538,1076.3171495860443,2269.583929677494,3.1086572211084667,22.416348694641147,27.85640379256067,-5.440055097919522
c1,5,True,1.0,1.0,0.0,1.0,1.0,0.0,0.815,0.83,-1.5000000000000013,0.525,0.51,1.5000000000000013,0.7,0.73,-3.0000000000000027,0.38,0.34,3.9999999999999982,0.84,0.8390000000000001,0.09999999999998899,0.019240016749536154,0.02008215130190365,-0.0008421345523674968,11.3925661611557,11.400230751037597,-0.007664589881896333,2.5524084456270795,2.533760903753864,0.018647541873215268,7.200598965957761,7.3629390602745115,-0.16234009431675034,3385.9193676840514,1071.5852547092363,2314.334112974815,3.1597293381969744,15.994603550051174,21.39267116598497,-5.3980676159337975
c1,6,True,1.0,1.0,0.0,1.0,1.0,0.0,0.84,0.85,-1.0000000000000009,0.52,0.51,1.0000000000000009,0.74,0.75,-1.0000000000000009,0.36,0.32,3.9999999999999982,0.779,0.7800000000000001,-0.10000000000001119,0.017794620362255955,0.008355666981369723,0.009438953380886232,11.601779923439025,12.26490864276886,-0.6631287193298352,2.5354190866532735,2.4504320549825205,0.08498703167075305,7.351139500588179,7.3771829448640345,-0.0260434442758557,3404.050522576086,1132.168104388751,2271.882418187335,3.00666527292244,17.731545064340157,24.378663346627448,-6.647118282287291
c1,7,True,1.0,1.0,0.0,1.0,1.0,0.0,0.84,0.825,1.5000000000000013,0.5,0.525,-2.500000000000002,0.72,0.7,2.0000000000000018,0.29,0.32,-3.0000000000000027,0.838,0.845,-0.7000000000000006,0.019438772885187063,0.013563762666308321,0.0058750102188787415,11.809812507629395,12.463773736953735,-0.6539612293243398,2.7550206528417767,2.629029532719869,0.1259911201219075,7.269455306939781,7.5155048226937655,-0.2460495157539846,3360.1174806542695,1105.209615940228,2254.9078647140414,3.0402535701752265,13.77081428570974,19.19180726102439,-5.42099297531465
c1,8,True,1.0,1.0,0.0,1.0,1.0,0.0,0.815,0.82,-0.5000000000000004,0.455,0.485,-2.9999999999999973,0.7,0.7,0.0,0.26,0.28,-2.0000000000000018,0.798,0.8029999999999999,-0.49999999999998934,0.01814548775961157,0.011778994252090343,0.006366493507521227,10.851907000541686,11.39651162624359,-0.5446046257019042,2.7415981989610008,2.7459256630856546,-0.00432746412465379,7.17807381530758,7.412139982446097,-0.2340661671385167,3226.5971631053835,1074.9711230285466,2151.626040076837,3.0015663620944535,12.114150442688613,15.417098416011596,-3.3029479733229827
c1,9,True,1.0,1.0,0.0,1.0,1.0,0.0,0.82,0.79,2.9999999999999916,0.55,0.55,0.0,0.68,0.62,6.000000000000005,0.35,0.33,1.9999999999999962,0.842,0.8490000000000001,-0.7000000000000117,0.014696746976114809,0.01331890821675188,0.0013778387593629295,11.517246980667114,11.292946276664734,0.22430070400237945,2.2814131659643317,2.320278069852793,-0.0388649038884612,7.410812198519706,7.067000731192529,0.3438114673271775,3169.8330198107287,1100.0629448648542,2069.7700749458745,2.881501494625975,20.511536538143865,19.614068150934752,0.8974683872091127
c1,10,True,1.0,1.0,0.0,1.0,1.0,0.0,0.735,0.71,2.500000000000002,0.4,0.395,0.5000000000000004,0.6,0.58,2.0000000000000018,0.28,0.25,3.0000000000000027,0.879,0.879,0.0,0.026830500760370343,0.04070786839642096,-0.013877367636050617,11.143761076927184,9.96270215511322,1.181058921813964,3.155307741325814,3.402011112952605,-0.2467033716267908,6.569386165393516,6.118878767481074,0.45050739791244254,3389.8831710284576,1092.9893339769915,2296.893837051466,3.101478729617519,12.581822389481825,15.793766068168031,-3.2119436786862057
c3,1,True,1.0,1.0,0.0,0.99,0.99,0.0,0.91,0.885,2.500000000000002,0.565,0.57,-0.5000000000000004,0.86,0.82,4.0000000000000036,0.4,0.39,1.0000000000000009,0.836,0.8460000000000001,-1.000000000000012,0.0832200869483495,0.0522449733238318,0.030975113624517693,11.337773962020874,11.978467736244202,-0.6406937742233278,2.107565991297597,2.183760899332701,-0.07619490803510409,7.914800354763866,8.153394737690688,-0.23859438292682178,3281.971764817834,1257.8671030346304,2024.1046617832035,2.6091562112563476,NOT_RECORDED,NOT_RECORDED_NATIVE_OFFICIAL_APPLY,NOT_RECORDED
c3,2,True,1.0,1.0,0.0,0.99,0.99,0.0,0.87,0.87,0.0,0.52,0.535,-1.5000000000000013,0.77,0.78,-1.0000000000000009,0.34,0.35,-0.9999999999999953,0.863,0.8720000000000002,-0.900000000000023,0.13771136229042896,0.1282391303521581,0.009472231938270875,9.877939331531525,9.945319745540619,-0.06738041400909367,2.2953442630916836,2.343407729093451,-0.04806346600176736,7.584653286486864,7.6514510138332845,-0.06679772734642064,3240.809902514331,1212.733815438114,2028.076087076217,2.6723175863151396,NOT_RECORDED,NOT_RECORDED_NATIVE_OFFICIAL_APPLY,NOT_RECORDED
c3,3,True,1.0,0.99,1.0000000000000009,1.0,0.99,1.0000000000000009,0.87,0.835,3.500000000000003,0.525,0.485,4.0000000000000036,0.78,0.73,5.000000000000004,0.31,0.29,2.0000000000000018,0.866,0.868,-0.20000000000000018,0.02024714213097468,0.10329409835976548,-0.0830469562287908,10.933638896942139,9.771148431301118,1.1624904656410209,2.1334356145537456,2.5016176552814433,-0.36818204072769767,6.822524698898196,6.43889753036201,0.3836271685361856,3337.986726366915,1113.9699236983433,2224.0168026685715,2.9964783207834813,NOT_RECORDED,NOT_RECORDED_NATIVE_OFFICIAL_APPLY,NOT_RECORDED
c3,4,True,1.0,0.99,1.0000000000000009,0.99,0.98,1.0000000000000009,0.895,0.89,0.5000000000000004,0.545,0.545,0.0,0.8,0.82,-1.9999999999999907,0.37,0.36,1.0000000000000009,0.828,0.8440000000000001,-1.6000000000000125,0.08470467919905786,0.1400809194051544,-0.05537624020609655,11.519529180526733,10.765920004844666,0.7536091756820671,2.118770412870508,2.258893936323002,-0.1401235234524938,7.424881545007229,7.254601793587208,0.17027975142002116,3377.9531824467704,1168.8851369023323,2209.068045544438,2.889893177527006,NOT_RECORDED,NOT_RECORDED_NATIVE_OFFICIAL_APPLY,NOT_RECORDED
c3,5,True,1.0,1.0,0.0,1.0,1.0,0.0,0.82,0.83,-1.0000000000000009,0.49,0.515,-2.500000000000002,0.71,0.72,-1.0000000000000009,0.33,0.36,-2.9999999999999973,0.852,0.8590000000000001,-0.7000000000000117,0.016918342626013327,0.012239046221075113,0.004679296404938214,11.484664220809936,11.582258334159851,-0.09759411334991519,2.5630932910769477,2.5555308565957238,0.007562434481223956,7.203640802390874,7.3040807361528275,-0.1004399337619537,3391.31725815963,1111.370039910078,2279.947218249552,3.0514744291955402,NOT_RECORDED,NOT_RECORDED_NATIVE_OFFICIAL_APPLY,NOT_RECORDED
c3,6,True,1.0,1.0,0.0,1.0,0.99,1.0000000000000009,0.855,0.845,1.0000000000000009,0.52,0.515,0.5000000000000004,0.77,0.74,3.0000000000000027,0.34,0.35,-0.9999999999999953,0.798,0.807,-0.9000000000000008,0.019915466879319867,0.030110868660267444,-0.010195401780947577,11.57815481185913,11.389424912929535,0.18872989892959602,2.4734780798479914,2.5502033255947754,-0.07672524574678397,7.359664703309536,7.379484040290118,-0.019819336980581248,3433.8664318583906,1159.7009715549648,2274.165460303426,2.9609929767103247,NOT_RECORDED,NOT_RECORDED_NATIVE_OFFICIAL_APPLY,NOT_RECORDED
c3,7,True,1.0,1.0,0.0,1.0,1.0,0.0,0.875,0.845,3.0000000000000027,0.555,0.52,3.500000000000003,0.78,0.73,5.000000000000004,0.33,0.33,0.0,0.847,0.8510000000000002,-0.40000000000002256,0.03147492120566312,0.016596908547508064,0.014878012658155058,11.867679960727692,12.5482736825943,-0.6805937218666074,2.319220836480381,2.4808162026660283,-0.1615953661856473,7.494820912890137,7.776212992016226,-0.2813920791260891,3316.9109530504793,1105.8767047943547,2211.0342482561246,2.999349691218318,NOT_RECORDED,NOT_RECORDED_NATIVE_OFFICIAL_APPLY,NOT_RECORDED
c3,8,True,1.0,1.0,0.0,1.0,1.0,0.0,0.835,0.8,3.499999999999992,0.49,0.46,2.9999999999999973,0.72,0.68,3.9999999999999925,0.28,0.27,1.0000000000000009,0.803,0.821,-1.7999999999999905,0.015802898888359777,0.023701111754635348,-0.00789821286627557,11.078456616401672,10.621941790580749,0.45651482582092306,2.5984894342301414,2.748061731266789,-0.14957229703664776,7.318214581387583,7.171784490927821,0.14643009045976196,3464.0685586715117,1111.1564449621364,2352.9121137093753,3.1175345059439876,NOT_RECORDED,NOT_RECORDED_NATIVE_OFFICIAL_APPLY,NOT_RECORDED
c3,9,True,1.0,1.0,0.0,1.0,1.0,0.0,0.83,0.81,1.9999999999999907,0.585,0.565,2.0000000000000018,0.7,0.68,1.9999999999999907,0.4,0.37,3.0000000000000027,0.856,0.8560000000000001,-1.1102230246251565e-14,0.018611579880525822,0.05555518154753372,-0.0369436016670079,11.31729501247406,9.91276699781418,1.4045280146598813,2.2531760205289175,2.348724358768668,-0.0955483382397504,7.210502574592828,6.990948930308223,0.21955364428460555,3265.4188845362514,1103.253172751516,2162.1657117847353,2.959809194468291,NOT_RECORDED,NOT_RECORDED_NATIVE_OFFICIAL_APPLY,NOT_RECORDED
c3,10,True,0.99,1.0,-1.0000000000000009,0.98,1.0,-2.0000000000000018,0.77,0.73,4.0000000000000036,0.41,0.42,-1.0000000000000009,0.65,0.61,4.0000000000000036,0.29,0.28,0.9999999999999953,0.884,0.884,0.0,0.1946468085188826,0.029737359051941893,0.16490944946694072,10.017811589241028,10.256854162216186,-0.2390425729751584,3.0763514829985796,3.146521658974234,-0.07017017597565456,6.458613571310416,6.499867109004408,-0.04125353769399265,3368.881032606587,1077.3199478508905,2291.5610847556964,3.1270942669603907,NOT_RECORDED,NOT_RECORDED_NATIVE_OFFICIAL_APPLY,NOT_RECORDED
