endpoint,panel,metric,atwrite_reference,final_endpoint,comparison,planned_requests,observed_requests,missing_atwrite_requests,planned_prompt_denominator,denominator,atwrite_numerator,final_numerator,atwrite_rate,final_rate,delta_pp,lost,gained,unchanged_success,unchanged_failure,atwrite_success_denominator,loss_rate_among_atwrite_success,status,paired_identity_root
Middle-B060,entry_old,PS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,5000,5000,0,10000,10000,9708,9662,0.9708,0.9662,-0.46,140,94,9568,198,9708,0.01442109600329625,OBSERVED_COMPLETE,e9df6fc79fa0b19012d0c337d86863b61e732562a134b0aaa31ad3a39e309a2d
Middle-B060,entry_old,NS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,5000,5000,0,50000,50000,38536,34528,0.77072,0.69056,-8.016,5825,1817,32711,9647,38536,0.15115735935229396,OBSERVED_COMPLETE,9be815b5934553c2fc0180d19ad7f5fc2004d8becb380c2e3f7dec5527c1781f
Middle-B060,new_window1000,RS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,1000,1000,0,1000,1000,1000,1000,1.0,1.0,0.0,0,0,1000,0,1000,0.0,OBSERVED_COMPLETE,eb040a80ed47bc299031eae3e10cc1cfa3a26f8e2492e12ae119c6a0fa6d20ac
Middle-B060,new_window1000,PS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,1000,1000,0,2000,2000,1941,1938,0.9705,0.969,-0.15,8,5,1933,54,1941,0.004121586810922205,OBSERVED_COMPLETE,8f6ff6131b6245313a9110cc0fef8339166af3070a7245c0061eb384b7a5b5a9
Middle-B060,new_window1000,NS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,1000,1000,0,10000,10000,7164,7108,0.7164,0.7108,-0.56,249,193,6915,2643,7164,0.0347571189279732,OBSERVED_COMPLETE,8453695ef6fbfcc12aad4b9a77c4f1fffe5e35c0fa67507b14be5c438625f246
Middle-B060,new_window1000,RS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,1000,1000,0,1000,1000,1000,1000,1.0,1.0,0.0,0,0,1000,0,1000,0.0,OBSERVED_COMPLETE,eb040a80ed47bc299031eae3e10cc1cfa3a26f8e2492e12ae119c6a0fa6d20ac
Middle-B060,new_window1000,PS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,1000,1000,0,2000,2000,1941,1945,0.9705,0.9725,0.2,6,10,1935,49,1941,0.0030911901081916537,OBSERVED_COMPLETE,8f6ff6131b6245313a9110cc0fef8339166af3070a7245c0061eb384b7a5b5a9
Middle-B060,new_window1000,NS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,1000,1000,0,10000,10000,7164,7105,0.7164,0.7105,-0.59,255,196,6909,2640,7164,0.03559463986599665,OBSERVED_COMPLETE,8453695ef6fbfcc12aad4b9a77c4f1fffe5e35c0fa67507b14be5c438625f246
Middle-B060,Current100,RS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,100,100,0,100,100,100,100,1.0,1.0,0.0,0,0,100,0,100,0.0,OBSERVED_COMPLETE,e396f5d5b066d8710c0cde351d21f5da1e8e61b05cf89822cb55a58344f0ddf3
Middle-B060,Current100,PS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,100,100,0,200,200,195,195,0.975,0.975,0.0,0,0,195,5,195,0.0,OBSERVED_COMPLETE,58ee1c03f40b09f60304f8d500a22c34a69c4f2f60a9156aac4c3e3611bdc018
Middle-B060,Current100,NS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,100,100,0,1000,1000,734,734,0.734,0.734,0.0,0,0,734,266,734,0.0,OBSERVED_COMPLETE,6263c5376db043891f3bb5a297dc5f64817242e80321eac05dccccdcfb708f5e
Middle-B060,Current100,RS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,100,100,0,100,100,100,100,1.0,1.0,0.0,0,0,100,0,100,0.0,OBSERVED_COMPLETE,e396f5d5b066d8710c0cde351d21f5da1e8e61b05cf89822cb55a58344f0ddf3
Middle-B060,Current100,PS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,100,100,0,200,200,195,196,0.975,0.98,0.5,1,2,194,3,195,0.005128205128205128,OBSERVED_COMPLETE,58ee1c03f40b09f60304f8d500a22c34a69c4f2f60a9156aac4c3e3611bdc018
Middle-B060,Current100,NS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,100,100,0,1000,1000,734,726,0.734,0.726,-0.8,12,4,722,262,734,0.01634877384196185,OBSERVED_COMPLETE,6263c5376db043891f3bb5a297dc5f64817242e80321eac05dccccdcfb708f5e
Middle-B060,active,RS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,5903,5903,0,5903,5903,5901,5894,0.9996611892258174,0.9984753515161782,-0.11858377096391665,7,0,5894,2,5901,0.0011862396204033216,OBSERVED_COMPLETE,7cbb58d55e7f3211b370b801fca46a12002236379eebca351f9a587c43eecbf8
Middle-B060,active,PS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,5903,5903,0,11806,11806,11482,11459,0.9725563272912079,0.9706081653396578,-0.19481619515500592,116,93,11366,231,11482,0.010102769552342798,OBSERVED_COMPLETE,d1c6f3b5b2d9a9897427c6c32fded24c7238431fa309c3414088ddb445144dcc
Middle-B060,active,NS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,5903,5903,0,59030,59030,45037,40993,0.7629510418431306,0.6944435033034051,-6.850753853972557,5949,1905,39088,12088,45037,0.1320913915225259,OBSERVED_COMPLETE,ec12ecc949bc506c97b19fad6bf7c1c6cdcefd7dcc54c6904a8276e5783b14bc
Middle-B060,active,RS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,5903,5903,0,5903,5903,5901,5894,0.9996611892258174,0.9984753515161782,-0.11858377096391665,7,0,5894,2,5901,0.0011862396204033216,OBSERVED_COMPLETE,7cbb58d55e7f3211b370b801fca46a12002236379eebca351f9a587c43eecbf8
Middle-B060,active,PS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,5903,5903,0,11806,11806,11482,11467,0.9725563272912079,0.971285786888023,-0.12705404031848214,114,99,11368,225,11482,0.009928583870405853,OBSERVED_COMPLETE,d1c6f3b5b2d9a9897427c6c32fded24c7238431fa309c3414088ddb445144dcc
Middle-B060,active,NS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,5903,5903,0,59030,59030,45037,41005,0.7629510418431306,0.6946467897679146,-6.830425207521599,5964,1932,39073,12061,45037,0.13242445100694983,OBSERVED_COMPLETE,ec12ecc949bc506c97b19fad6bf7c1c6cdcefd7dcc54c6904a8276e5783b14bc
Middle-B060,superseded_conflicting_target,RS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,96,96,0,96,96,96,89,1.0,0.9270833333333334,-7.291666666666667,7,0,89,0,96,0.07291666666666667,OBSERVED_COMPLETE,2fdf44f9a931c0f9844532bf42010e9c3593fec676be138fb7b34be498fe721a
Middle-B060,superseded_conflicting_target,PS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,96,96,0,192,192,165,135,0.859375,0.703125,-15.625,35,5,130,22,165,0.21212121212121213,OBSERVED_COMPLETE,7aa657a68b8eed787d42ca0b7b244d789c45c4acaa827e62d46d9729a2f6bce0
Middle-B060,superseded_conflicting_target,NS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,96,96,0,960,960,653,623,0.6802083333333333,0.6489583333333333,-3.125,108,78,545,229,653,0.16539050535987748,OBSERVED_COMPLETE,5b0896f0e2807c7c5d1077f55ad8f5b4c44b6084a075233f677e19de135443cd
Middle-B060,superseded_conflicting_target,RS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,96,96,0,96,96,96,89,1.0,0.9270833333333334,-7.291666666666667,7,0,89,0,96,0.07291666666666667,OBSERVED_COMPLETE,2fdf44f9a931c0f9844532bf42010e9c3593fec676be138fb7b34be498fe721a
Middle-B060,superseded_conflicting_target,PS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,96,96,0,192,192,165,138,0.859375,0.71875,-14.0625,32,5,133,22,165,0.19393939393939394,OBSERVED_COMPLETE,7aa657a68b8eed787d42ca0b7b244d789c45c4acaa827e62d46d9729a2f6bce0
Middle-B060,superseded_conflicting_target,NS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,96,96,0,960,960,653,623,0.6802083333333333,0.6489583333333333,-3.125,111,81,542,226,653,0.16998468606431852,OBSERVED_COMPLETE,5b0896f0e2807c7c5d1077f55ad8f5b4c44b6084a075233f677e19de135443cd
Middle-B060,superseded_same_target,RS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,1,1,0,1,1,1,1,1.0,1.0,0.0,0,0,1,0,1,0.0,OBSERVED_COMPLETE,135b246439fe11c80e7d8c8bf08ec0660e13f4c6215376e8183e9a1913e1e142
Middle-B060,superseded_same_target,PS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,1,1,0,2,2,2,2,1.0,1.0,0.0,0,0,2,0,2,0.0,OBSERVED_COMPLETE,080beffffeff555c16b0265ff8297f89cd89c53277e1915095c0e4527bf62692
Middle-B060,superseded_same_target,NS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,1,1,0,10,10,10,5,1.0,0.5,-50.0,5,0,5,0,10,0.5,OBSERVED_COMPLETE,a5759f579a3a63b1bf759897756d5681700bf5b6f15924f9d9a0241096c6183d
Middle-B060,superseded_same_target,RS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,1,1,0,1,1,1,1,1.0,1.0,0.0,0,0,1,0,1,0.0,OBSERVED_COMPLETE,135b246439fe11c80e7d8c8bf08ec0660e13f4c6215376e8183e9a1913e1e142
Middle-B060,superseded_same_target,PS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,1,1,0,2,2,2,2,1.0,1.0,0.0,0,0,2,0,2,0.0,OBSERVED_COMPLETE,080beffffeff555c16b0265ff8297f89cd89c53277e1915095c0e4527bf62692
Middle-B060,superseded_same_target,NS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,1,1,0,10,10,10,5,1.0,0.5,-50.0,5,0,5,0,10,0.5,OBSERVED_COMPLETE,a5759f579a3a63b1bf759897756d5681700bf5b6f15924f9d9a0241096c6183d
Middle-B060,fullseen,RS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,6000,200,5800,6000,200,200,200,1.0,1.0,0.0,0,0,200,0,200,0.0,OBSERVED_PARTIAL,360e2f9c3cbb2c465c0b5be485ef6598d44d9a353854c44fc74c169173a24f8d
Middle-B060,fullseen,PS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,6000,200,5800,12000,400,393,393,0.9825,0.9825,0.0,0,0,393,7,393,0.0,OBSERVED_PARTIAL,6bad2da35328ec13c99e887a0dde0d2e38ddc4598bab89ea40afb1a34e2714ba
Middle-B060,fullseen,NS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,6000,200,5800,60000,2000,1437,1440,0.7185,0.72,0.15,29,32,1408,531,1437,0.020180932498260265,OBSERVED_PARTIAL,8fc13ed6a9c3462ba1d30c59a500c75ec966527083700fe4d2d77d38d4f4eb9e
Middle-B060,entry_old,RS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,5000,0,5000,5000,0,0,0,,,,0,0,0,0,0,,NOT_MEASURED_OR_EMPTY_METADATA_SUBSET,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
Middle-B060,entry_old,PS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,5000,0,5000,10000,0,0,0,,,,0,0,0,0,0,,NOT_MEASURED_OR_EMPTY_METADATA_SUBSET,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
Middle-B060,entry_old,NS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,5000,0,5000,50000,0,0,0,,,,0,0,0,0,0,,NOT_MEASURED_OR_EMPTY_METADATA_SUBSET,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
Middle-B060,new_window1000,RS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,1000,200,800,1000,200,200,200,1.0,1.0,0.0,0,0,200,0,200,0.0,OBSERVED_PARTIAL,360e2f9c3cbb2c465c0b5be485ef6598d44d9a353854c44fc74c169173a24f8d
Middle-B060,new_window1000,PS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,1000,200,800,2000,400,393,393,0.9825,0.9825,0.0,0,0,393,7,393,0.0,OBSERVED_PARTIAL,6bad2da35328ec13c99e887a0dde0d2e38ddc4598bab89ea40afb1a34e2714ba
Middle-B060,new_window1000,NS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,1000,200,800,10000,2000,1437,1440,0.7185,0.72,0.15,29,32,1408,531,1437,0.020180932498260265,OBSERVED_PARTIAL,8fc13ed6a9c3462ba1d30c59a500c75ec966527083700fe4d2d77d38d4f4eb9e
Middle-B060,Current100,RS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,100,100,0,100,100,100,100,1.0,1.0,0.0,0,0,100,0,100,0.0,OBSERVED_COMPLETE,e396f5d5b066d8710c0cde351d21f5da1e8e61b05cf89822cb55a58344f0ddf3
Middle-B060,Current100,PS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,100,100,0,200,200,196,196,0.98,0.98,0.0,0,0,196,4,196,0.0,OBSERVED_COMPLETE,58ee1c03f40b09f60304f8d500a22c34a69c4f2f60a9156aac4c3e3611bdc018
Middle-B060,Current100,NS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,100,100,0,1000,1000,726,726,0.726,0.726,0.0,0,0,726,274,726,0.0,OBSERVED_COMPLETE,6263c5376db043891f3bb5a297dc5f64817242e80321eac05dccccdcfb708f5e
Middle-B060,active,RS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,5903,200,5703,5903,200,200,200,1.0,1.0,0.0,0,0,200,0,200,0.0,OBSERVED_PARTIAL,360e2f9c3cbb2c465c0b5be485ef6598d44d9a353854c44fc74c169173a24f8d
Middle-B060,active,PS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,5903,200,5703,11806,400,393,393,0.9825,0.9825,0.0,0,0,393,7,393,0.0,OBSERVED_PARTIAL,6bad2da35328ec13c99e887a0dde0d2e38ddc4598bab89ea40afb1a34e2714ba
Middle-B060,active,NS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,5903,200,5703,59030,2000,1437,1440,0.7185,0.72,0.15,29,32,1408,531,1437,0.020180932498260265,OBSERVED_PARTIAL,8fc13ed6a9c3462ba1d30c59a500c75ec966527083700fe4d2d77d38d4f4eb9e
Middle-B060,superseded_conflicting_target,RS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,96,0,96,96,0,0,0,,,,0,0,0,0,0,,NOT_MEASURED_OR_EMPTY_METADATA_SUBSET,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
Middle-B060,superseded_conflicting_target,PS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,96,0,96,192,0,0,0,,,,0,0,0,0,0,,NOT_MEASURED_OR_EMPTY_METADATA_SUBSET,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
Middle-B060,superseded_conflicting_target,NS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,96,0,96,960,0,0,0,,,,0,0,0,0,0,,NOT_MEASURED_OR_EMPTY_METADATA_SUBSET,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
Middle-B060,superseded_same_target,RS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,1,0,1,1,0,0,0,,,,0,0,0,0,0,,NOT_MEASURED_OR_EMPTY_METADATA_SUBSET,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
Middle-B060,superseded_same_target,PS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,1,0,1,2,0,0,0,,,,0,0,0,0,0,,NOT_MEASURED_OR_EMPTY_METADATA_SUBSET,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
Middle-B060,superseded_same_target,NS,REPLAY_OWN_RECORDED_ATWRITE,replay_final,REPLAY_OWN_OBSERVED_ATWRITE_TO_REPLAY_FINAL_PARTIAL,1,0,1,10,0,0,0,,,,0,0,0,0,0,,NOT_MEASURED_OR_EMPTY_METADATA_SUBSET,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
Late-B100,fullseen,RS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,10000,10000,0,10000,10000,9993,9939,0.9993,0.9939,-0.54,55,1,9938,6,9993,0.005503852696887822,OBSERVED_COMPLETE,debcc277b6da90c4d4c6d2db12b0e154127cabc8e053d2d91c3a4a9795b9746a
Late-B100,fullseen,PS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,10000,10000,0,20000,20000,19403,19136,0.97015,0.9568,-1.335,423,156,18980,441,19403,0.021800752460959645,OBSERVED_COMPLETE,1005a5bdc22accfa744a740004129a554848f105198269618bc5d126de379a3e
Late-B100,fullseen,NS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,10000,10000,0,100000,100000,72505,65348,0.72505,0.65348,-7.157,11547,4390,60958,23105,72505,0.15925798220812357,OBSERVED_COMPLETE,b14536e63ae78ce0144660c6a06be59b37bb2f92678788c00dc1fce6aee7e2df
Late-B100,fullseen,RS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,10000,10000,0,10000,10000,9993,9939,0.9993,0.9939,-0.54,55,1,9938,6,9993,0.005503852696887822,OBSERVED_COMPLETE,debcc277b6da90c4d4c6d2db12b0e154127cabc8e053d2d91c3a4a9795b9746a
Late-B100,fullseen,PS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,10000,10000,0,20000,20000,19403,19146,0.97015,0.9573,-1.285,420,163,18983,434,19403,0.02164613719527908,OBSERVED_COMPLETE,1005a5bdc22accfa744a740004129a554848f105198269618bc5d126de379a3e
Late-B100,fullseen,NS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,10000,10000,0,100000,100000,72505,65315,0.72505,0.65315,-7.19,11603,4413,60902,23082,72505,0.1600303427349838,OBSERVED_COMPLETE,b14536e63ae78ce0144660c6a06be59b37bb2f92678788c00dc1fce6aee7e2df
