model,candidate,case_id,request_sha256,metric,prompt_count,success_n,strict_success,strict_teacher_forced,target_new_nll_mean,target_true_nll_mean,target_new_nll_max,nll_advantage_mean
llama3-8b-inst,PRE_EDIT,12706,a42445b909f63039d8593c51556c0fbf79ac00c321d802437337480b9e632139,RS,1,0,0,0,6.826953411102295,0.12160462141036987,6.826953411102295,-6.705348789691925
llama3-8b-inst,PRE_EDIT,20568,d5b44ff7b92a709492e8787e2f197530401f4156e2bae02b2d21246c2edf1ec3,RS,1,0,0,0,10.372031211853027,6.041910171508789,10.372031211853027,-4.330121040344238
llama3-8b-inst,PRE_EDIT,13448,03488e90ee9c38df4496c340cce674d0a71d5a03cf0f657eff20ec971237eda7,RS,1,0,0,0,9.443300247192383,4.402131080627441,9.443300247192383,-5.041169166564941
llama3-8b-inst,PRE_EDIT,18674,47e3699f62610b1b73a26f17c33fcf57a86346b044a9f48bcdd0463fedf85426,RS,1,1,1,0,8.01242733001709,10.624263763427734,8.01242733001709,2.6118364334106445
llama3-8b-inst,PRE_EDIT,14479,f8078a7cedab211a6809d9e7808d9e680d419b96561688549aa955e965f53313,RS,1,0,0,0,10.940801620483398,8.74549388885498,10.940801620483398,-2.195307731628418
llama3-8b-inst,PRE_EDIT,4745,5af25d47a023c0e1d51f37eeedb94fbfd299c3a0cd288e33170d3f34a6df9109,RS,1,0,0,0,10.830317497253418,10.148603439331055,10.830317497253418,-0.6817140579223633
llama3-8b-inst,PRE_EDIT,16968,00c19deb7192aa90cacfa5359f708025920094cc12b9c24b33071a400418a43c,RS,1,0,0,0,8.046005249023438,4.0639777183532715,8.046005249023438,-3.982027530670166
llama3-8b-inst,PRE_EDIT,8251,d8a6df34c78ccde5b0e3d21f0f09f7ebfc4e2830202ff578433b078936d92c61,RS,1,0,0,0,4.944882392883301,1.861046552658081,4.944882392883301,-3.0838358402252197
llama3-8b-inst,PRE_EDIT,17856,aff9b19707e9eeadc80bbd937db8ba00689fd3f97f30814ce9b092e89bdecc97,RS,1,0,0,0,15.2096586227417,3.152857780456543,15.2096586227417,-12.056800842285156
llama3-8b-inst,PRE_EDIT,6029,5d6620e7a15d0df773ac7ce109c1adaf6f7af5f567d5c4c9359d3c60437702a9,RS,1,0,0,0,10.90689468383789,0.3998488485813141,10.90689468383789,-10.507045835256577
llama3-8b-inst,PRE_EDIT,15108,28c8f4bfd308290cd45de350f0b2f3a9556b7b38442bed67b2afd51c277fade1,RS,1,0,0,0,6.9885969161987305,1.0901212692260742,6.9885969161987305,-5.898475646972656
llama3-8b-inst,PRE_EDIT,2481,72df945e22ce0a9f2a1743dc993709c3cd635a202ee56289a2a71e64ea5862c5,RS,1,0,0,0,14.11491584777832,13.50480842590332,14.11491584777832,-0.610107421875
llama3-8b-inst,PRE_EDIT,2418,cdda3067d049421eb3c225c77c307ad3183454b979e65fcfbb0c07974968058f,RS,1,0,0,0,9.816635131835938,3.3611319065093994,9.816635131835938,-6.455503225326538
llama3-8b-inst,PRE_EDIT,5160,18d5201817fbd68a8a7d74f747565affd76e1d9eb7f52e6aa2e614d3bd2d494d,RS,1,0,0,0,7.980123519897461,4.566634178161621,7.980123519897461,-3.41348934173584
llama3-8b-inst,PRE_EDIT,20551,ad147f5cb0d8580ac6a1e5ef4a63c2dd0ac417d5d2290d6e7cf0e5b7ef070dc8,RS,1,0,0,0,20.651830673217773,5.942361354827881,20.651830673217773,-14.709469318389893
llama3-8b-inst,PRE_EDIT,11216,c3b8cbb7a6e6b2e678958cd682e28350b2d72aa988160dea942cc86aa0ccad1b,RS,1,0,0,0,14.128053665161133,6.503785133361816,14.128053665161133,-7.624268531799316
llama3-8b-inst,PRE_EDIT,9185,382bcc843d8fc7d38d7858fa801113444dc0ff69b643a8ba15a13a290b208f64,RS,1,0,0,0,11.079763412475586,7.307415008544922,11.079763412475586,-3.772348403930664
llama3-8b-inst,PRE_EDIT,19647,f8499f294fa0fd7880dc389b86e19238744b4d185ea930b588414968287f8a98,RS,1,0,0,0,12.372984886169434,0.0020650746300816536,12.372984886169434,-12.370919811539352
llama3-8b-inst,PRE_EDIT,20750,d507b42705b4823965c65d7d1bd6d0eefecc1f83df35ab32f98f1767e94ff695,RS,1,0,0,0,16.32239532470703,3.018083095550537,16.32239532470703,-13.304312229156494
llama3-8b-inst,PRE_EDIT,11599,a8ff0abadce780f302b02e6a1719e6e7df99f9fd4721a6f8dc8f94b84169b242,RS,1,0,0,0,11.33327579498291,4.305390357971191,11.33327579498291,-7.027885437011719
llama3-8b-inst,PRE_EDIT,21721,6f3e95c347d198345649855e15894600d0ebd484432d943ed736a9397ae8d897,RS,1,0,0,0,12.030436515808105,3.851687431335449,12.030436515808105,-8.178749084472656
llama3-8b-inst,PRE_EDIT,15811,76f1e9732afd98c5089953b3cb80eff3069bce8b6e03db4ac3f15bd552a4cc16,RS,1,0,0,0,11.573335647583008,4.405567646026611,11.573335647583008,-7.1677680015563965
llama3-8b-inst,PRE_EDIT,3592,6513919a4878eed21297d2e315c6d3daaecda68eceab2a7cdbbdcf2d9559a719,RS,1,0,0,0,7.8222503662109375,2.129552125930786,7.8222503662109375,-5.692698240280151
llama3-8b-inst,PRE_EDIT,3154,b14c1100dcb663be742327aaf58566fd5d95dd2ad252ff46a5ec015f6ed597bd,RS,1,0,0,0,6.418352127075195,5.357026100158691,6.418352127075195,-1.061326026916504
llama3-8b-inst,PRE_EDIT,2728,df625d87714d29a475b0a9673a4ba1b9220a42d56346c7e73e9775e8ab35f290,RS,1,0,0,0,7.8328857421875,5.395437717437744,7.8328857421875,-2.437448024749756
llama3-8b-inst,PRE_EDIT,8900,4accc3880965b76b6ccd52fac3f36163d33c4d2e0abcfced0c6974a59a3b2b34,RS,1,0,0,0,12.489792823791504,5.536197662353516,12.489792823791504,-6.953595161437988
llama3-8b-inst,PRE_EDIT,21835,2a4d049c43b85cef82bb2e0e00b30b054d8654e93dfc3d88568a963fda2028f2,RS,1,0,0,0,13.549782752990723,0.011979658156633377,13.549782752990723,-13.53780309483409
llama3-8b-inst,PRE_EDIT,5618,8b593385e371bc7e94c75fab4434a10e0ffa9aba296344c171e77c63f9203b52,RS,1,0,0,0,9.030674934387207,1.4015272855758667,9.030674934387207,-7.62914764881134
llama3-8b-inst,PRE_EDIT,6154,d4028449bdfe56e055da9afa5c7157cb8df5ee9d828ea421ece05f6a20accacb,RS,1,0,0,0,8.320362091064453,2.3624215126037598,8.320362091064453,-5.957940578460693
llama3-8b-inst,PRE_EDIT,9592,ed3ed2a5e1ee02368ff979364213db79de8116169304fc116edc59e0acd4054d,RS,1,0,0,0,10.022568702697754,4.052414417266846,10.022568702697754,-5.970154285430908
llama3-8b-inst,PRE_EDIT,20502,0a236d10a80a4edc1304d8b4aea68ea233692a1f80f0e0a606f6dac936842f0f,RS,1,0,0,0,7.6145477294921875,5.380823135375977,7.6145477294921875,-2.233724594116211
llama3-8b-inst,PRE_EDIT,14475,c2f7b5ea74bed01a760da1b94fb129d994588ea96d4f89c183c379803f0dc47c,RS,1,0,0,0,14.555694580078125,3.629507064819336,14.555694580078125,-10.926187515258789
llama3-8b-inst,PRE_EDIT,9475,d6f0fdd84c80975821ea90d0d2ccac48798c6fb143257a351b77a2752de5931b,RS,1,0,0,0,5.846790790557861,2.753659963607788,5.846790790557861,-3.0931308269500732
llama3-8b-inst,PRE_EDIT,2617,578237172a40576eea42b6b569d04cefbf63f59629ad30d9f62fd3ab2c58b179,RS,1,0,0,0,7.325284481048584,3.5346693992614746,7.325284481048584,-3.7906150817871094
llama3-8b-inst,PRE_EDIT,14787,55c8128d1c4808d58dfc072421b0c4ad8d823ea5cda52f2bba34fb66ac43e912,RS,1,0,0,0,19.56546401977539,6.905395030975342,19.56546401977539,-12.660068988800049
llama3-8b-inst,PRE_EDIT,12466,9d7382f7cc9557743c9556b09ba96a4fc00a0f2aafcbd41ec61c9521622c308e,RS,1,1,1,0,3.4020116329193115,4.718311309814453,3.4020116329193115,1.3162996768951416
llama3-8b-inst,PRE_EDIT,16072,ebe2362801b3a16ed4d087ca44db6113f984c3658916c6cd448444cb5f19e529,RS,1,0,0,0,7.089986324310303,2.155240535736084,7.089986324310303,-4.934745788574219
llama3-8b-inst,PRE_EDIT,13455,cf84ba3c6d45d80c6b1b55dadae6eca9076000c4ab30c69726e631ab0a6b98d3,RS,1,1,1,0,1.5871635675430298,1.673658013343811,1.5871635675430298,0.08649444580078125
llama3-8b-inst,PRE_EDIT,6810,7bbde3e7af855836bdf7ee82ea286755885883f57e0f15f8228d15803270c1ac,RS,1,0,0,0,8.870802879333496,8.156707763671875,8.870802879333496,-0.7140951156616211
llama3-8b-inst,PRE_EDIT,10173,aa0dd394207e77de9364ceababd2c520a0bdc7974ba733a3288c3809f86a7cff,RS,1,0,0,0,15.33971881866455,5.338670253753662,15.33971881866455,-10.001048564910889
llama3-8b-inst,PRE_EDIT,19281,cae1a53a41736f1b88f95f55b0acdf8593768f99f6691aaa6f65910a3795d5e0,RS,1,0,0,0,8.436767578125,3.328933000564575,8.436767578125,-5.107834577560425
llama3-8b-inst,PRE_EDIT,2138,ae121a6e521a53e036b3d7d63bb50827cbb03ac5c3e6472163da9a73daf452dc,RS,1,0,0,0,10.721681594848633,3.9253814220428467,10.721681594848633,-6.796300172805786
llama3-8b-inst,PRE_EDIT,20900,e0b03343fb825e39e77b418a6b9a3d280645b2dd6b8924fe7d09a73febd95e02,RS,1,0,0,0,8.785809516906738,3.924699306488037,8.785809516906738,-4.861110210418701
llama3-8b-inst,PRE_EDIT,11250,c2ac190ea1b3d3454956141f6face9828e6271cc619a7f642f64937cc9f928d0,RS,1,1,1,0,5.542444229125977,8.48516845703125,5.542444229125977,2.9427242279052734
llama3-8b-inst,PRE_EDIT,16090,f6c831476cadeaa0038e6bb551ae076812efc83498a850a668a7495d61d60c7b,RS,1,0,0,0,10.81267261505127,3.303293466567993,10.81267261505127,-7.509379148483276
llama3-8b-inst,PRE_EDIT,20530,4dfc916bb178a81f3d78f01fa92e9c9b3c2688e5c216c19dcc0baea9fd224bd0,RS,1,0,0,0,9.709373474121094,9.572526931762695,9.709373474121094,-0.13684654235839844
llama3-8b-inst,PRE_EDIT,5862,aec857a610dad0e126e9d08bcbb39760d34d6fb9e95c0ecb6ae6dbce7272001f,RS,1,1,1,0,11.960208892822266,13.014354705810547,11.960208892822266,1.0541458129882812
llama3-8b-inst,PRE_EDIT,5993,5158a282a14de70e66c35d6a663ad57357d56f592912ba7a5b73f4664fc5bc0e,RS,1,0,0,0,8.438461303710938,0.07230529189109802,8.438461303710938,-8.36615601181984
llama3-8b-inst,PRE_EDIT,19775,4a9e29cde6f4e0518ff71c4b32d9b5073e05c56fa700beed4b2c2ef7f2e26c59,RS,1,0,0,0,5.055088043212891,1.4762760400772095,5.055088043212891,-3.578812003135681
llama3-8b-inst,PRE_EDIT,4254,22ae75f2262a3012a55809e3d0181ddca3353ca38572f94ae86f5030b9b38b36,RS,1,0,0,0,19.494619369506836,4.143683910369873,19.494619369506836,-15.350935459136963
llama3-8b-inst,PRE_EDIT,6295,64a9bc2e8ea12ddf146ef0c66adf963f28e1563f2b55709e2367abcc0801eab8,RS,1,0,0,0,10.059267044067383,4.092444896697998,10.059267044067383,-5.966822147369385
llama3-8b-inst,PRE_EDIT,9765,001152e4ff5995964cf56fefb30b1c6bc1bf5a07a116056ccd8fb2793dd36ee8,RS,1,0,0,0,13.310778617858887,4.319143772125244,13.310778617858887,-8.991634845733643
llama3-8b-inst,PRE_EDIT,5599,73e5311dd634f1c19548e49718ad04b9ab28bab0d087e03645b07b3b0b604cd1,RS,1,0,0,0,8.215188980102539,0.22602473199367523,8.215188980102539,-7.989164248108864
llama3-8b-inst,PRE_EDIT,16635,1fd32bec4b5ad3151157a8a6598a79463efd8730cfef77fba0fd5c9248fdb174,RS,1,0,0,0,3.236539840698242,0.3577452600002289,3.236539840698242,-2.8787945806980133
llama3-8b-inst,PRE_EDIT,2603,2e1ddd44d1b0450365b794f0c04383d5b42cc3c44abac81d7a0049fef2715840,RS,1,0,0,0,12.629273414611816,4.662296772003174,12.629273414611816,-7.966976642608643
llama3-8b-inst,PRE_EDIT,9210,3566844443b27f96a87a6220b479d05b63d5c847258f06b02623050e796605d5,RS,1,0,0,0,12.290254592895508,3.26241397857666,12.290254592895508,-9.027840614318848
llama3-8b-inst,PRE_EDIT,11318,11a44c8198b7d361e09ada9c9ef94aeb0fad216080fafe2887ea15d8134fadcc,RS,1,0,0,0,16.90391731262207,9.622769355773926,16.90391731262207,-7.2811479568481445
llama3-8b-inst,PRE_EDIT,7684,8d288e04759fd3c63f71c6d0cc3b9cc904f9cc66fb60e6a64b0212d17485d9d1,RS,1,0,0,0,10.327004432678223,8.194589614868164,10.327004432678223,-2.1324148178100586
llama3-8b-inst,PRE_EDIT,1649,b67fa681f4fd7ba6855f291206715edbb86d72e2efd0cd325a7a99b5a14a3b98,RS,1,0,0,0,7.818216800689697,4.999950885772705,7.818216800689697,-2.818265914916992
llama3-8b-inst,PRE_EDIT,7677,8f26ac32cc148b8edfe6c6fade39622d110142f5de5fdc95e4b4428a2135184a,RS,1,0,0,0,10.792248725891113,5.145873069763184,10.792248725891113,-5.64637565612793
llama3-8b-inst,PRE_EDIT,2680,dfdda88adf60864dac8831f522cd84c935b571c564227ea3a099d4c3e490a06a,RS,1,0,0,0,12.763712882995605,6.485219955444336,12.763712882995605,-6.2784929275512695
llama3-8b-inst,PRE_EDIT,1012,3066030234cd80ef5eb5601a6fc41e0a19302920706ef660bd4f78b821b8da26,RS,1,0,0,0,17.607284545898438,0.7498191595077515,17.607284545898438,-16.857465386390686
llama3-8b-inst,PRE_EDIT,3838,2165f5a66544b3b37297d2dd19dc72c82155a34763f469e4673be669ccdca5a7,RS,1,0,0,0,8.678375244140625,3.7670328617095947,8.678375244140625,-4.91134238243103
llama3-8b-inst,PRE_EDIT,4649,7d4b50473f9c03ff800c74455cfda9103112c0b54fcf9a7326981b2d60578ed3,RS,1,0,0,0,14.11945915222168,4.809175968170166,14.11945915222168,-9.310283184051514
llama3-8b-inst,PRE_EDIT,3158,d90850c9442327660e5b7ecdf01b497624f0949c2937f0b3ed7d56452d675f6a,RS,1,0,0,0,13.760549545288086,0.8525776863098145,13.760549545288086,-12.907971858978271
llama3-8b-inst,PRE_EDIT,2540,51a51835035485215360f15d005a4bad842e7bfbe16d7a229add522603b42bfc,RS,1,0,0,0,12.037527084350586,4.22863245010376,12.037527084350586,-7.808894634246826
llama3-8b-inst,PRE_EDIT,1477,ee3452c6c4fee471fa14e795b7406d771b8ad05c50129775dfff425ac12e62c8,RS,1,0,0,0,14.086894989013672,3.860294818878174,14.086894989013672,-10.226600170135498
llama3-8b-inst,PRE_EDIT,19387,5a25ac69ae0e48637096f1375004a0fe089d694f5e2dd1cd3d9f8ed82eb5deb9,RS,1,0,0,0,16.877201080322266,2.667152166366577,16.877201080322266,-14.210048913955688
llama3-8b-inst,PRE_EDIT,17785,38a2663e541fe2e94905984252e70eb0f8f195fc8edd29c42f6088d73dc5cfbe,RS,1,0,0,0,8.835567474365234,5.25050687789917,8.835567474365234,-3.5850605964660645
llama3-8b-inst,PRE_EDIT,17870,82588d070c5312c851ebab0f3390bc37842152bf306c87f6bba82d2d8ffff609,RS,1,0,0,0,11.658799171447754,1.8925400972366333,11.658799171447754,-9.76625907421112
llama3-8b-inst,PRE_EDIT,11818,0d9227a163cd1dceaff07385dc89c034ee73a48f78259547207072a01b0e4dda,RS,1,0,0,0,8.310579299926758,5.4835968017578125,8.310579299926758,-2.8269824981689453
llama3-8b-inst,PRE_EDIT,12444,67426c85175fc541eddf0b238b5e15d2bfb4bb73d59703d756ea893861c366d0,RS,1,0,0,0,15.215187072753906,0.1924038827419281,15.215187072753906,-15.022783190011978
llama3-8b-inst,PRE_EDIT,13177,eb338759b38d191c9820068978ca3d1a5cdc96c28d6ad79faeae87314ed9e948,RS,1,0,0,0,6.694735527038574,6.20925235748291,6.694735527038574,-0.48548316955566406
llama3-8b-inst,PRE_EDIT,2366,b1a953facde29eb46395cfd0fc270e23ff870e43b7aadbd51a9ee15667ff5c8c,RS,1,0,0,0,16.184913635253906,2.1910974979400635,16.184913635253906,-13.993816137313843
llama3-8b-inst,PRE_EDIT,3351,521fe611bf49ed13a21286b8815b08b286d29a6f9cccaea81a0a1958bc1d8fc5,RS,1,0,0,0,15.250978469848633,0.021671045571565628,15.250978469848633,-15.229307424277067
llama3-8b-inst,PRE_EDIT,21910,a8f78b21dd34faac535b2322d504b6212b8c47e395c7817d80003c0b78e9b733,RS,1,0,0,0,3.456423759460449,2.162191390991211,3.456423759460449,-1.2942323684692383
llama3-8b-inst,PRE_EDIT,12850,1e67a08c1834567f5f610aadf7efd0ab3f0cddda2e8d18b55944dffe998d76af,RS,1,0,0,0,12.453824996948242,7.8887410163879395,12.453824996948242,-4.565083980560303
llama3-8b-inst,PRE_EDIT,8935,95432ce74635807e7fb64dd1f1eac31f9cc0fd8000f0e9e6444d65ba7ea02346,RS,1,0,0,0,12.479305267333984,5.641873836517334,12.479305267333984,-6.83743143081665
llama3-8b-inst,PRE_EDIT,18568,a865e04062ff67faad8dbafc59acdbfbe9fe3fbde5ac3ec7c6f05682c07f1414,RS,1,0,0,0,12.799189567565918,0.21272552013397217,12.799189567565918,-12.586464047431946
llama3-8b-inst,PRE_EDIT,21775,9111fdbd440456de5844078fd258291cec4266e94fb05ee32d3f0e98d4eee41a,RS,1,0,0,0,9.982970237731934,1.1077648401260376,9.982970237731934,-8.875205397605896
llama3-8b-inst,PRE_EDIT,17626,cf6c4c981c8caf2ce36f1f704bad1f5e7706012052890365d7bdc5e8b1ca46dd,RS,1,0,0,0,14.142061233520508,13.927968978881836,14.142061233520508,-0.21409225463867188
llama3-8b-inst,PRE_EDIT,18788,68aa6384545eb925241d3ba9daa6b89ee832c645d9a5a5dc9301544e2534608a,RS,1,0,0,0,10.900907516479492,0.5810239911079407,10.900907516479492,-10.319883525371552
llama3-8b-inst,PRE_EDIT,10337,149927c035f6d17454e60260dd1d902d94b9e3aad3b97803b7ae7fe9df23620d,RS,1,0,0,0,7.901301860809326,1.3408408164978027,7.901301860809326,-6.560461044311523
llama3-8b-inst,PRE_EDIT,12391,1d5e98860b1dc494a252f59cbbe610492101eb00c89c08d0406d683fd9e1dcda,RS,1,0,0,0,7.4525604248046875,5.504949569702148,7.4525604248046875,-1.947610855102539
llama3-8b-inst,PRE_EDIT,3231,b5e7d324474bd3e2bb12800cf0d92ac3952f183f5f960779d6ff9c1e0a4c1b69,RS,1,1,1,0,2.3186416625976562,6.680963516235352,2.3186416625976562,4.362321853637695
llama3-8b-inst,PRE_EDIT,11590,fdfe274d71afa95eabef0760b0044a589744f26534a7c48f5482a46577b28958,RS,1,0,0,0,18.918025970458984,0.044525377452373505,18.918025970458984,-18.87350059300661
llama3-8b-inst,PRE_EDIT,5190,e018528ac38bdcdccd779312450228d07682ee50609f5c1fba748f5ef388df7c,RS,1,0,0,0,10.813475608825684,6.603297233581543,10.813475608825684,-4.210178375244141
llama3-8b-inst,PRE_EDIT,17317,dbe5cdf638795125ea44b01c0e7a12c5a270b02feaa51d771f5704106aaf697b,RS,1,0,0,0,5.597840309143066,0.7160443067550659,5.597840309143066,-4.8817960023880005
llama3-8b-inst,PRE_EDIT,20240,40f6c6ab603b5280800848ddfdd93cc241dcbbf85edbe5c34daf7eb2b282987c,RS,1,0,0,0,12.238086700439453,2.636453151702881,12.238086700439453,-9.601633548736572
llama3-8b-inst,PRE_EDIT,9407,02d13cc3ba1b9857de2d9af6adb4247f2dc69a8beb4712613a94334d3e3c315e,RS,1,0,0,0,6.949584007263184,2.4325380325317383,6.949584007263184,-4.517045974731445
llama3-8b-inst,PRE_EDIT,8215,0403b26a9d7bbdcd333cf775d9f92c79dff5cc10a8e74c8215b6c27d41bc1c2f,PS,2,0,0,0,15.37475299835205,8.148284912109375,15.422030448913574,-7.226468086242676
llama3-8b-inst,PRE_EDIT,21618,6604774017b5c6eb380457103d52f5e7efd563005bb69f3aef4c02cbc7e446b6,PS,2,0,0,0,6.5197954177856445,1.8207948803901672,7.318985939025879,-4.699000537395477
llama3-8b-inst,PRE_EDIT,18193,c25fccd16947f9896b9362f2fc3645c30a991b4c1298446ca35f3c15872dff7f,PS,2,0,0,0,12.485576152801514,5.966879487037659,12.785240173339844,-6.518696665763855
llama3-8b-inst,PRE_EDIT,1905,e2f1cf625b2585402c593f90cc775d62c2e4a7bce663c796e74f7fe26e355b29,PS,2,2,1,0,3.859293818473816,4.312005400657654,4.929587364196777,0.4527115821838379
llama3-8b-inst,PRE_EDIT,18032,263e0a837d0fc67cd0549e4b89f1de6d301f3d7de450243f0b59c848dc28f77e,PS,2,0,0,0,10.490416049957275,5.845375299453735,11.312594413757324,-4.64504075050354
llama3-8b-inst,PRE_EDIT,8597,57a57fb08af33302fbd083d836b2893ce0e7d03d27dc3247b5aa91d9acde086b,PS,2,0,0,0,14.066769123077393,8.430719375610352,16.710662841796875,-5.636049747467041
llama3-8b-inst,PRE_EDIT,5379,39224f0d5c48b9fed23284c9407179934beea5c96c1add706be581eadb20fd7b,PS,2,0,0,0,9.590088605880737,1.318509802222252,11.745685577392578,-8.271578803658485
llama3-8b-inst,PRE_EDIT,371,2d11372e873f5cebb31294c2ffd99d260948fe5eaa3651aaf3a2f538bba4c006,PS,2,0,0,0,7.843240976333618,2.1756994128227234,9.837121963500977,-5.667541563510895
llama3-8b-inst,PRE_EDIT,14488,aa99fa19546af974313677835121470b7147f178d89dca23a7d178f861781745,PS,2,0,0,0,14.286181449890137,4.511251211166382,14.439596176147461,-9.774930238723755
llama3-8b-inst,PRE_EDIT,12143,0a23ff52a1afe49174bc0fbcd4fcd5e93f3e3d318d37a318865205acbde5ab36,PS,2,0,0,0,10.154147148132324,6.985694169998169,12.263282775878906,-3.1684529781341553
llama3-8b-inst,PRE_EDIT,12706,a42445b909f63039d8593c51556c0fbf79ac00c321d802437337480b9e632139,PS,2,0,0,0,7.19104528427124,0.27711399644613266,7.838913440704346,-6.913931287825108
llama3-8b-inst,PRE_EDIT,20568,d5b44ff7b92a709492e8787e2f197530401f4156e2bae02b2d21246c2edf1ec3,PS,2,0,0,0,10.184305429458618,6.918596506118774,12.73583984375,-3.2657089233398438
llama3-8b-inst,PRE_EDIT,13448,03488e90ee9c38df4496c340cce674d0a71d5a03cf0f657eff20ec971237eda7,PS,2,0,0,0,10.860118865966797,6.303140878677368,11.358917236328125,-4.556977987289429
llama3-8b-inst,PRE_EDIT,18674,47e3699f62610b1b73a26f17c33fcf57a86346b044a9f48bcdd0463fedf85426,PS,2,2,1,0,5.216155767440796,8.944564819335938,5.438844203948975,3.7284090518951416
llama3-8b-inst,PRE_EDIT,14479,f8078a7cedab211a6809d9e7808d9e680d419b96561688549aa955e965f53313,PS,2,0,0,0,7.588243246078491,5.9851768016815186,9.348197937011719,-1.6030664443969727
llama3-8b-inst,PRE_EDIT,4745,5af25d47a023c0e1d51f37eeedb94fbfd299c3a0cd288e33170d3f34a6df9109,PS,2,0,0,0,8.66118574142456,6.042320489883423,9.999471664428711,-2.6188652515411377
llama3-8b-inst,PRE_EDIT,16968,00c19deb7192aa90cacfa5359f708025920094cc12b9c24b33071a400418a43c,PS,2,0,0,0,6.095360279083252,4.526788592338562,7.107158660888672,-1.56857168674469
llama3-8b-inst,PRE_EDIT,8251,d8a6df34c78ccde5b0e3d21f0f09f7ebfc4e2830202ff578433b078936d92c61,PS,2,2,1,0,5.243036985397339,8.032919645309448,5.607421398162842,2.7898826599121094
llama3-8b-inst,PRE_EDIT,17856,aff9b19707e9eeadc80bbd937db8ba00689fd3f97f30814ce9b092e89bdecc97,PS,2,0,0,0,10.62232255935669,3.6085283756256104,10.712014198303223,-7.013794183731079
llama3-8b-inst,PRE_EDIT,6029,5d6620e7a15d0df773ac7ce109c1adaf6f7af5f567d5c4c9359d3c60437702a9,PS,2,0,0,0,12.216434955596924,4.885371208190918,12.414833068847656,-7.331063747406006
llama3-8b-inst,PRE_EDIT,15108,28c8f4bfd308290cd45de350f0b2f3a9556b7b38442bed67b2afd51c277fade1,PS,2,0,0,0,9.423524856567383,4.726318359375,10.891111373901367,-4.697206497192383
llama3-8b-inst,PRE_EDIT,2481,72df945e22ce0a9f2a1743dc993709c3cd635a202ee56289a2a71e64ea5862c5,PS,2,0,0,0,10.224712610244751,8.470853090286255,13.175115585327148,-1.753859519958496
llama3-8b-inst,PRE_EDIT,2418,cdda3067d049421eb3c225c77c307ad3183454b979e65fcfbb0c07974968058f,PS,2,0,0,0,8.990751266479492,2.292226195335388,9.116989135742188,-6.698525071144104
llama3-8b-inst,PRE_EDIT,5160,18d5201817fbd68a8a7d74f747565affd76e1d9eb7f52e6aa2e614d3bd2d494d,PS,2,0,0,0,11.848474025726318,7.344169616699219,12.231965065002441,-4.5043044090271
llama3-8b-inst,PRE_EDIT,20551,ad147f5cb0d8580ac6a1e5ef4a63c2dd0ac417d5d2290d6e7cf0e5b7ef070dc8,PS,2,1,0,0,14.10221004486084,7.017362833023071,19.81245994567871,-7.0848472118377686
llama3-8b-inst,PRE_EDIT,11216,c3b8cbb7a6e6b2e678958cd682e28350b2d72aa988160dea942cc86aa0ccad1b,PS,2,0,0,0,3.988362431526184,1.7622299790382385,4.3165483474731445,-2.2261324524879456
