model,candidate,evaluator_identity,same_input_as_entry,status,same_entry_W,same_entry_M,fixed_z,lifecycle
qwen2.5-7b-inst,PRE_EDIT,83446bb40347325dbde17fcfead1f8ceec7c1f10c2fe9ca8b4b7f37d4680c416,True,CANONICAL_EVALUATOR_REDUCER_PASS,cdd5922436375d05aa5b7bae8059da9767e51a6f89eda6ec78b49a2986551428,9848947d4f6a5e5c61bffab45450ad78f92592bf236dd90d1ae1520159aba973,64a23698eacd7aafccecf556ce2ebe557042e1bff8b4ba80ccda067e721f3eef,ENTRY_OR_TERMINAL
qwen2.5-7b-inst,O_NATIVE,05cde9c8993d364b14fa501135ea96bc88b2170f7e83b73a85d616f543c9b11c,True,CANONICAL_EVALUATOR_REDUCER_PASS,cdd5922436375d05aa5b7bae8059da9767e51a6f89eda6ec78b49a2986551428,9848947d4f6a5e5c61bffab45450ad78f92592bf236dd90d1ae1520159aba973,64a23698eacd7aafccecf556ce2ebe557042e1bff8b4ba80ccda067e721f3eef,ENTRY_OR_TERMINAL
qwen2.5-7b-inst,JV-BASE,81407a0b7a0541c0538bdb14d539b8d1e1ffac7c6d5b0c647504f2b2d225dd02,True,CANONICAL_EVALUATOR_REDUCER_PASS,cdd5922436375d05aa5b7bae8059da9767e51a6f89eda6ec78b49a2986551428,9848947d4f6a5e5c61bffab45450ad78f92592bf236dd90d1ae1520159aba973,64a23698eacd7aafccecf556ce2ebe557042e1bff8b4ba80ccda067e721f3eef,OBSERVATION_ONLY_PREFIX
qwen2.5-7b-inst,JV-LAM-001,9861079a5ef4667771eba720049cdf5eadb493ed5427d14d2d5989b71d159f3f,True,CANONICAL_EVALUATOR_REDUCER_PASS,cdd5922436375d05aa5b7bae8059da9767e51a6f89eda6ec78b49a2986551428,9848947d4f6a5e5c61bffab45450ad78f92592bf236dd90d1ae1520159aba973,64a23698eacd7aafccecf556ce2ebe557042e1bff8b4ba80ccda067e721f3eef,ENTRY_OR_TERMINAL
qwen2.5-7b-inst,JV-LAM-00316,c866e852183e7086492ff6c3a092c02fa321cd6fe31766fba1c69f429f57a8bf,True,CANONICAL_EVALUATOR_REDUCER_PASS,cdd5922436375d05aa5b7bae8059da9767e51a6f89eda6ec78b49a2986551428,9848947d4f6a5e5c61bffab45450ad78f92592bf236dd90d1ae1520159aba973,64a23698eacd7aafccecf556ce2ebe557042e1bff8b4ba80ccda067e721f3eef,ENTRY_OR_TERMINAL
qwen2.5-7b-inst,JV-LAM-0316,400cd381853806e915f4d1f5794a8e263e49df46489caca40e17617a5e6269d4,True,CANONICAL_EVALUATOR_REDUCER_PASS,cdd5922436375d05aa5b7bae8059da9767e51a6f89eda6ec78b49a2986551428,9848947d4f6a5e5c61bffab45450ad78f92592bf236dd90d1ae1520159aba973,64a23698eacd7aafccecf556ce2ebe557042e1bff8b4ba80ccda067e721f3eef,ENTRY_OR_TERMINAL
qwen2.5-7b-inst,JV-LAM-1,6d936622910caa839f53c3ec6071645c41d9c1e3af78eb7a4a6a6e361ca4601c,True,CANONICAL_EVALUATOR_REDUCER_PASS,cdd5922436375d05aa5b7bae8059da9767e51a6f89eda6ec78b49a2986551428,9848947d4f6a5e5c61bffab45450ad78f92592bf236dd90d1ae1520159aba973,64a23698eacd7aafccecf556ce2ebe557042e1bff8b4ba80ccda067e721f3eef,ENTRY_OR_TERMINAL
qwen2.5-7b-inst,JV-RES-N2,dec48bcd8902915cc322e8b03bfd828f2764a2f26e3058e86568175ca086da62,True,CANONICAL_EVALUATOR_REDUCER_PASS,cdd5922436375d05aa5b7bae8059da9767e51a6f89eda6ec78b49a2986551428,9848947d4f6a5e5c61bffab45450ad78f92592bf236dd90d1ae1520159aba973,64a23698eacd7aafccecf556ce2ebe557042e1bff8b4ba80ccda067e721f3eef,ENTRY_OR_TERMINAL
qwen2.5-7b-inst,JV-RES-N8,efa835a0892d1db2a1878fff95593c93559899dbccae103ad99cd630d647c220,True,CANONICAL_EVALUATOR_REDUCER_PASS,cdd5922436375d05aa5b7bae8059da9767e51a6f89eda6ec78b49a2986551428,9848947d4f6a5e5c61bffab45450ad78f92592bf236dd90d1ae1520159aba973,64a23698eacd7aafccecf556ce2ebe557042e1bff8b4ba80ccda067e721f3eef,ENTRY_OR_TERMINAL
qwen2.5-7b-inst,JV-HOR-T1,bb16d0b38b9266f4f7306b7a2b7ba8c774d20dab1999c205e03639eb4e139ea9,True,CANONICAL_EVALUATOR_REDUCER_PASS,cdd5922436375d05aa5b7bae8059da9767e51a6f89eda6ec78b49a2986551428,9848947d4f6a5e5c61bffab45450ad78f92592bf236dd90d1ae1520159aba973,64a23698eacd7aafccecf556ce2ebe557042e1bff8b4ba80ccda067e721f3eef,OBSERVATION_ONLY_PREFIX
qwen2.5-7b-inst,JV-HOR-T4,c736255e4f50b4335f26b73a3661d5b61fc31a54853a50657b006910702ab234,True,CANONICAL_EVALUATOR_REDUCER_PASS,cdd5922436375d05aa5b7bae8059da9767e51a6f89eda6ec78b49a2986551428,9848947d4f6a5e5c61bffab45450ad78f92592bf236dd90d1ae1520159aba973,64a23698eacd7aafccecf556ce2ebe557042e1bff8b4ba80ccda067e721f3eef,ENTRY_OR_TERMINAL
