arm,batch,path,panel,seconds,forwards,backwards,input_tokens,scored_tokens,teacher_reads,teacher_read_seconds
N4,7,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B007/episode/scores/000.json,generic,9.594220521859825,64,0,16448,8192,64,2.4324659621343017
N4,7,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B007/episode/scores/000.json,past,0.6855712467804551,8,0,1155,129,0,0
N4,7,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B007/episode/scores/000.json,training,6.642964024096727,100,0,10971,606,0,0
N4,8,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B008/episode/scores/000.json,current,1.1393337529152632,14,0,1808,202,0,0
N4,8,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B008/episode/scores/000.json,generic,9.519405292347074,64,0,16448,8192,64,2.364091955125332
N4,8,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B008/episode/scores/000.json,past,0.6808581268414855,8,0,1157,129,0,0
N4,8,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B008/episode/scores/000.json,training,6.671550715342164,100,0,10917,612,0,0
N4,9,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B009/episode/scores/000.json,current,1.0683910101652145,14,0,1721,201,0,0
N4,9,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B009/episode/scores/000.json,generic,9.362113624811172,64,0,16448,8192,64,2.2283667074516416
N4,9,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B009/episode/scores/000.json,past,0.6693727383390069,8,0,1176,130,0,0
N4,9,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B009/episode/scores/000.json,training,6.4200120232999325,100,0,10586,600,0,0
N4,10,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B010/episode/scores/000.json,current,1.1498419484123588,14,0,1781,201,0,0
N4,10,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B010/episode/scores/000.json,generic,9.072357950732112,64,0,16448,8192,64,1.9782742327079177
N4,10,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B010/episode/scores/000.json,past,0.6742973625659943,8,0,1180,130,0,0
N4,10,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B010/episode/scores/000.json,training,6.53754842095077,100,0,10826,606,0,0
F48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B001/episode/scores/000.json,current,1.217515760101378,14,0,1732,204,0,0
F48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B001/episode/scores/000.json,generic,10.240750608965755,64,0,16448,8192,64,3.1461401460692286
F48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B001/episode/scores/000.json,training,6.381593460217118,100,0,10651,606,0,0
F48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B001/episode/scores/001.json,current,1.208043365739286,14,0,1732,204,0,0
F48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B001/episode/scores/001.json,generic,9.36183388531208,64,0,16448,8192,64,2.2762384535744786
F48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B001/episode/scores/001.json,training,6.373259151354432,100,0,10651,606,0,0
F48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B002/episode/scores/000.json,current,1.0696706771850586,14,0,1829,203,0,0
F48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B002/episode/scores/000.json,generic,9.120405121706426,64,0,16448,8192,64,2.03416617680341
F48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B002/episode/scores/000.json,past,0.731561697088182,8,0,1126,132,0,0
F48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B002/episode/scores/000.json,training,6.689505461603403,100,0,10990,612,0,0
F48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B002/episode/scores/001.json,current,1.0649806531146169,14,0,1829,203,0,0
F48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B002/episode/scores/001.json,generic,9.430805958807468,64,0,16448,8192,64,2.3445434840396047
F48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B002/episode/scores/001.json,past,0.7299333587288857,8,0,1126,132,0,0
F48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B002/episode/scores/001.json,training,6.690096878446639,100,0,10990,612,0,0
F48,3,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B003/episode/scores/000.json,current,1.0583810294046998,14,0,1763,205,0,0
F48,3,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B003/episode/scores/000.json,generic,9.369524049572647,64,0,16448,8192,64,2.2410391345620155
F48,3,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B003/episode/scores/000.json,past,0.7238946733996272,8,0,1181,131,0,0
F48,3,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B003/episode/scores/000.json,training,6.480242553167045,100,0,10712,612,0,0
F48,3,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B003/episode/scores/001.json,current,1.0670907655730844,14,0,1763,205,0,0
F48,3,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B003/episode/scores/001.json,generic,9.226618099026382,64,0,16448,8192,64,2.1398649979382753
F48,3,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B003/episode/scores/001.json,past,0.7305432269349694,8,0,1181,131,0,0
F48,3,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B003/episode/scores/001.json,training,6.464668049477041,100,0,10712,612,0,0
F48,4,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B004/episode/scores/000.json,current,1.0711538381874561,14,0,1763,201,0,0
F48,4,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B004/episode/scores/000.json,generic,9.520042827352881,64,0,16448,8192,64,2.4309848938137293
F48,4,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B004/episode/scores/000.json,past,0.7348305098712444,8,0,1196,132,0,0
F48,4,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B004/episode/scores/000.json,training,6.635655279271305,100,0,10791,606,0,0
F48,4,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B004/episode/scores/001.json,current,1.0878016240894794,14,0,1763,201,0,0
F48,4,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B004/episode/scores/001.json,generic,9.152298023924232,64,0,16448,8192,64,2.0559143414720893
F48,4,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B004/episode/scores/001.json,past,0.7385782934725285,8,0,1196,132,0,0
F48,4,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B004/episode/scores/001.json,training,6.681637397967279,100,0,10791,606,0,0
F48,5,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B005/episode/scores/000.json,current,1.077360893599689,14,0,1755,201,0,0
F48,5,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B005/episode/scores/000.json,generic,9.223144761286676,64,0,16448,8192,64,2.138323465362191
F48,5,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B005/episode/scores/000.json,past,0.7427418064326048,8,0,1219,131,0,0
F48,5,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B005/episode/scores/000.json,training,6.490817381069064,100,0,10700,606,0,0
F48,5,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B005/episode/scores/001.json,current,1.09350461140275,14,0,1755,201,0,0
F48,5,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B005/episode/scores/001.json,generic,9.113126894459128,64,0,16448,8192,64,2.017285445705056
F48,5,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B005/episode/scores/001.json,past,0.7453878149390221,8,0,1219,131,0,0
F48,5,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B005/episode/scores/001.json,training,6.5485458159819245,100,0,10700,606,0,0
F48,6,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B006/episode/scores/000.json,current,1.0715998150408268,14,0,1800,206,0,0
F48,6,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B006/episode/scores/000.json,generic,9.222262743860483,64,0,16448,8192,64,2.134098032489419
F48,6,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B006/episode/scores/000.json,past,0.6765134558081627,8,0,1143,129,0,0
F48,6,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B006/episode/scores/000.json,training,6.6008021524176,100,0,10915,624,0,0
F48,6,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B006/episode/scores/001.json,current,1.06510878354311,14,0,1800,206,0,0
F48,6,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B006/episode/scores/001.json,generic,9.244474466890097,64,0,16448,8192,64,2.1542719397693872
F48,6,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B006/episode/scores/001.json,past,0.6749087646603584,8,0,1143,129,0,0
F48,6,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B006/episode/scores/001.json,training,6.624480958096683,100,0,10915,624,0,0
F48,7,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B007/episode/scores/000.json,current,1.0795754780992866,14,0,1828,202,0,0
F48,7,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B007/episode/scores/000.json,generic,10.271206473000348,64,0,16448,8192,64,3.178651576861739
F48,7,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B007/episode/scores/000.json,past,0.675764043815434,8,0,1155,129,0,0
F48,7,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B007/episode/scores/000.json,training,6.596277121454477,100,0,10971,606,0,0
F48,7,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B007/episode/scores/001.json,current,1.0779384281486273,14,0,1828,202,0,0
F48,7,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B007/episode/scores/001.json,generic,9.164003366604447,64,0,16448,8192,64,2.076551933772862
F48,7,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B007/episode/scores/001.json,past,0.6780866915360093,8,0,1155,129,0,0
F48,7,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B007/episode/scores/001.json,training,6.601370298303664,100,0,10971,606,0,0
F48,8,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B008/episode/scores/000.json,current,1.1312202895060182,14,0,1808,202,0,0
F48,8,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B008/episode/scores/000.json,generic,9.16774214245379,64,0,16448,8192,64,2.081548808142543
F48,8,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B008/episode/scores/000.json,past,0.6740452228114009,8,0,1157,129,0,0
F48,8,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B008/episode/scores/000.json,training,6.6229772083461285,100,0,10917,612,0,0
F48,8,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B008/episode/scores/001.json,current,1.1276547499001026,14,0,1808,202,0,0
F48,8,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B008/episode/scores/001.json,generic,9.648222612217069,64,0,16448,8192,64,2.5633921632543206
F48,8,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B008/episode/scores/001.json,past,0.6742634857073426,8,0,1157,129,0,0
F48,8,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B008/episode/scores/001.json,training,6.623770060017705,100,0,10917,612,0,0
F48,9,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B009/episode/scores/000.json,current,1.0756250284612179,14,0,1721,201,0,0
F48,9,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B009/episode/scores/000.json,generic,9.148989596404135,64,0,16448,8192,64,2.05072969943285
F48,9,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B009/episode/scores/000.json,past,0.6784907784312963,8,0,1176,130,0,0
F48,9,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B009/episode/scores/000.json,training,6.458587144501507,100,0,10586,600,0,0
F48,9,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B009/episode/scores/001.json,current,1.0742317670956254,14,0,1721,201,0,0
F48,9,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B009/episode/scores/001.json,generic,9.16765602119267,64,0,16448,8192,64,2.069055076688528
F48,9,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B009/episode/scores/001.json,past,0.6765955705195665,8,0,1176,130,0,0
F48,9,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B009/episode/scores/001.json,training,6.468416721560061,100,0,10586,600,0,0
F48,10,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B010/episode/scores/000.json,current,1.144662925042212,14,0,1781,201,0,0
F48,10,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B010/episode/scores/000.json,generic,9.207334320992231,64,0,16448,8192,64,2.122415976598859
F48,10,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B010/episode/scores/000.json,past,0.6705424590036273,8,0,1180,130,0,0
F48,10,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B010/episode/scores/000.json,training,6.535334464162588,100,0,10826,606,0,0
F48,10,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B010/episode/scores/001.json,current,1.3986414605751634,14,0,1781,201,0,0
F48,10,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B010/episode/scores/001.json,generic,9.20967678539455,64,0,16448,8192,64,2.1245078137144446
F48,10,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B010/episode/scores/001.json,past,0.6699991272762418,8,0,1180,130,0,0
F48,10,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B010/episode/scores/001.json,training,6.535767306573689,100,0,10826,606,0,0
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/000.json,current,1.2227698173373938,14,0,1732,204,0,0
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/000.json,generic,9.813801911659539,64,0,16448,8192,64,2.721283068880439
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/000.json,training,6.3912683837115765,100,0,10651,606,0,0
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/001.json,current,1.2111062202602625,14,0,1732,204,0,0
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/001.json,generic,8.9898922117427,64,0,16448,8192,64,1.9038152201101184
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/001.json,training,6.374881234019995,100,0,10651,606,0,0
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/002.json,current,1.2096277447417378,14,0,1732,204,0,0
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/002.json,generic,9.061506410129368,64,0,16448,8192,64,1.9667738638818264
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/002.json,training,6.388991656713188,100,0,10651,606,0,0
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/003.json,current,1.2126696733757854,14,0,1732,204,0,0
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/003.json,generic,9.046564204618335,64,0,16448,8192,64,1.953322997316718
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/003.json,training,6.407182243652642,100,0,10651,606,0,0
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/004.json,current,1.2129443045705557,14,0,1732,204,0,0
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/004.json,generic,9.02273603528738,64,0,16448,8192,64,1.9290254833176732
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/004.json,training,6.423791919834912,100,0,10651,606,0,0
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/005.json,current,1.2073152465745807,14,0,1732,204,0,0
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/005.json,generic,9.02847030479461,64,0,16448,8192,64,1.9438346531242132
G48,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/scores/005.json,training,6.370649941265583,100,0,10651,606,0,0
G48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B002/episode/scores/000.json,current,1.0649460051208735,14,0,1829,203,0,0
G48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B002/episode/scores/000.json,generic,9.04127745795995,64,0,16448,8192,64,1.9560657367110252
G48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B002/episode/scores/000.json,past,0.7308213990181684,8,0,1126,132,0,0
G48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B002/episode/scores/000.json,training,6.690284852869809,100,0,10990,612,0,0
G48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B002/episode/scores/001.json,current,1.0646428233012557,14,0,1829,203,0,0
G48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B002/episode/scores/001.json,generic,9.040356024168432,64,0,16448,8192,64,1.9546167207881808
G48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B002/episode/scores/001.json,past,0.7344055287539959,8,0,1126,132,0,0
G48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B002/episode/scores/001.json,training,6.67785815615207,100,0,10990,612,0,0
G48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B002/episode/scores/002.json,current,1.066132491454482,14,0,1829,203,0,0
G48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B002/episode/scores/002.json,generic,9.213372215628624,64,0,16448,8192,64,2.12902476452291
G48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B002/episode/scores/002.json,past,0.7298959698528051,8,0,1126,132,0,0
G48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B002/episode/scores/002.json,training,6.691463075578213,100,0,10990,612,0,0
G48,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B002/episode/scores/003.json,current,1.0662789959460497,14,0,1829,203,0,0
