entry,batch_raw,left,right,left_count,right_count,version_overlap,fact_overlap,exact_prompt_overlap,prompt_inventory,intentional_subset
Early,100,current_effective,past_candidates,100,512,0,0,163,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,Past,Past100,128,100,0,0,42,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,Base,BaseAudit,128,128,0,0,75,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,Base,Fixed100,128,100,0,0,45,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,Base,Past100,128,100,0,0,50,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,BaseAudit,Fixed100,128,100,0,0,47,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,BaseAudit,Past100,128,100,0,0,39,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,Fixed100,Past100,100,100,0,0,36,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,current_effective,past_candidates,100,512,0,0,186,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,current_effective,base_candidates,100,512,0,0,161,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,current_effective,Past,100,128,0,0,66,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,current_effective,Base,100,128,0,0,50,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,current_effective,BaseAudit,100,128,0,0,53,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,current_effective,Fixed100,100,100,0,0,49,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,current_effective,Past100,100,100,0,0,39,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,past_candidates,base_candidates,512,512,0,0,666,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,past_candidates,Past,512,128,128,128,1628,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,True
Late,100,past_candidates,Base,512,128,0,0,179,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,past_candidates,BaseAudit,512,128,0,0,222,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,past_candidates,Fixed100,512,100,0,0,161,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,past_candidates,Past100,512,100,0,0,161,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,base_candidates,Past,512,128,0,0,166,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,base_candidates,Base,512,128,128,128,1635,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,True
Late,100,base_candidates,BaseAudit,512,128,0,0,209,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,base_candidates,Fixed100,512,100,0,0,124,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,base_candidates,Past100,512,100,0,0,165,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,Past,Base,128,128,0,0,44,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,Past,BaseAudit,128,128,0,0,57,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,Past,Fixed100,128,100,0,0,40,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,Past,Past100,128,100,0,0,35,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,Base,BaseAudit,128,128,0,0,40,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,Base,Fixed100,128,100,0,0,25,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,Base,Past100,128,100,0,0,37,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,BaseAudit,Fixed100,128,100,0,0,56,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,BaseAudit,Past100,128,100,0,0,55,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Late,100,Fixed100,Past100,100,100,0,0,40,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,current_effective,past_candidates,1,512,0,0,1,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,current_effective,base_candidates,1,512,0,0,3,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,current_effective,Past,1,128,0,0,0,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,current_effective,Base,1,128,0,0,3,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,current_effective,BaseAudit,1,128,0,0,0,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,current_effective,Fixed100,1,100,0,0,0,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,current_effective,Past100,1,100,0,0,0,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,past_candidates,base_candidates,512,512,0,0,677,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,past_candidates,Past,512,128,128,128,1626,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,True
Middle,1,past_candidates,Base,512,128,0,0,269,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,past_candidates,BaseAudit,512,128,0,0,230,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,past_candidates,Fixed100,512,100,0,0,160,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,past_candidates,Past100,512,100,0,0,148,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,base_candidates,Past,512,128,0,0,207,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,base_candidates,Base,512,128,128,128,1610,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,True
Middle,1,base_candidates,BaseAudit,512,128,0,0,214,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,base_candidates,Fixed100,512,100,0,0,123,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,base_candidates,Past100,512,100,0,0,148,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,Past,Base,128,128,0,0,64,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,Past,BaseAudit,128,128,0,0,71,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,Past,Fixed100,128,100,0,0,64,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,Past,Past100,128,100,0,0,37,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,Base,BaseAudit,128,128,0,0,80,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,Base,Fixed100,128,100,0,0,43,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,Base,Past100,128,100,0,0,58,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,BaseAudit,Fixed100,128,100,0,0,47,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,BaseAudit,Past100,128,100,0,0,40,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,1,Fixed100,Past100,100,100,0,0,36,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,current_effective,past_candidates,7,512,0,0,20,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,current_effective,base_candidates,7,512,0,0,19,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,current_effective,Past,7,128,0,0,12,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,current_effective,Base,7,128,0,0,9,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,current_effective,BaseAudit,7,128,0,0,6,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,current_effective,Fixed100,7,100,0,0,7,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,current_effective,Past100,7,100,0,0,3,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,past_candidates,base_candidates,512,512,0,0,677,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,past_candidates,Past,512,128,128,128,1593,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,True
Middle,7,past_candidates,Base,512,128,0,0,250,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,past_candidates,BaseAudit,512,128,0,0,229,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,past_candidates,Fixed100,512,100,0,0,160,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,past_candidates,Past100,512,100,0,0,148,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,base_candidates,Past,512,128,0,0,199,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,base_candidates,Base,512,128,128,128,1619,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,True
Middle,7,base_candidates,BaseAudit,512,128,0,0,214,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,base_candidates,Fixed100,512,100,0,0,123,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,base_candidates,Past100,512,100,0,0,148,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,Past,Base,128,128,0,0,54,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,Past,BaseAudit,128,128,0,0,64,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,Past,Fixed100,128,100,0,0,60,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,Past,Past100,128,100,0,0,56,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,Base,BaseAudit,128,128,0,0,74,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,Base,Fixed100,128,100,0,0,41,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,Base,Past100,128,100,0,0,51,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,BaseAudit,Fixed100,128,100,0,0,47,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,BaseAudit,Past100,128,100,0,0,40,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,7,Fixed100,Past100,100,100,0,0,36,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
