method,arm_before,arm_after,metric,scope,denominator,before_num,after_num,retained,lost,gained,both_failed,conditional_loss_den,conditional_loss_rate,paired_rate_delta
MEMIT,MEMIT_L5_ONLY,BASE_MEMIT,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,8084,6453,5642,2442,811,1105,8084,0.3020781791192479,-0.16310000000000002
MEMIT,MEMIT_L5_ONLY,BASE_MEMIT,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,15008,11407,9268,5740,2139,2853,15008,0.3824626865671642,-0.18004999999999993
MEMIT,MEMIT_L5_ONLY,BASE_MEMIT,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,54285,49838,32656,21629,17182,28533,54285,0.3984341899235516,-0.044470000000000065
MEMIT,MEMIT_L6_ONLY,MEMIT_L7_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,8277,8444,7714,563,730,993,8277,0.06801981394224961,0.016700000000000048
MEMIT,MEMIT_L6_ONLY,MEMIT_L7_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,14761,14941,12758,2003,2183,3056,14761,0.13569541358986517,0.009000000000000008
MEMIT,MEMIT_L6_ONLY,MEMIT_L7_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,50488,48547,37268,13220,11279,38233,50488,0.2618443986689907,-0.019409999999999983
MEMIT,MEMIT_L6_ONLY,BASE_MEMIT,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,8277,6453,5725,2552,728,995,8277,0.3083242720792558,-0.1824
MEMIT,MEMIT_L6_ONLY,BASE_MEMIT,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,14761,11407,9209,5552,2198,3041,14761,0.37612627870740467,-0.16769999999999996
MEMIT,MEMIT_L6_ONLY,BASE_MEMIT,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,50488,49838,31479,19009,18359,31153,50488,0.37650530819204564,-0.006500000000000006
MEMIT,MEMIT_L7_ONLY,BASE_MEMIT,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,8444,6453,5766,2678,687,869,8444,0.31714827096162956,-0.19910000000000005
MEMIT,MEMIT_L7_ONLY,BASE_MEMIT,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,14941,11407,9204,5737,2203,2856,14941,0.383976976106017,-0.17669999999999997
MEMIT,MEMIT_L7_ONLY,BASE_MEMIT,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,48547,49838,30243,18304,19595,31858,48547,0.3770366860980081,0.012909999999999977
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9888,9939,9860,28,79,33,9888,0.0028317152103559872,0.005099999999999993
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,19155,19136,18686,469,450,395,19155,0.024484468807099972,-0.0009500000000000064
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,63726,65348,55758,7968,9590,26684,63726,0.12503530740984842,0.0162199999999999
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9888,9396,9317,571,79,33,9888,0.057746763754045305,-0.04920000000000002
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,19155,15556,15152,4003,404,441,19155,0.208979378752284,-0.17994999999999994
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,63726,54703,42407,21319,12296,23978,63726,0.3345416313592568,-0.09023000000000003
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L5_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9888,9934,9844,44,90,22,9888,0.004449838187702265,0.0045999999999999375
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L5_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,19155,18839,18353,802,486,359,19155,0.041868963717045155,-0.015800000000000036
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L5_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,63726,62822,50779,12947,12043,24231,63726,0.20316668235884883,-0.009040000000000048
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L6_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9888,9683,9599,289,84,28,9888,0.029227346278317152,-0.020499999999999963
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L6_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,19155,17148,16697,2458,451,394,19155,0.12832158705298877,-0.10034999999999994
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L6_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,63726,58396,46339,17387,12057,24217,63726,0.27283997112638486,-0.053300000000000014
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L7_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9888,9240,9163,725,77,35,9888,0.07332119741100324,-0.06479999999999997
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L7_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,19155,16194,15786,3369,408,437,19155,0.17588097102584183,-0.14805000000000001
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L7_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,63726,56277,43803,19923,12474,23800,63726,0.3126353450710856,-0.07449000000000006
AlphaEdit,AlphaEdit_ORIGINAL,BASE_ALPHAEDIT,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9888,7343,7301,2587,42,70,9888,0.2616302588996764,-0.25450000000000006
AlphaEdit,AlphaEdit_ORIGINAL,BASE_ALPHAEDIT,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,19155,12577,12220,6935,357,488,19155,0.362046463064474,-0.32889999999999997
AlphaEdit,AlphaEdit_ORIGINAL,BASE_ALPHAEDIT,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,63726,55285,41609,22117,13676,22598,63726,0.3470639927188275,-0.0844100000000001
AlphaEdit,AlphaEdit_L4_ONLY,AlphaEdit_L8_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9939,9396,9354,585,42,19,9939,0.058859040144883794,-0.054300000000000015
AlphaEdit,AlphaEdit_L4_ONLY,AlphaEdit_L8_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,19136,15556,15166,3970,390,474,19136,0.2074623745819398,-0.17899999999999994
AlphaEdit,AlphaEdit_L4_ONLY,AlphaEdit_L8_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,65348,54703,43179,22169,11524,23128,65348,0.3392452714696701,-0.10644999999999993
AlphaEdit,AlphaEdit_L4_ONLY,AlphaEdit_L5_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9939,9934,9890,49,44,17,9939,0.004930073448033001,-0.000500000000000056
AlphaEdit,AlphaEdit_L4_ONLY,AlphaEdit_L5_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,19136,18839,18392,744,447,417,19136,0.03887959866220736,-0.01485000000000003
AlphaEdit,AlphaEdit_L4_ONLY,AlphaEdit_L5_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,65348,62822,51951,13397,10871,23781,65348,0.20501009977352022,-0.02525999999999995
AlphaEdit,AlphaEdit_L4_ONLY,AlphaEdit_L6_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9939,9683,9638,301,45,16,9939,0.030284736895059866,-0.025599999999999956
AlphaEdit,AlphaEdit_L4_ONLY,AlphaEdit_L6_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,19136,17148,16725,2411,423,441,19136,0.12599289297658864,-0.09939999999999993
AlphaEdit,AlphaEdit_L4_ONLY,AlphaEdit_L6_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,65348,58396,47420,17928,10976,23676,65348,0.2743465752586154,-0.06951999999999992
AlphaEdit,AlphaEdit_L4_ONLY,AlphaEdit_L7_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9939,9240,9206,733,34,27,9939,0.0737498742328202,-0.06989999999999996
AlphaEdit,AlphaEdit_L4_ONLY,AlphaEdit_L7_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,19136,16194,15803,3333,391,473,19136,0.17417433110367894,-0.1471
AlphaEdit,AlphaEdit_L4_ONLY,AlphaEdit_L7_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,65348,56277,44744,20604,11533,23119,65348,0.3152965660770031,-0.09070999999999996
AlphaEdit,AlphaEdit_L4_ONLY,BASE_ALPHAEDIT,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9939,7343,7323,2616,20,41,9939,0.26320555387865985,-0.25960000000000005
AlphaEdit,AlphaEdit_L4_ONLY,BASE_ALPHAEDIT,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,19136,12577,12230,6906,347,517,19136,0.36089046822742477,-0.32794999999999996
AlphaEdit,AlphaEdit_L4_ONLY,BASE_ALPHAEDIT,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,65348,55285,42467,22881,12818,21834,65348,0.35014078472179716,-0.10063
AlphaEdit,AlphaEdit_L8_ONLY,AlphaEdit_L5_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9396,9934,9357,39,577,27,9396,0.004150702426564496,0.05379999999999996
AlphaEdit,AlphaEdit_L8_ONLY,AlphaEdit_L5_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,15556,18839,15025,531,3814,630,15556,0.03413473900745693,0.1641499999999999
AlphaEdit,AlphaEdit_L8_ONLY,AlphaEdit_L5_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,54703,62822,42221,12482,20601,24696,54703,0.2281776136592143,0.08118999999999998
AlphaEdit,AlphaEdit_L8_ONLY,AlphaEdit_L6_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9396,9683,9177,219,506,98,9396,0.02330779054916986,0.02870000000000006
AlphaEdit,AlphaEdit_L8_ONLY,AlphaEdit_L6_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,15556,17148,13952,1604,3196,1248,15556,0.10311133967600926,0.0796
AlphaEdit,AlphaEdit_L8_ONLY,AlphaEdit_L6_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,54703,58396,40090,14613,18306,26991,54703,0.26713342961080744,0.03693000000000002
AlphaEdit,AlphaEdit_L8_ONLY,AlphaEdit_L7_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9396,9240,8828,568,412,192,9396,0.0604512558535547,-0.015599999999999947
AlphaEdit,AlphaEdit_L8_ONLY,AlphaEdit_L7_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,15556,16194,13470,2086,2724,1720,15556,0.13409616868089483,0.03189999999999993
AlphaEdit,AlphaEdit_L8_ONLY,AlphaEdit_L7_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,54703,56277,38965,15738,17312,27985,54703,0.2876990293036945,0.015739999999999976
AlphaEdit,AlphaEdit_L8_ONLY,BASE_ALPHAEDIT,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9396,7343,7061,2335,282,322,9396,0.24851000425713068,-0.20530000000000004
AlphaEdit,AlphaEdit_L8_ONLY,BASE_ALPHAEDIT,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,15556,12577,10394,5162,2183,2261,15556,0.33183337618925174,-0.14895000000000003
AlphaEdit,AlphaEdit_L8_ONLY,BASE_ALPHAEDIT,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,54703,55285,35827,18876,19458,25839,54703,0.3450633420470541,0.005819999999999936
AlphaEdit,AlphaEdit_L5_ONLY,AlphaEdit_L6_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9934,9683,9637,297,46,20,9934,0.02989732232736058,-0.0250999999999999
AlphaEdit,AlphaEdit_L5_ONLY,AlphaEdit_L6_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,18839,17148,16574,2265,574,587,18839,0.12022931153458251,-0.0845499999999999
AlphaEdit,AlphaEdit_L5_ONLY,AlphaEdit_L6_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,62822,58396,46416,16406,11980,25198,62822,0.2611505523542708,-0.044259999999999966
AlphaEdit,AlphaEdit_L5_ONLY,AlphaEdit_L7_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9934,9240,9206,728,34,32,9934,0.07328367223676263,-0.0693999999999999
AlphaEdit,AlphaEdit_L5_ONLY,AlphaEdit_L7_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,18839,16194,15652,3187,542,619,18839,0.16917033812835075,-0.13224999999999998
AlphaEdit,AlphaEdit_L5_ONLY,AlphaEdit_L7_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,62822,56277,43763,19059,12514,24664,62822,0.30338098118493523,-0.06545000000000001
AlphaEdit,AlphaEdit_L5_ONLY,BASE_ALPHAEDIT,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9934,7343,7319,2615,24,42,9934,0.26323736661968994,-0.2591
AlphaEdit,AlphaEdit_L5_ONLY,BASE_ALPHAEDIT,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,18839,12577,12102,6737,475,686,18839,0.3576092149264823,-0.31309999999999993
AlphaEdit,AlphaEdit_L5_ONLY,BASE_ALPHAEDIT,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,62822,55285,41099,21723,14186,22992,62822,0.34578650791124127,-0.07537000000000005
AlphaEdit,AlphaEdit_L6_ONLY,AlphaEdit_L7_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9683,9240,9040,643,200,117,9683,0.06640503976040484,-0.044300000000000006
AlphaEdit,AlphaEdit_L6_ONLY,AlphaEdit_L7_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,17148,16194,14618,2530,1576,1276,17148,0.1475390716118498,-0.047700000000000076
AlphaEdit,AlphaEdit_L6_ONLY,AlphaEdit_L7_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,58396,56277,41429,16967,14848,26756,58396,0.29055072265223647,-0.021190000000000042
AlphaEdit,AlphaEdit_L6_ONLY,BASE_ALPHAEDIT,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,9683,7343,7214,2469,129,188,9683,0.25498295982650004,-0.2340000000000001
AlphaEdit,AlphaEdit_L6_ONLY,BASE_ALPHAEDIT,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,17148,12577,11308,5840,1269,1583,17148,0.3405644973174714,-0.22855000000000003
