cell_id,status,execution_command,source,runtime,elapsed_seconds,peak_memory,cost_allocation
O020,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
O030,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
O040,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
O050,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
O060,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
O070,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
O080,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
O090,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
N001,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
N002,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
N006,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
N011,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
N021,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
N051,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
N091,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
E00,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
F00,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
G001_010,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
G050_100,BLOCKED,NOT_RUN_DEPENDENCY_C01,implemented task package; not executed,NOT_RUN,NOT_RECORDED_OR_NOT_RUN,NOT_RECORDED_OR_NOT_RUN,no new allocation
Z00,PASS,python -m project.run_scripts.checkpoint_mechanism_audit.reporting; full arguments report-ko.md section10,report-manifest.json analysis_source file SHA,Server2 CPU Python/pandas/matplotlib; no model,5.4924551928415895,NOT_RECORDED,CPU publication only
