branch,head,tree,owner,task_id,original_base_reflog,comparison_merge_base,status,integration_reason,worktree,worktree_tracked_dirty,changed_files,remaining_files
codex/native-response-ode-v31-pilot-sh1-v1,e03524acd0545a6ba01e25554ef5f93985630ac5,e710f18b7952a0f1e57962fef0c561583cdc8c29,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,f2dcfd4ab6fcb2917ae0a29cbc384cf95a82eb3c branch: Created from origin/main,e03524acd0545a6ba01e25554ef5f93985630ac5,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s06-native-response-v31-pilot-v1,,,
codex/native-response-ode-v31-pilot-tech-r2,6b692c9d06c47f633fd0b0ae276b1992c0aa0ada,120a9d46e7912c584c082ce5e21ff80b8ce9817d,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,e03524acd0545a6ba01e25554ef5f93985630ac5 branch: Created from e03524acd0545a6ba01e25554ef5f93985630ac5,e03524acd0545a6ba01e25554ef5f93985630ac5,ALREADY_IN_MAIN,patch-equivalent cherry-picks,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s06-native-response-v31-tech-r2,,project/run_scripts/native_response_ode_v31/native_binding.py;project/run_scripts/native_response_ode_v31/pilot.sbatch;project/run_scripts/native_response_ode_v31/runtime.py;project/run_scripts/native_response_ode_v31/test_binding.py,
codex/native-response-ode-v31-pilot-tech-r3,29884f208bca5afc2367c67510779b4a674cbbb1,5c7310d74357461f3040cf22342282b69cda7baf,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,6b692c9d06c47f633fd0b0ae276b1992c0aa0ada branch: Created from 6b692c9d06c47f633fd0b0ae276b1992c0aa0ada,e03524acd0545a6ba01e25554ef5f93985630ac5,ALREADY_IN_MAIN,patch-equivalent cherry-picks,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s06-native-response-v31-tech-r3,,project/run_scripts/native_response_ode_v31/native_binding.py;project/run_scripts/native_response_ode_v31/pilot.sbatch;project/run_scripts/native_response_ode_v31/runtime.py;project/run_scripts/native_response_ode_v31/test_binding.py;project/run_scripts/native_response_ode_v31/trajectory.py,
codex/orbode-fast-main-server1-gated-tech-r5,84e6cde74db9b85bb9ffa16685ff80f50f2e6e06,32d996fd3c7e124c6068d713e6b0abb80dfb9105,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,346a592257be6dc89d378671026c4253c3938341 branch: Created from origin/main,84e6cde74db9b85bb9ffa16685ff80f50f2e6e06,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s06-orbode-fast-main-server1-gated-tech-r5,,,
codex/orbode-fast-main-server1-gated-v1,346a592257be6dc89d378671026c4253c3938341,48fc4b1db6d3a7bbe8db31ecb901225e6bc24356,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,bf9290c76b7b684ce3d6823e70d60e0b79a8820c branch: Created from origin/main,346a592257be6dc89d378671026c4253c3938341,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s06-orbode-fast-main-server1-gated-v1,,,
codex/orbode-round0-b100-exhaustive-review-v1,66574a8d311eefbcd2651a60b19b3d4fe1461377,2aa576ca37c4021569d3568b22a0fa0c045088d5,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,84e6cde74db9b85bb9ffa16685ff80f50f2e6e06 branch: Created from origin/main,66574a8d311eefbcd2651a60b19b3d4fe1461377,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s06-orbode-round0-analysis-v1,,,
codex/orbode-round0-canonical-ns-report-v3,f2a6f831a460072e44fafdc39b2e8353e36deec6,753d8fc4629329c3cd7a3ba56f59593bbc4035e8,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,15fd9579821695270c8d7a3e9b8759f9cd360d93 branch: Created from origin/main,f2a6f831a460072e44fafdc39b2e8353e36deec6,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s06-orbode-round0-canonical-ns-report-v3,,,
codex/orbode-round0-canonical-ns-rerun-v1,15fd9579821695270c8d7a3e9b8759f9cd360d93,2af82e059054276f123b65a85a93799f67688e06,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,66574a8d311eefbcd2651a60b19b3d4fe1461377 branch: Created from origin/main,15fd9579821695270c8d7a3e9b8759f9cd360d93,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s06-orbode-round0-canonical-ns-rerun-v1,,,
codex/p1r51-p1r43-requestwise-semantic-allocation-a1-v1,11508b6da11d606521b703037034e1814b70d8a8,a0e71bbb27cf36b3b51bf6cde4c92cdc9a47879b,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,11508b6da11d606521b703037034e1814b70d8a8 branch: Created from 11508b6da11d606521b703037034e1814b70d8a8,11508b6da11d606521b703037034e1814b70d8a8,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r51-rsa-a1-v1,,,
codex/p1r51-p1r43-rsa-a1-v1,11508b6da11d606521b703037034e1814b70d8a8,a0e71bbb27cf36b3b51bf6cde4c92cdc9a47879b,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,11508b6da11d606521b703037034e1814b70d8a8 branch: Created from 11508b6da11d606521b703037034e1814b70d8a8,11508b6da11d606521b703037034e1814b70d8a8,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r51-p1r43-requestwise-semantic-allocation-a1-v1,,,
codex/p1r52-b100-accepted-z-rephrase-obs-tech-r1-r52-v1,b03bbbf193f9173e24bdaecb8b1fc9b77a4bad0c,f7bc1ce12119cd0aed884a31b6f10ffc56ee2a01,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,baa20e0ec05fdf6318af3a345af952c8f76ce8ee branch: Created from baa20e0ec05fdf6318af3a345af952c8f76ce8ee,2f6bd2f371ecdd6936500bb0bb87bc52a172fc05,ALREADY_IN_MAIN,patch-equivalent cherry-picks,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-b100-accepted-z-rephrase-obs-tech-r1-r52-v1,,project/run_scripts/ode_bf/locks/numerical_lock_s05_p1r52_b100_accepted_z_rephrase_observation.json;project/run_scripts/ode_bf/locks/source_manifest_s05_p1r52_b100_accepted_z_rephrase_observation.json;project/run_scripts/ode_bf/locks/source_manifest_s05_p1r52_b100_accepted_z_rephrase_observation_tech_r1.json;project/run_scripts/ode_bf/locks/source_manifest_s05_p1r52_b100_accepted_z_rephrase_observation_tech_r1_baselines.json;project/run_scripts/ode_bf/locks/source_manifest_s05_p1r52_b100_accepted_z_rephrase_observation_tech_r1_r52.json;project/run_scripts/ode_bf/p1_runtime.py;project/run_scripts/ode_bf/p1r52_accepted_z_observation.py;project/run_scripts/ode_bf/p1r52_accepted_z_observation_panel.py;project/run_scripts/ode_bf/p1r52_sequential_runtime.py;project/run_scripts/ode_bf/tests/test_p1r52_accepted_z_observation.py;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation.py;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation.sbatch;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation_build_lock.py;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation_build_manifest.py;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation_build_tech_r1_manifest.py;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation_build_tech_r1_r52_manifest.py;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation_dry_plan.py;project/run_scripts/session05_ode_bf_submit_p1r52_b100_accepted_z_observation.py;project/run_scripts/session05_ode_bf_submit_p1r52_b100_accepted_z_observation_tech_r1.py;project/run_scripts/session05_ode_bf_submit_p1r52_b100_accepted_z_observation_tech_r1_r52.py,
codex/p1r52-b100-accepted-z-rephrase-obs-tech-r1-v1,baa20e0ec05fdf6318af3a345af952c8f76ce8ee,dc1a71039bfd7d2d28107e5cffdf81e29d7130e3,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,bed5b8da2df01c16a43774bf09e45c15c07a8c9f branch: Created from bed5b8da2df01c16a43774bf09e45c15c07a8c9f,2f6bd2f371ecdd6936500bb0bb87bc52a172fc05,ALREADY_IN_MAIN,patch-equivalent cherry-picks,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-b100-accepted-z-rephrase-obs-tech-r1-v1,,project/run_scripts/ode_bf/locks/numerical_lock_s05_p1r52_b100_accepted_z_rephrase_observation.json;project/run_scripts/ode_bf/locks/source_manifest_s05_p1r52_b100_accepted_z_rephrase_observation.json;project/run_scripts/ode_bf/locks/source_manifest_s05_p1r52_b100_accepted_z_rephrase_observation_tech_r1.json;project/run_scripts/ode_bf/locks/source_manifest_s05_p1r52_b100_accepted_z_rephrase_observation_tech_r1_baselines.json;project/run_scripts/ode_bf/p1_runtime.py;project/run_scripts/ode_bf/p1r52_accepted_z_observation.py;project/run_scripts/ode_bf/p1r52_accepted_z_observation_panel.py;project/run_scripts/ode_bf/p1r52_sequential_runtime.py;project/run_scripts/ode_bf/tests/test_p1r52_accepted_z_observation.py;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation.py;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation.sbatch;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation_build_lock.py;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation_build_manifest.py;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation_build_tech_r1_manifest.py;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation_dry_plan.py;project/run_scripts/session05_ode_bf_submit_p1r52_b100_accepted_z_observation.py;project/run_scripts/session05_ode_bf_submit_p1r52_b100_accepted_z_observation_tech_r1.py,
codex/p1r52-b100-accepted-z-rephrase-obs-v1,bed5b8da2df01c16a43774bf09e45c15c07a8c9f,d4a5794016fd50330f6f683247768b476546be47,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,2f6bd2f371ecdd6936500bb0bb87bc52a172fc05 branch: Created from 2f6bd2f371ecdd6936500bb0bb87bc52a172fc05,2f6bd2f371ecdd6936500bb0bb87bc52a172fc05,ALREADY_IN_MAIN,patch-equivalent cherry-picks,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-b100-accepted-z-rephrase-obs-v1,,project/run_scripts/ode_bf/locks/numerical_lock_s05_p1r52_b100_accepted_z_rephrase_observation.json;project/run_scripts/ode_bf/locks/source_manifest_s05_p1r52_b100_accepted_z_rephrase_observation.json;project/run_scripts/ode_bf/p1_runtime.py;project/run_scripts/ode_bf/p1r52_accepted_z_observation.py;project/run_scripts/ode_bf/p1r52_accepted_z_observation_panel.py;project/run_scripts/ode_bf/p1r52_sequential_runtime.py;project/run_scripts/ode_bf/tests/test_p1r52_accepted_z_observation.py;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation.py;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation.sbatch;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation_build_lock.py;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation_build_manifest.py;project/run_scripts/session05_ode_bf_p1r52_b100_accepted_z_observation_dry_plan.py;project/run_scripts/session05_ode_bf_submit_p1r52_b100_accepted_z_observation.py,
codex/p1r52-c-writer-phase1-preedit-r1,7a0aebd6f1a4bc728cb8d6ff50470b0d10c7cc39,f4b30677116f6b11a3b6fc59f9776bdea341a1f0,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,251e616cf95972e230ce40718e1e390ef7dc9eb4 branch: Created from 251e616cf95972e230ce40718e1e390ef7dc9eb4,251e616cf95972e230ce40718e1e390ef7dc9eb4,ALREADY_IN_MAIN,changed file blobs/modes all equal,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase1-preedit-r1,,project/run_scripts/ode_bf/tests/test_p1r52_w0_preedit.py;project/run_scripts/session05_ode_bf_p1r52_w0_preedit.py;project/run_scripts/session05_ode_bf_p1r52_w0_preedit.sbatch,
codex/p1r52-c-writer-phase1-tech-r1,251e616cf95972e230ce40718e1e390ef7dc9eb4,34d464c7fedcd21bd7786a74b7540ae2bdf39be9,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,251e616cf95972e230ce40718e1e390ef7dc9eb4 branch: Created from 251e616cf95972e230ce40718e1e390ef7dc9eb4,251e616cf95972e230ce40718e1e390ef7dc9eb4,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase1-tech-r1,,,
codex/p1r52-c-writer-phase2-tech-r1,034b72c59aace422b7048509b336bac26992d90e,76f3b8e0b3304dcdca25a8467439c4bf035bb41c,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,762c4788c63451d6223c647657debcfb6afd8118 branch: Created from 762c4788c63451d6223c647657debcfb6afd8118,034b72c59aace422b7048509b336bac26992d90e,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1,,,
codex/p1r52-c-writer-three-phase-v1,762c4788c63451d6223c647657debcfb6afd8118,13e36b3ea0f0abb71f2d0ddc3e820b68cbcdefc4,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,96494a05c37ffb32f101d53d14e0e61b2f25664d branch: Created from origin/main,762c4788c63451d6223c647657debcfb6afd8118,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-three-phase-v1,,,
codex/p1r52-fpiq-atomic-b10x10-v1,4b9d69ff7207198372f4c95e73c78be542386184,f63b4bb72e700629920b0415ca1ed104396a3c60,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,34f0b505fe5f32078aa4b8cffd109a7490d8aaa5 branch: Created from 34f0b505fe5f32078aa4b8cffd109a7490d8aaa5,34f0b505fe5f32078aa4b8cffd109a7490d8aaa5,ALREADY_IN_MAIN,patch-equivalent cherry-picks,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-fpiq-atomic-b10x10-v1,,local/odebf/reports/p1r52-frozen-pi-quota-writer-atomic-b10x10-v1/analysis-manifest.json;local/odebf/reports/p1r52-frozen-pi-quota-writer-atomic-b10x10-v1/analysis-receipt.json;local/odebf/reports/p1r52-frozen-pi-quota-writer-atomic-b10x10-v1/build_report.py;local/odebf/reports/p1r52-frozen-pi-quota-writer-atomic-b10x10-v1/independent-review.json;local/odebf/reports/p1r52-frozen-pi-quota-writer-atomic-b10x10-v1/independent_review.py;local/odebf/reports/p1r52-frozen-pi-quota-writer-atomic-b10x10-v1/p1r52-fpiq-aggregate-summary.json;local/odebf/reports/p1r52-frozen-pi-quota-writer-atomic-b10x10-v1/p1r52-fpiq-paired-case-deltas.json;local/odebf/reports/p1r52-frozen-pi-quota-writer-atomic-b10x10-v1/p1r52-fpiq-per-case.json;local/odebf/reports/p1r52-frozen-pi-quota-writer-atomic-b10x10-v1/p1r52-fpiq-per-layer.json;local/odebf/reports/p1r52-frozen-pi-quota-writer-atomic-b10x10-v1/p1r52-fpiq-per-step.json;local/odebf/reports/p1r52-frozen-pi-quota-writer-atomic-b10x10-v1/p1r52-fpiq-typed-failures.json;local/odebf/reports/p1r52-frozen-pi-quota-writer-atomic-b10x10-v1/p1r52-frozen-pi-quota-writer-atomic-b10x10-analysis-ko.md;project/run_scripts/ode_bf/locks/numerical_lock_s05_p1r52_fpiq_atomic_b10x10.json;project/run_scripts/ode_bf/locks/source_manifest_s05_p1r52_fpiq_atomic_b10x10.json;project/run_scripts/ode_bf/p1_backend.py;project/run_scripts/ode_bf/p1_scalable_batched_experiment.py;project/run_scripts/ode_bf/p1r36_independent_b10x10_runtime.py;project/run_scripts/ode_bf/p1r52_fpiq_panel.py;project/run_scripts/ode_bf/p1r52_frozen_pi_quota_writer.py;project/run_scripts/ode_bf/p1r52_independent_runtime.py;project/run_scripts/ode_bf/scalable_batched_model.py;project/run_scripts/ode_bf/tests/test_p1r52_fpiq_execution_contract.py;project/run_scripts/ode_bf/tests/test_p1r52_frozen_pi_quota_writer.py;project/run_scripts/session05_ode_bf_p1r52_fpiq_atomic_b10x10.py;project/run_scripts/session05_ode_bf_p1r52_fpiq_atomic_b10x10.sbatch;project/run_scripts/session05_ode_bf_p1r52_fpiq_atomic_b10x10_dry_plan.py;project/run_scripts/session05_ode_bf_submit_p1r52_fpiq_atomic_b10x10.py,
codex/p1r52-joint-pc-fullfp32-independent-10xb100-final-integration-v1,96494a05c37ffb32f101d53d14e0e61b2f25664d,58c07ad6ef33571650d92c28c58fb31871915a9d,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,b0839348bcce1da8a1143e328bc49583e059c7b2 branch: Created from origin/main,96494a05c37ffb32f101d53d14e0e61b2f25664d,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-joint-pc-fullfp32-independent-10xb100-final-integration-v1,,,
