model,method,accepted_edit_count,fork,layer,ordered_delta_frobenius_magnitude,same_entry_delta_frobenius_magnitude,same_minus_ordered_delta_magnitude,same_entry_response_frobenius_magnitude,request_level_target_aligned_same_entry,causal_claim
llama3-8b-inst,alphaedit,10000,RESET_CACHE,7,24.567877675449473,24.5678776754529,3.424815986363683e-12,63.222139831951196,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,10000,RESET_CACHE,8,26.18513936523719,26.185139365239277,2.085442929455894e-12,66.74158922096689,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1500,ACCUMULATED_OR_STATIC,4,5.085072916769355,5.0850729167691435,-2.113864638886298e-13,33.75923590122656,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1500,ACCUMULATED_OR_STATIC,5,5.27641821565794,5.276418215657811,-1.2878587085651816e-13,18.238269234824173,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1500,ACCUMULATED_OR_STATIC,6,6.043747486668243,6.043747486668253,9.769962616701378e-15,12.427260141776767,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1500,ACCUMULATED_OR_STATIC,7,7.48503415314376,7.485034153143732,-2.7533531010703882e-14,10.347208416454936,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1500,ACCUMULATED_OR_STATIC,8,9.718927493456308,9.71892749345759,1.2825296380469808e-12,11.936990646511092,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1500,RESET_CACHE,4,4.722239581040553,4.722239581040142,-4.1033842990145786e-13,35.20639767079455,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1500,RESET_CACHE,5,4.74507768221911,4.745077682218725,-3.8458125573015423e-13,19.469767760848278,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1500,RESET_CACHE,6,5.246415115938723,5.246415115938581,-1.4210854715202004e-13,14.170389722593665,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1500,RESET_CACHE,7,6.334651689771854,6.33465168977181,-4.3520742565306136e-14,13.72323794255766,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1500,RESET_CACHE,8,7.782156411167975,7.782156411167946,-2.842170943040401e-14,17.636073414917703,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,2000,ACCUMULATED_OR_STATIC,4,5.592269026942799,5.592269026942734,-6.483702463810914e-14,39.405437741720306,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,2000,ACCUMULATED_OR_STATIC,5,5.805223058500826,5.805223058500805,-2.1316282072803006e-14,19.986005643804127,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,2000,ACCUMULATED_OR_STATIC,6,6.616251345163777,6.6162513451637714,-5.329070518200751e-15,12.820080569123515,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,2000,ACCUMULATED_OR_STATIC,7,8.135499880595178,8.135499880595294,1.1546319456101628e-13,10.435716225749566,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,2000,ACCUMULATED_OR_STATIC,8,10.520237544829268,10.520237544830817,1.5489831639570184e-12,11.905965990912252,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,2000,RESET_CACHE,4,5.100730417256771,5.100730417256534,-2.3714363805993344e-13,41.28664596925449,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,2000,RESET_CACHE,5,5.1167479652828876,5.116747965282667,-2.2026824808563106e-13,21.650079934493522,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,2000,RESET_CACHE,6,5.637145684980536,5.637145684980485,-5.062616992290714e-14,15.017115780136551,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,2000,RESET_CACHE,7,6.729916421838801,6.729916421838728,-7.283063041541027e-14,14.829872929501978,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,2000,RESET_CACHE,8,8.135874154442854,8.135874154442906,5.1514348342607263e-14,19.063710392284435,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,3000,ACCUMULATED_OR_STATIC,4,6.387246927654847,6.387246927654744,-1.0302869668521453e-13,48.91106777208174,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,3000,ACCUMULATED_OR_STATIC,5,6.696290895037048,6.6962908950369755,-7.283063041541027e-14,23.668943707417494,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,3000,ACCUMULATED_OR_STATIC,6,7.538294010413441,7.538294010413386,-5.5067062021407764e-14,13.682469202970623,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,3000,ACCUMULATED_OR_STATIC,7,9.118332992947634,9.118332992948558,9.237055564881302e-13,10.467452377446014,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,3000,ACCUMULATED_OR_STATIC,8,11.740135481903048,11.740135481904785,1.737276988933445e-12,12.152175839689358,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,3000,RESET_CACHE,4,5.685608012628356,5.68560801262822,-1.3677947663381929e-13,51.909885275759,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,3000,RESET_CACHE,5,5.752872869712012,5.752872869711914,-9.769962616701378e-14,26.172034121511494,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,3000,RESET_CACHE,6,6.24777917171607,6.247779171715995,-7.549516567451064e-14,16.70853876633538,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,3000,RESET_CACHE,7,7.343589307766544,7.343589307766397,-1.474376176702208e-13,15.66923428910821,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,3000,RESET_CACHE,8,8.641451167928007,8.64145116792839,3.8191672047105385e-13,20.77266361209515,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,5000,ACCUMULATED_OR_STATIC,4,8.462404744355297,8.462404744355556,2.5934809855243657e-13,91.42538161678972,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,5000,ACCUMULATED_OR_STATIC,5,10.334046493068193,10.334046493069575,1.3820056210533949e-12,35.71434600569069,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,5000,ACCUMULATED_OR_STATIC,6,11.258432263412331,11.258432263414017,1.6857626405908377e-12,18.31210955583846,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,5000,ACCUMULATED_OR_STATIC,7,13.364582161774521,13.364582161776283,1.7621459846850485e-12,10.771053875306754,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,5000,ACCUMULATED_OR_STATIC,8,17.325703944451345,17.325703944453604,2.2595258997171186e-12,12.52032320152533,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,5000,RESET_CACHE,4,7.2281659696929035,7.228165969692582,-3.2152058793144533e-13,103.12604099320001,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,5000,RESET_CACHE,5,8.22181622639138,8.221816226391326,-5.5067062021407764e-14,44.67870979852572,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,5000,RESET_CACHE,6,9.20951799443608,9.209517994436931,8.5087492607272e-13,25.37370795655274,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,5000,RESET_CACHE,7,10.967050014700742,10.96705001470228,1.538325022920617e-12,17.62450833925679,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,5000,RESET_CACHE,8,12.29889582439591,12.298895824397404,1.4939161019356106e-12,23.974984268835534,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,7500,ACCUMULATED_OR_STATIC,4,15.341613834439201,15.341613834440762,1.5614176618328202e-12,198.56226214938295,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,7500,ACCUMULATED_OR_STATIC,5,19.540621171377836,19.540621171380742,2.9061197892588098e-12,78.53187061600322,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,7500,ACCUMULATED_OR_STATIC,6,19.032840336883545,19.032840336886387,2.8421709430404007e-12,23.863416732434164,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,7500,ACCUMULATED_OR_STATIC,7,19.592870866146757,19.592870866149834,3.076650045841234e-12,10.519904528735223,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,7500,ACCUMULATED_OR_STATIC,8,31.44206641757952,31.442066417583234,3.7125857943465235e-12,16.46629397878835,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,7500,RESET_CACHE,4,12.493222537952013,12.493222537953546,1.5329959524024162e-12,232.81241838955728,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,7500,RESET_CACHE,5,15.658135810375349,15.658135810376784,1.4352963262354024e-12,111.5257598092865,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,7500,RESET_CACHE,6,17.42168796746278,17.421687967464873,2.092548356813495e-12,64.66583614067986,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,7500,RESET_CACHE,7,17.72995283927685,17.72995283927907,2.2168933355715126e-12,29.006743910479667,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,7500,RESET_CACHE,8,20.636538837283354,20.636538837286274,2.9203306439740118e-12,38.22015622040844,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,0,ACCUMULATED_OR_STATIC,4,2.6509207745488945,2.6509207745481276,-7.669420654110581e-13,11.640287476760307,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,0,ACCUMULATED_OR_STATIC,5,2.654462458186128,2.6544624581853604,-7.673861546209082e-13,9.006626990128265,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,0,ACCUMULATED_OR_STATIC,6,3.035345785676897,3.0353457856760175,-8.79296635503124e-13,8.349189328932622,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,0,ACCUMULATED_OR_STATIC,7,3.9286284944943515,3.9286284944932333,-1.1182166304024577e-12,8.904167932696796,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,0,ACCUMULATED_OR_STATIC,8,6.143191202024066,6.143191202023935,-1.305622276959184e-13,11.915736752383628,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,1000,ACCUMULATED_OR_STATIC,4,6.103127328795541,6.103127328795575,3.4638958368304884e-14,33.55131340296265,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,1000,ACCUMULATED_OR_STATIC,5,6.039574051562285,6.03957405156231,2.4868995751603507e-14,19.434486324163956,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,1000,ACCUMULATED_OR_STATIC,6,6.775349905664135,6.775349905664171,3.552713678800501e-14,14.031345194254989,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,1000,ACCUMULATED_OR_STATIC,7,8.401992279364977,8.401992279365365,3.872457909892546e-13,17.26594555891715,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,1000,ACCUMULATED_OR_STATIC,8,11.80370062697262,11.803700626974432,1.8118839761882555e-12,29.565711871160914,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,10000,ACCUMULATED_OR_STATIC,4,26.911926434489665,26.91192643449261,2.9451996397256153e-12,353.22798345632634,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,10000,ACCUMULATED_OR_STATIC,5,19.91719037233852,19.91719037234039,1.8687273950490635e-12,186.03712837659617,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,10000,ACCUMULATED_OR_STATIC,6,14.506500445833977,14.506500445832925,-1.0516032489249483e-12,224.39644346117944,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,10000,ACCUMULATED_OR_STATIC,7,27.505546936954133,27.505546936956133,2.000177801164682e-12,155.54346892062406,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,10000,ACCUMULATED_OR_STATIC,8,47.478468161535204,47.47846816154106,5.8548721426632255e-12,96.47856711289597,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,1500,ACCUMULATED_OR_STATIC,4,15.080744989697658,15.080744989699529,1.8705037518884637e-12,148.7779338797006,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,1500,ACCUMULATED_OR_STATIC,5,14.679024858375007,14.679024858376872,1.865174681370263e-12,81.91606308095595,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,1500,ACCUMULATED_OR_STATIC,6,17.576864501449748,17.57686450145199,2.241762331323116e-12,55.24064113530827,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,1500,ACCUMULATED_OR_STATIC,7,18.478967983037727,18.478967983040384,2.6574298317427747e-12,46.218165472940214,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,1500,ACCUMULATED_OR_STATIC,8,25.01488102540422,25.014881025407643,3.4212632726848824e-12,26.916580819516966,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,2000,ACCUMULATED_OR_STATIC,4,25.4559463538388,25.455946353842396,3.595346242946107e-12,401.22446292351583,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,2000,ACCUMULATED_OR_STATIC,5,25.07562472907321,25.07562472907667,3.460343123151688e-12,389.4819000153115,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,2000,ACCUMULATED_OR_STATIC,6,21.669282010154003,21.6692820101574,3.396394276933279e-12,177.3075171187005,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,2000,ACCUMULATED_OR_STATIC,7,27.56507104168862,27.565071041692182,3.5633718198369024e-12,45.890792305840314,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,2000,ACCUMULATED_OR_STATIC,8,39.73472701793842,39.7347270179437,5.279332526697544e-12,46.35834894547657,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,3000,ACCUMULATED_OR_STATIC,4,14.877364878377087,14.877364878378598,1.5116796703296131e-12,259.73151176084457,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,3000,ACCUMULATED_OR_STATIC,5,14.451228359526056,14.451228359527459,1.4033219031261979e-12,94.69922538106404,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,3000,ACCUMULATED_OR_STATIC,6,8.371808507247902,8.37180850724742,-4.813927034774679e-13,47.085744809573946,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,3000,ACCUMULATED_OR_STATIC,7,15.562844441962019,15.562844441963142,1.1226575225009583e-12,40.749411892172176,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,3000,ACCUMULATED_OR_STATIC,8,25.711349678164215,25.711349678167725,3.510081114654895e-12,41.894573656847825,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,5000,ACCUMULATED_OR_STATIC,4,26.04660404063263,26.04660404063639,3.75877107217093e-12,352.8133193501125,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,5000,ACCUMULATED_OR_STATIC,5,21.036625744250152,21.03662574425345,3.296918293926865e-12,197.55814473864038,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,5000,ACCUMULATED_OR_STATIC,6,21.97438222006048,21.97438222006389,3.410605131648481e-12,83.09937585521595,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,5000,ACCUMULATED_OR_STATIC,7,27.59129681001412,27.591296810017585,3.4638958368304884e-12,45.79165914015684,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,5000,ACCUMULATED_OR_STATIC,8,41.62842726924174,41.628427269248306,6.565414878423326e-12,60.02798319258037,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,7500,ACCUMULATED_OR_STATIC,4,21.494997183166692,21.494997183169755,3.062439191126032e-12,276.8783278992972,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,7500,ACCUMULATED_OR_STATIC,5,17.67813737379823,17.67813737379937,1.1404210908949608e-12,130.6758309702949,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,7500,ACCUMULATED_OR_STATIC,6,14.085933812548918,14.085933812548586,-3.3217872896784684e-13,101.49497026314353,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,7500,ACCUMULATED_OR_STATIC,7,22.933724174379556,22.933724174382228,2.6716406864579767e-12,44.82229104506548,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,memit,7500,ACCUMULATED_OR_STATIC,8,38.05408715037547,38.05408715038011,4.639844064513454e-12,54.63460291125147,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,4,23.560166841932308,23.560166841936624,4.316547119742609e-12,410.8252958967272,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,5,28.720709991860367,28.72070999186472,4.352074256530614e-12,337.5625487884849,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,6,15.793837543604033,15.793837543605237,1.2043699371133698e-12,151.1495160626719,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,7,21.642017651213035,21.642017651217195,4.1602277178753866e-12,94.53003015380182,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,8,19.481068849818833,19.48106884982226,3.4283687000424834e-12,68.23453394166684,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,0,RESET_CACHE,4,23.560166841932308,23.560166841936624,4.316547119742609e-12,410.8252958967272,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,0,RESET_CACHE,5,28.720709991860367,28.72070999186472,4.352074256530614e-12,337.5625487884849,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,0,RESET_CACHE,6,15.793837543604033,15.793837543605237,1.2043699371133698e-12,151.1495160626719,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,0,RESET_CACHE,7,21.642017651213035,21.642017651217195,4.1602277178753866e-12,94.53003015380182,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,0,RESET_CACHE,8,19.481068849818833,19.48106884982226,3.4283687000424834e-12,68.23453394166684,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,4,24.631919653906465,24.631919653910803,4.337863401815412e-12,451.53488990968475,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,5,26.40617276106839,26.40617276107283,4.440892098500626e-12,267.6495672568592,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,6,14.915039979676052,14.915039979677344,1.291411422243982e-12,156.80888356999688,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,7,20.274564134493538,20.27456413449735,3.8120617773529375e-12,107.19976944710672,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,8,18.063507911329168,18.06350791133195,2.7817748105007922e-12,85.30897110159965,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1000,RESET_CACHE,4,20.203678077889517,20.203678077893137,3.6202152386977104e-12,450.2553809545711,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1000,RESET_CACHE,5,23.15672656042362,23.156726560427916,4.295230837669806e-12,286.71946110307937,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1000,RESET_CACHE,6,13.17164045389706,13.17164045389832,1.2594369991347776e-12,163.7475045528566,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1000,RESET_CACHE,7,18.71818651430156,18.718186514304705,3.1441516057384433e-12,117.36589546937704,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1000,RESET_CACHE,8,16.773253366809314,16.77325336681114,1.8260948309034575e-12,99.43113715661896,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,4,167.27120867486204,167.27120867489228,3.0240698833949864e-11,3955.2686413547726,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,5,77.32311644792973,77.32311644794386,1.4125589586910792e-11,1781.5028956823494,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,6,100.50192223473512,100.50192223475256,1.743671873555286e-11,944.428759094144,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,7,146.7555449863491,146.75554498637413,2.503952600818593e-11,552.0395196976992,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,8,121.83382714909756,121.83382714911615,1.858779796748422e-11,470.09309463952667,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,10000,RESET_CACHE,4,71.37711263559233,71.37711263559015,-2.1742607714259066e-12,4097.280639186727,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,10000,RESET_CACHE,5,33.7960092413844,33.796009241383295,-1.1013412404281553e-12,1972.8176808239305,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,10000,RESET_CACHE,6,41.89059038023008,41.890590380233284,3.204547738278052e-12,924.3995907226715,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,10000,RESET_CACHE,7,59.83502196501196,59.8350219650109,-1.0587086762825493e-12,657.3037336761618,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,10000,RESET_CACHE,8,48.120962623533806,48.120962623536336,2.5295321393059567e-12,607.6480112476664,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1500,ACCUMULATED_OR_STATIC,4,26.752315845105326,26.752315845109646,4.320099833421409e-12,519.4506656955177,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1500,ACCUMULATED_OR_STATIC,5,29.55341958383185,29.553419583836174,4.32365254710021e-12,280.1271605335903,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1500,ACCUMULATED_OR_STATIC,6,16.658014482614437,16.658014482616284,1.8474111129762605e-12,164.03437863189748,NOT_RECORDED_SCHEMA,0
