state,family,variant,edits,invalid,bare_letter_invalid,alternative_ties
MEMIT_L4_ONLY-edits02000,MEMIT,L4_ONLY,2000,17,0,0
MEMIT_L4_ONLY-edits03000,MEMIT,L4_ONLY,3000,20,0,0
MEMIT_L4_ONLY-edits04000,MEMIT,L4_ONLY,4000,25,0,0
MEMIT_L4_ONLY-edits05000,MEMIT,L4_ONLY,5000,34,0,0
MEMIT_L4_ONLY-edits06000,MEMIT,L4_ONLY,6000,29,0,0
MEMIT_L4_ONLY-edits07000,MEMIT,L4_ONLY,7000,35,0,0
MEMIT_L4_ONLY-edits08000,MEMIT,L4_ONLY,8000,32,0,0
MEMIT_L4_ONLY-edits09000,MEMIT,L4_ONLY,9000,41,0,0
MEMIT_L4_ONLY-edits10000,MEMIT,L4_ONLY,10000,58,0,0
MEMIT_L8_ONLY-edits00100,MEMIT,L8_ONLY,100,14,0,0
MEMIT_L8_ONLY-edits00500,MEMIT,L8_ONLY,500,15,0,0
MEMIT_L8_ONLY-edits01000,MEMIT,L8_ONLY,1000,17,0,0
MEMIT_L8_ONLY-edits02000,MEMIT,L8_ONLY,2000,23,0,0
MEMIT_L8_ONLY-edits03000,MEMIT,L8_ONLY,3000,26,0,0
MEMIT_L8_ONLY-edits04000,MEMIT,L8_ONLY,4000,42,0,0
MEMIT_L8_ONLY-edits05000,MEMIT,L8_ONLY,5000,20,0,0
MEMIT_L8_ONLY-edits06000,MEMIT,L8_ONLY,6000,19,0,0
MEMIT_L8_ONLY-edits07000,MEMIT,L8_ONLY,7000,22,0,0
MEMIT_L8_ONLY-edits08000,MEMIT,L8_ONLY,8000,54,0,0
MEMIT_L8_ONLY-edits09000,MEMIT,L8_ONLY,9000,56,0,0
MEMIT_L8_ONLY-edits10000,MEMIT,L8_ONLY,10000,90,0,0
MEMIT_ORIGINAL-edits00100,MEMIT,BLUE,100,12,0,0
MEMIT_ORIGINAL-edits00500,MEMIT,BLUE,500,12,0,0
MEMIT_ORIGINAL-edits01000,MEMIT,BLUE,1000,13,0,0
MEMIT_ORIGINAL-edits02000,MEMIT,BLUE,2000,17,0,0
MEMIT_ORIGINAL-edits03000,MEMIT,BLUE,3000,14,0,0
MEMIT_ORIGINAL-edits04000,MEMIT,BLUE,4000,18,0,0
MEMIT_ORIGINAL-edits05000,MEMIT,BLUE,5000,35,0,0
MEMIT_ORIGINAL-edits06000,MEMIT,BLUE,6000,43,0,0
MEMIT_ORIGINAL-edits07000,MEMIT,BLUE,7000,62,0,0
MEMIT_ORIGINAL-edits08000,MEMIT,BLUE,8000,82,0,0
MEMIT_ORIGINAL-edits09000,MEMIT,BLUE,9000,84,0,0
MEMIT_ORIGINAL-edits10000,MEMIT,BLUE,10000,75,0,0
