kind,arm,accepted_edit_count,path,bytes,sha256
CHECKPOINT_EVALUATION_RECEIPT,LA,5000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-1/checkpoint-05000/evaluation-receipt.json,17631,57f36f35a8cbdd01ec852f4a79f3dcff5ff5e1c411a33ddbe73a1aa3be6d9d7f
REQUEST_METRICS,LA,5000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-1/checkpoint-05000/request-metrics.jsonl.gz,2546043,10c4ca3db2702261b3d055c1323a3c363146464e8bdb1fa27934529660055710
CHECKPOINT_EVALUATION_RECEIPT,LA,7500,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-1/checkpoint-07500/evaluation-receipt.json,17850,fe078cd88ce4387667aad6284f63c660cc935506e803a0ac248f445bfd97ca06
REQUEST_METRICS,LA,7500,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-1/checkpoint-07500/request-metrics.jsonl.gz,3777988,4fae3504133fa45f2ae2b29236f673ae3ee831cefd0fca7315d23a3a616746c2
CHECKPOINT_EVALUATION_RECEIPT,LA,10000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-1/checkpoint-10000/evaluation-receipt.json,17672,bd3c443ecbb92f288b56d6ec8efe456007c7149afc6ce2006b5cf25c3148a042
REQUEST_METRICS,LA,10000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-1/checkpoint-10000/request-metrics.jsonl.gz,5020908,8d49cc3fbd1ff0bd6f535df08fe57c23837c4da4c59c4ade9c82a7772b581672
CELL_TERMINAL,QM,TERMINAL,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-2/terminal.json,9848,9f55a6bd655910ed906d1ab9c174ce754df380b97de755a886cdad9bc04e3122
CHECKPOINT_EVALUATION_RECEIPT,QM,1000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-2/checkpoint-01000/evaluation-receipt.json,17591,b264db9a04eb021379c12ba86ad9cf80bbc10e4fa4a5665a8cfda354e9c7e4f2
REQUEST_METRICS,QM,1000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-2/checkpoint-01000/request-metrics.jsonl.gz,511574,605edab6d0e0a00e25871bdbcaf6d7eb274db66212238ec9731435ff4164d949
CHECKPOINT_EVALUATION_RECEIPT,QM,1500,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-2/checkpoint-01500/evaluation-receipt.json,17756,c30b4e82bba1aea2652103ad55dfebb3130912be02a6446f3945e91ac7ec6c00
REQUEST_METRICS,QM,1500,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-2/checkpoint-01500/request-metrics.jsonl.gz,763648,c8a7d54981f18c29eb2cf53765da98c5927af08a10fc252ba65624c1326c1ea4
CHECKPOINT_EVALUATION_RECEIPT,QM,2000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-2/checkpoint-02000/evaluation-receipt.json,17581,fb9f90704f0ffe411de398fe6ee7afe4b44a129b4195fff703c91d1df7a22d1f
REQUEST_METRICS,QM,2000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-2/checkpoint-02000/request-metrics.jsonl.gz,1011884,4507074c9ca374026646e25d606b6c0bfac4748e0519cb6cfebf824ff92ddd44
CHECKPOINT_EVALUATION_RECEIPT,QM,3000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-2/checkpoint-03000/evaluation-receipt.json,17779,c1da70df4f0058f6fb7f3738dc3c1d469da4d3058ab61bf51df8c7351835476a
REQUEST_METRICS,QM,3000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-2/checkpoint-03000/request-metrics.jsonl.gz,1486865,cf5e6054080b469a1478f8f2ef0d4ba288a317b1c07c42a3a53af9c3c524b083
CHECKPOINT_EVALUATION_RECEIPT,QM,5000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-2/checkpoint-05000/evaluation-receipt.json,17567,a5b452ed421dd272aa5dae2059c49bbd9fc77e87b2fbdbbbbdcb2543a5215de5
REQUEST_METRICS,QM,5000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-2/checkpoint-05000/request-metrics.jsonl.gz,2459192,bd8605e71455aa236f15a7396b66f1edc87e7282db547a08430791cc2b58938f
CHECKPOINT_EVALUATION_RECEIPT,QM,7500,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-2/checkpoint-07500/evaluation-receipt.json,17667,937e50770da893722ba013cdcd1e008f0ee34b312b88dfff4d1737f302ea50f7
REQUEST_METRICS,QM,7500,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-2/checkpoint-07500/request-metrics.jsonl.gz,3706710,41f4dd009f54a5526367bbf8fc859975218cfd9e767583e24b156389e87e4cf0
CHECKPOINT_EVALUATION_RECEIPT,QM,10000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-2/checkpoint-10000/evaluation-receipt.json,17549,f2b6d0732cffac22e31e3c3d4a029dc0212de3236f8ab8ac57d6afc2f0217b66
REQUEST_METRICS,QM,10000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-2/checkpoint-10000/request-metrics.jsonl.gz,4964439,bf97682b7d6bd4a7616f97a038aaa965d15e6896cc4e688d37b0bf8f403fd767
CELL_TERMINAL,QA,TERMINAL,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-3/terminal.json,9852,9f1f337857b7327965ed811ca0581b835a0fa5d3bb9ab582b6d817d54be84843
CHECKPOINT_EVALUATION_RECEIPT,QA,1000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-3/checkpoint-01000/evaluation-receipt.json,17531,ddc294d577a8dee0cdbb8263bea61b913a865f37f10132feba9548ac9861672b
REQUEST_METRICS,QA,1000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-3/checkpoint-01000/request-metrics.jsonl.gz,511381,a57e8fdf33d9c4a2ccbedb3aa6b153a739238fadb5aacb1c852586a815f7c7e2
CHECKPOINT_EVALUATION_RECEIPT,QA,1500,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-3/checkpoint-01500/evaluation-receipt.json,17740,0e24e52f0f51e8d8f6017adbbd4f20d8809a0eae67b1fd4ab490d37768b97476
REQUEST_METRICS,QA,1500,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-3/checkpoint-01500/request-metrics.jsonl.gz,765926,2af0d3f4b5e3ea1930253200b2e0d298c4a1cfcab2ec1a567837dd628b952db8
CHECKPOINT_EVALUATION_RECEIPT,QA,2000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-3/checkpoint-02000/evaluation-receipt.json,17585,996f4fbf8c9c269f0d5842de08f4ba2afc272e95c4f627612f04463dee418131
REQUEST_METRICS,QA,2000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-3/checkpoint-02000/request-metrics.jsonl.gz,1020544,8fc0fc2a7410138ba3912d1faa4c87b40f3f1ce73134fafb93396ff657d04269
CHECKPOINT_EVALUATION_RECEIPT,QA,3000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-3/checkpoint-03000/evaluation-receipt.json,17797,cbf80cae370a1a038d595e76df72ea34c229f0f57f73b2d6907915f4ac63ff83
REQUEST_METRICS,QA,3000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-3/checkpoint-03000/request-metrics.jsonl.gz,1527532,5b0624e24237c1a8f248ada8879794a46384a837cfa756e8f937470f4d07f356
CHECKPOINT_EVALUATION_RECEIPT,QA,5000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-3/checkpoint-05000/evaluation-receipt.json,17579,784d75392bc1f4b82471723062786a322c3f993cb7c67b8c087df4962c0cf4c0
REQUEST_METRICS,QA,5000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-3/checkpoint-05000/request-metrics.jsonl.gz,2526590,a404a2a70682d221c1c0387d5af11d3720cfb24efc7f4ba5d581908264b32989
CHECKPOINT_EVALUATION_RECEIPT,QA,7500,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-3/checkpoint-07500/evaluation-receipt.json,17730,1afba6354b98e6d88da025b7319c68dc467453ffb6ada22ee8416ba31619c602
REQUEST_METRICS,QA,7500,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-3/checkpoint-07500/request-metrics.jsonl.gz,3756890,cc6320f663da0c517de4d45ff5bb17e5e25720d4ef377fa5b2472dd6a15f6e73
CHECKPOINT_EVALUATION_RECEIPT,QA,10000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-3/checkpoint-10000/evaluation-receipt.json,17652,bf71d64835646ac64ee758f370eb11cea3bfe34a21b7ea3896aaa6ad7f431321
REQUEST_METRICS,QA,10000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-3/checkpoint-10000/request-metrics.jsonl.gz,4995796,2ea8906f1bb315cb837705dd8ed4f9ffcd3926d8c42f63fa520d1e9a712c0ae6
