arm,batch,layer,gate,native_full_norm,native_norm_times_gate_proxy,native_fit_adam,native_fit_path
G48,2,8,0.5,5.395712865782934,2.697856432891467,456,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B002/episode/fits/001-L8/receipt.json
G48,3,4,1.0,7.723508332784444,7.723508332784444,2376,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B003/episode/fits/000-L4/receipt.json
G48,4,4,1.0,7.771960994956577,7.771960994956577,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B004/episode/fits/000-L4/receipt.json
G48,5,4,1.0,7.798191120098278,7.798191120098278,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B005/episode/fits/000-L4/receipt.json
G48,6,4,1.0,8.179512669848108,8.179512669848108,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B006/episode/fits/000-L4/receipt.json
G48,7,4,1.0,8.17991103970943,8.17991103970943,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B007/episode/fits/000-L4/receipt.json
G48,8,4,1.0,8.099388640019733,8.099388640019733,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B008/episode/fits/000-L4/receipt.json
G48,9,4,1.0,8.600607318697621,8.600607318697621,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B009/episode/fits/000-L4/receipt.json
G48,10,4,0.75,8.561403920704686,6.421052940528515,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B010/episode/fits/000-L4/receipt.json
G48,10,8,0.5,5.02223664491905,2.511118322459525,264,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B010/episode/fits/001-L8/receipt.json
C4,1,4,1.0,7.6116527986668565,7.6116527986668565,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C4/attempt-v1/output/B001/episode/fits/000-L4/receipt.json
C4,2,4,1.0,7.711369878012064,7.711369878012064,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C4/attempt-v1/output/B002/episode/fits/000-L4/receipt.json
C4,3,4,1.0,7.838592007754247,7.838592007754247,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C4/attempt-v1/output/B003/episode/fits/000-L4/receipt.json
C4,4,4,1.0,7.801497323616196,7.801497323616196,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C4/attempt-v1/output/B004/episode/fits/000-L4/receipt.json
C4,5,4,1.0,7.824510436592892,7.824510436592892,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C4/attempt-v1/output/B005/episode/fits/000-L4/receipt.json
C4,6,4,0.9939162177969818,8.213161757282897,8.16319466995343,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C4/attempt-v1/output/B006/episode/fits/000-L4/receipt.json
C4,7,4,1.0,8.21092511424717,8.21092511424717,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C4/attempt-v1/output/B007/episode/fits/000-L4/receipt.json
C4,8,4,0.992543352713192,8.134917084773988,8.074257877365401,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C4/attempt-v1/output/B008/episode/fits/000-L4/receipt.json
C4,9,4,1.0,8.629736989488649,8.629736989488649,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C4/attempt-v1/output/B009/episode/fits/000-L4/receipt.json
C4,10,4,1.0,8.594852788889403,8.594852788889403,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C4/attempt-v1/output/B010/episode/fits/000-L4/receipt.json
C48,1,4,1.0,7.6116527986668565,7.6116527986668565,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B001/episode/fits/000-L4/receipt.json
C48,2,4,0.7537144584968246,7.711369878012064,5.812170971874587,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B002/episode/fits/000-L4/receipt.json
C48,2,8,0.7005140165601613,5.101198763571982,3.573461235141538,408,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B002/episode/fits/009-L8/receipt.json
C48,3,4,0.9798240760988015,7.724204193611793,7.5683612376041625,2376,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B003/episode/fits/000-L4/receipt.json
C48,3,8,0.7508154657794086,1.2601985667796003,0.9461765738911687,24,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B003/episode/fits/003-L8/receipt.json
C48,4,4,0.8855367135523794,7.7701044459460595,6.880712755021805,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B004/episode/fits/000-L4/receipt.json
C48,4,8,0.4939608188363628,3.0539407011041173,1.5085270493950855,120,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B004/episode/fits/021-L8/receipt.json
C48,5,4,0.8224670436115926,7.787106722619427,6.404638644440759,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B005/episode/fits/000-L4/receipt.json
C48,5,8,0.5463308075840843,2.9882670675054444,1.6325823602671727,120,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B005/episode/fits/006-L8/receipt.json
C48,6,4,0.9956485901607082,8.151041522159465,8.115572999879465,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B006/episode/fits/000-L4/receipt.json
C48,7,4,0.8391619156540968,8.150529321111565,6.839613798698866,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B007/episode/fits/000-L4/receipt.json
C48,7,8,0.6452488792057121,3.7318246022180253,2.407955641973483,168,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B007/episode/fits/015-L8/receipt.json
C48,8,4,0.991889955772606,8.061448396694848,7.9960696936607984,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B008/episode/fits/000-L4/receipt.json
C48,9,4,0.7771192041277266,8.554574860795052,6.647924407472108,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B009/episode/fits/000-L4/receipt.json
C48,9,8,0.439650291287238,4.099328098949544,1.8022707927851267,192,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B009/episode/fits/010-L8/receipt.json
C48,10,4,0.6318417215227365,8.483324438189744,5.360118317261709,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B010/episode/fits/000-L4/receipt.json
C48,10,8,0.25692432697079937,8.947813600621595,2.2989109871998683,1006,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C48/attempt-v1/output/B010/episode/fits/010-L8/receipt.json
C45678,1,4,0.998265282065913,7.6116527986668565,7.598448728048965,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B001/episode/fits/000-L4/receipt.json
C45678,2,4,0.75,7.711003573475953,5.783252680106965,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B002/episode/fits/000-L4/receipt.json
C45678,2,5,0.7506035388713365,4.358788642176362,3.2717221800097653,504,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B002/episode/fits/005-L5/receipt.json
C45678,2,6,0.6875029141412915,0.5417426440634746,0.37244964650824725,21,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B002/episode/fits/023-L6/receipt.json
C45678,3,4,0.9853711658898512,7.722901066655955,7.609924028102753,2376,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B003/episode/fits/000-L4/receipt.json
C45678,3,5,0.7504283727996336,1.2611542963911988,0.9464059664901141,24,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B003/episode/fits/015-L5/receipt.json
C45678,4,4,0.9115807799789352,7.769494070589577,7.0825214649097585,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B004/episode/fits/000-L4/receipt.json
C45678,4,5,0.4654999679216739,1.9187780049860321,0.8931910997698115,72,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B004/episode/fits/027-L5/receipt.json
C45678,5,4,0.6373533973051597,7.78722649389563,4.963215261469127,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B005/episode/fits/000-L4/receipt.json
C45678,5,5,0.526816795207814,5.771279464146121,3.0404069515501297,984,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B005/episode/fits/015-L5/receipt.json
C45678,5,6,1.0,2.192030291322825,2.192030291322825,72,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B005/episode/fits/016-L6/receipt.json
C45678,6,4,1.0,8.133711430503062,8.133711430503062,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B006/episode/fits/000-L4/receipt.json
C45678,7,4,0.9160078349101454,8.141029921418253,7.457247192257045,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B007/episode/fits/000-L4/receipt.json
C45678,7,5,0.7638837464702708,2.2723548867700747,1.7358149642159526,72,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B007/episode/fits/020-L5/receipt.json
C45678,8,4,1.0,8.056109372500845,8.056109372500845,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B008/episode/fits/000-L4/receipt.json
C45678,9,4,1.0,8.538238861487782,8.538238861487782,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B009/episode/fits/000-L4/receipt.json
C45678,10,4,0.7112888204943189,8.504259194720156,6.048984491790465,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B010/episode/fits/000-L4/receipt.json
C45678,10,5,0.7806925375149789,3.910262494263515,3.052712748996234,288,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/C45678/attempt-v1/output/B010/episode/fits/027-L5/receipt.json
