arm,batch,layer,incremental_frobenius,cumulative_path_frobenius_sum,checkpoint_net_from_W50,M_frobenius,M_delta_from_entry
FULL8,55,8,3.781863051856471,18.469911041469697,8.501963932003154,9556.592898024957,972.6744153991993
FULL8,56,4,10.817233276775918,65.08977061289251,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
FULL8,56,8,4.28604009942521,22.755951140894908,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
FULL8,57,4,10.844708955719721,75.93447956861223,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
FULL8,57,8,5.1317365362656755,27.887687677160585,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
FULL8,58,4,10.697180477578955,86.63166004619119,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
FULL8,58,8,4.825125436474329,32.712813113634915,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
FULL8,59,4,10.99832762481655,97.62998767100774,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
FULL8,59,8,6.244797530891342,38.957610644526255,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
FULL8,60,4,10.962499452097385,108.59248712310513,34.33543778939439,3303.830984346791,603.3442991295902
FULL8,60,8,3.894048560541019,42.85165920506727,13.943547890531063,10478.946651421564,1900.0622730068553
REFIT4,51,4,9.285660014744753,9.285660014744753,9.28566001475208,2811.5105773553096,95.20870861957903
REFIT4,52,4,9.422667609928832,18.708327624673586,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
REFIT4,53,4,9.731518301985421,28.439845926659007,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
REFIT4,54,4,10.143160539078794,38.5830064657378,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
REFIT4,55,4,9.939748018322836,48.52275448406064,21.70983971121643,3034.7235377216543,332.22339095965594
REFIT4,56,4,9.77070907820553,58.29346356226617,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
REFIT4,57,4,9.776056795975142,68.0695203582413,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
REFIT4,58,4,9.296992698682368,77.36651305692368,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
REFIT4,59,4,10.02911099768151,87.3956240546052,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH,NOT_CHECKPOINT_BATCH
REFIT4,60,4,9.56403983582822,96.95966389043342,30.65783595098211,3303.830984346791,603.3442991295902
