path,sha256,line,expression
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,28,assert tok.padding_side==evaltok.padding_side=='right'
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,44,"writer_tokenizer=dict(padding=tok.padding_side,bos=tok.bos_token_id,pad=tok.pad_token_id,eos=tok.eos_token_id,add_bos_token=tok.add_bos_token),evaluator_tokenizer=dict(padding=evaltok.padding_side,pad=evaltok.pad_token_id,add_bos_token=getattr(evaltok,'add_bos_token','NOT_EXPOSED')),model_load_seconds=time.monotonic()-started,scientific_promotion=False))"
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,75,heavy=bi in lock['checkpoint_batches'] or mode=='smoke'
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,77,"past=evaluate(model,evaltok,seen,weights,state) if seen else None"
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,81,"assert signature(weights,state)==endpoint,'EVALUATOR_MUTATION'"
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,88,"save(root/'commit.json',receipt);committed.append(receipt);prior=content(endpoint);seen.extend(rows)"
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,95,"stage='FINAL_W0_RESTORE';restore(weights,w0,state,torch.zeros_like(state))"
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/method.py,3835accbb537bf62f8801e73c989546573710ea467f34372b4be9cf44196dd8f,12,indices=[lock['projector_source_layers'].index(l) for l in hp.layers]
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/method.py,3835accbb537bf62f8801e73c989546573710ea467f34372b4be9cf44196dd8f,13,projector=allp[indices].clone(); del allp
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/method.py,3835accbb537bf62f8801e73c989546573710ea467f34372b4be9cf44196dd8f,14,state=torch.zeros_like(projector)
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/method.py,3835accbb537bf62f8801e73c989546573710ea467f34372b4be9cf44196dd8f,15,"extra=dict(projector_physical_layers=hp.layers,projector_indices=indices,projector_sha256=tensor_sha(projector),history_policy='native final selected-layer key append once/batch')"
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/method.py,3835accbb537bf62f8801e73c989546573710ea467f34372b4be9cf44196dd8f,23,# Native layer_stats supports model_name for an asset directory binding.
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/method.py,3835accbb537bf62f8801e73c989546573710ea467f34372b4be9cf44196dd8f,29,kw['model_name']='Meta-Llama-3-8B-Instruct'
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/method.py,3835accbb537bf62f8801e73c989546573710ea467f34372b4be9cf44196dd8f,30,"expected=Path(args[3])/kw['model_name']/f""{args[4]}_stats""/f""{args[2]}_{kw['precision']}_mom2_{kw['sample_size']}.npz"""
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/method.py,3835accbb537bf62f8801e73c989546573710ea467f34372b4be9cf44196dd8f,34,"state=torch.empty(0,dtype=torch.float32) # Signature sentinel, NOT history."
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/method.py,3835accbb537bf62f8801e73c989546573710ea467f34372b4be9cf44196dd8f,35,"extra=dict(history_policy='NONE; native static covariance computation cache',stats_root=lock['stats_root'],stats_model_name='Meta-Llama-3-8B-Instruct',covariance_snapshots='immutable NPZ + native float32 load; cached tensor identity recorded')"
/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/lifelong/method.py,3835accbb537bf62f8801e73c989546573710ea467f34372b4be9cf44196dd8f,37,"returned,originals=module.apply_memit_to_model(model,tok,requests,hp,copy=False,return_orig_weights=False,cache_template=None)"
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/source-tech-r2/project/run_scripts/blue_alphaedit_sequential_comparison/evaluation.py,d82bc6f0090c3f572ecc23a2de03e8af544e910e1f3534b331ffd8486f96085e,34,"success=(b['nll'] < a['nll'] if reverse else a['nll'] < b['nll']),"
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/source-tech-r2/project/run_scripts/blue_alphaedit_sequential_comparison/evaluation.py,d82bc6f0090c3f572ecc23a2de03e8af544e910e1f3534b331ffd8486f96085e,50,"before = signature(weights, cache)"
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/source-tech-r2/project/run_scripts/blue_alphaedit_sequential_comparison/evaluation.py,d82bc6f0090c3f572ecc23a2de03e8af544e910e1f3534b331ffd8486f96085e,56,"raw = {k: evaluate_pairs(model, tok, v, device=torch.device('cuda'), microbatch_size=16) for k, v in pairs.items()}"
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/source-tech-r2/project/run_scripts/blue_alphaedit_sequential_comparison/evaluation.py,d82bc6f0090c3f572ecc23a2de03e8af544e910e1f3534b331ffd8486f96085e,57,"if before != signature(weights, cache):"
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/source-tech-r2/project/run_scripts/alphaedit_strength_neutral_barrier/evaluator.py,4f5af6dbf8854c79aedc5e36134fddfcb2995b60f05d270604f8ea735672d93e,75,def evaluate_pairs(
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/source-tech-r2/project/run_scripts/alphaedit_strength_neutral_barrier/evaluator.py,4f5af6dbf8854c79aedc5e36134fddfcb2995b60f05d270604f8ea735672d93e,93,attention_mask = torch.zeros_like(input_ids)
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/source-tech-r2/project/run_scripts/alphaedit_strength_neutral_barrier/evaluator.py,4f5af6dbf8854c79aedc5e36134fddfcb2995b60f05d270604f8ea735672d93e,101,"attention_mask[row_index, start:] = 1"
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/source-tech-r2/project/run_scripts/alphaedit_strength_neutral_barrier/evaluator.py,4f5af6dbf8854c79aedc5e36134fddfcb2995b60f05d270604f8ea735672d93e,109,"input_ids=input_ids, attention_mask=attention_mask, use_cache=False"
