model,method,batch_index,request_denominator,q_pre_L4_median,q_pre_L5_median,q_pre_L6_median,q_pre_L7_median,q_pre_L8_median,q_post_L8_median,q_pre_L8_gt_0_2_numerator,q_pre_L8_gt_0_2_denominator,d_parallel_median,d_perp_median,recurrence_closure_max,target_new_nll_median,target_true_nll_median
llama3-8b-inst,alphaedit,1,10,1.0,0.9279832355535288,0.854051709488084,0.7471431999258318,0.5605188896456987,0.029568968899056466,10,10,0.13904590567128838,0.4285050642913263,9.38638188277943e-18,0.0007819454767741263,14.509910106658936
llama3-8b-inst,alphaedit,2,10,1.0,0.9587761784157727,0.8969825796242896,0.7787208691407467,0.5598746356098834,0.034390564853808966,10,10,0.13685098257845568,0.4256655560694268,8.57315937505204e-18,0.00026520536630414426,18.46909523010254
llama3-8b-inst,alphaedit,3,10,1.0,0.9574017896491305,0.9223248914319497,0.7994851128984644,0.5658246637734055,0.0357413920560891,10,10,0.14860899701962782,0.44064067682783503,8.924487000091453e-18,0.0002902314008679241,14.738481521606445
llama3-8b-inst,alphaedit,4,10,1.0,0.9332853952698813,0.8634658243290566,0.7393490765249322,0.5253405648832874,0.032878317313704775,10,10,0.12447573368317234,0.4143929156900922,7.938558575739732e-18,0.0006402368017006665,12.73826789855957
llama3-8b-inst,alphaedit,5,10,1.0,0.9445176920966065,0.858442286354141,0.7465424818043433,0.5308348560698535,0.036690114121092327,10,10,0.13411916796194018,0.41489515650449016,9.294668492198614e-18,0.0005283746286295354,14.356610774993896
llama3-8b-inst,alphaedit,6,10,1.0,0.9443841062284255,0.8833904970191906,0.7641920320706215,0.5659591101188106,0.03700634449466238,10,10,0.14519027812142632,0.43905554282999576,9.868155830837984e-18,0.0005801415827590972,15.025216102600098
llama3-8b-inst,alphaedit,7,10,1.0,0.9346701739016767,0.8688490959488331,0.7569496572204828,0.5262326221263482,0.038391030550489355,10,10,0.12558128142655636,0.41507918138081934,9.39690323310781e-18,0.000790816469816491,14.744170188903809
llama3-8b-inst,alphaedit,8,10,1.0,0.9426114088096937,0.8621669605011111,0.7337767654095614,0.49763666448583566,0.040191947104489034,10,10,0.12529685123510975,0.40626101485338406,9.205218438694911e-18,0.0006550787074957043,13.531808853149414
llama3-8b-inst,alphaedit,9,10,1.0,0.9205134431450115,0.8302575491026015,0.6928686430639762,0.4858640371957445,0.0361682683929085,10,10,0.12307424441667711,0.37220483002916926,7.5303779748346e-18,0.0002200953895226121,14.82143497467041
llama3-8b-inst,alphaedit,10,10,1.0,0.9242791554983185,0.8424227987648631,0.712425570618848,0.4931993573114902,0.03324439892062018,10,10,0.12474916777375605,0.36664214435250286,8.440563088452601e-18,0.0007313199166674167,16.329399585723877
qwen2.5-7b-inst,memit,1,10,1.0,0.9357034502728468,0.8597554264292417,0.6871858793873218,0.4556792864476555,0.08705119496474839,10,10,0.16299002162101844,0.24659792908977235,7.340854516062218e-18,0.004944613436236978,17.365727424621582
qwen2.5-7b-inst,memit,2,10,1.0,0.9578143393923756,0.9101021472762088,0.7410913665803383,0.49122800895713403,0.08515947569584875,10,10,0.1726102725185294,0.2682070347913857,9.001782929930592e-18,0.013202506583184004,14.433663845062256
qwen2.5-7b-inst,memit,3,10,1.0,0.9333776240183023,0.8319050778697841,0.6692299797931414,0.46259888290071016,0.08201846841805092,10,10,0.1518365407807367,0.26176923480542474,6.65068450482263e-18,0.009998932480812073,13.891635417938232
qwen2.5-7b-inst,memit,4,10,1.0,0.9461437448560837,0.870314882293779,0.6969066261171327,0.46175383133023024,0.09114988653053543,10,10,0.19344635694296675,0.2393944890882917,7.735399679388293e-18,0.010449737310409546,13.26290512084961
qwen2.5-7b-inst,memit,5,10,1.0,0.9431621509576645,0.8809268693851859,0.6960402440015568,0.45409901795108026,0.08611776852934067,10,10,0.17857914157321492,0.24335810516772632,8.489418822991491e-18,0.007123744580894709,13.071887493133545
qwen2.5-7b-inst,memit,6,10,1.0,0.9431957893446723,0.881595447580884,0.6949205136617027,0.44590997989644354,0.07929192539737986,10,10,0.16633667469918823,0.2209533167015618,9.819609535267497e-18,0.004339034669101238,15.391706943511963
qwen2.5-7b-inst,memit,7,10,1.0,0.9533095636907267,0.8644760908514288,0.6845081376717351,0.4606687912730083,0.09922900666301032,10,10,0.1930515798012708,0.23360439292248553,8.181679686266552e-18,0.015111620537936687,15.19260549545288
qwen2.5-7b-inst,memit,8,10,1.0,0.9312051407929252,0.8469086786877833,0.6580877574726709,0.42832863504065094,0.08623144140185193,10,10,0.15084413712796457,0.2597122727633405,8.051237912109987e-18,0.009671064093708992,13.602209091186523
qwen2.5-7b-inst,memit,9,10,1.0,0.943330162970659,0.8770726833856808,0.7113263609608524,0.4741502739550641,0.09815158634874771,10,10,0.17910637933231138,0.2790418351959506,8.361688879891978e-18,0.01998041942715645,12.628190517425537
qwen2.5-7b-inst,memit,10,10,1.0,0.9324551881244603,0.8479650802770409,0.6700777246073226,0.43498825347304565,0.0809105490080417,10,10,0.1533727179002744,0.2307281327788377,6.639151132213651e-18,0.0029919883236289024,15.501224517822266
qwen2.5-7b-inst,alphaedit,1,10,1.0,0.9237464080944915,0.8202265119888131,0.5943708890667198,0.3143453757239514,0.005374076796668747,10,10,0.03516907527907657,0.2114071646806379,9.307896953624035e-18,0.004524745396338403,16.96648406982422
qwen2.5-7b-inst,alphaedit,2,10,1.0,0.938010081698629,0.8357369747491687,0.5959527621676846,0.31618994933091094,0.005205491582091524,10,10,0.03905428432900142,0.21143081267346328,1.0493210486029998e-17,0.027732970658689737,13.79503583908081
qwen2.5-7b-inst,alphaedit,3,10,1.0,0.9126768330680479,0.7993155342503417,0.6207848740423552,0.34816579775675427,0.008020911356270033,10,10,0.05466423162546671,0.23806583863052377,1.0009530601899193e-17,0.014483222272247076,14.155903339385986
qwen2.5-7b-inst,alphaedit,4,10,1.0,0.9278860628980589,0.817415859250412,0.593712138862946,0.3160502718045236,0.003922768792395165,10,10,0.04546361273232997,0.2083252669209115,9.319757836927272e-18,0.03473179042339325,11.744890689849854
qwen2.5-7b-inst,alphaedit,5,10,1.0,0.928418671546194,0.806528367415041,0.5993280898147815,0.3328501586724387,0.0019917779209223346,10,10,0.04502285709227842,0.23369434572225461,9.617822045574431e-18,0.008225641446188092,13.088798999786377
qwen2.5-7b-inst,alphaedit,6,10,1.0,0.9284513887544401,0.8141386738906115,0.6004806684948628,0.32935438211089785,0.0036711449472254716,10,10,0.04775315211322051,0.22935403413135996,9.712428740504315e-18,0.007878090953454375,13.213788509368896
qwen2.5-7b-inst,alphaedit,7,10,1.0,0.9203594357991076,0.8196623366635067,0.6294775558723662,0.3513683523315684,0.004581475089643107,10,10,0.04584376360832883,0.2199605133587213,8.615506482339505e-18,0.01129305548965931,17.610389709472656
qwen2.5-7b-inst,alphaedit,8,10,1.0,0.9123322453228169,0.7903083601746999,0.5912198863118691,0.33236484975427705,0.0021152359959872077,10,10,0.04286257862815486,0.22268259805495458,9.266077324852902e-18,0.0074866951908916235,14.013057708740234
qwen2.5-7b-inst,alphaedit,9,10,1.0,0.938164671037654,0.8359548080560544,0.6303263173091913,0.3471726797471282,0.004204520621144011,10,10,0.045458287030816336,0.2430314351019669,9.422219091254046e-18,0.020045258104801178,11.93615436553955
qwen2.5-7b-inst,alphaedit,10,10,1.0,0.9197280580002762,0.7894502374633581,0.5635386676031484,0.2960556919075811,0.0017825576172889785,10,10,0.03120056662259643,0.18207191794815214,9.25942512134334e-18,0.011097603244706988,16.48007822036743
